1569978626,1,4,3,"C2,CQ,CK,C3;D8,DJ,D6,D7;DA,D9,D4,D2;S10,SA,D5,S9;S8,S5,D3,S6;SK,SJ,C7,S3;S4,S2,DQ,SQ;CJ,H4,C9,C5;DK,H6,D10,HQ;C6,H7,C10,CA;S7,H5,H3,HJ;C8,HA,C4,H10;H2,HK,H8,H9"
1569978626,1,2,3,"C2,C8,CJ,C6;S7,S2,SQ,S3;D8,D5,DA,D6;SK,S9,S10,S5;S4,C9,S8,S6;D3,DJ,DQ,CQ;C10,CK,CA,C7;DK,D4,H4,HK;D2,D7,H8,H9;H2,H3,H5,H7;H6,HA,H10,C5;HQ,C3,D9,D10;HJ,SA,C4,SJ"
1569978626,1,0,3,"C2,C5,C9,C4;S8,S2,S9,S7;DK,D4,D5,DJ;D6,D7,DQ,D2;S6,S3,S10,SK;C8,SA,C10,CK;SJ,S4,SQ,CQ;C3,S5,CA,C6;D8,H3,DA,CJ;D3,H2,D9,C7;H7,H8,HQ,H5;HA,H9,H6,H10;HJ,H4,D10,HK"
1569978626,1,17,3,"C2,C5,C10,C6;S5,D5,S7,S4;DJ,DQ,D8,DA;CK,CA,C8,C9;D4,D7,CJ,SA;D3,CQ,S6,D9;DK,H7,SQ,S10;D6,HQ,SJ,SK;D10,HK,S3,S2;D2,H6,C7,S8;C3,H4,C4,H5;H3,HA,H10,H8;HJ,H9,H2,S9"
1569978626,1,13,3,"C2,C3,C9,C6;S8,S5,S7,SQ;D2,D5,D3,DK;C4,C7,CJ,C10;S10,SA,SK,S2;D4,D9,DQ,D7;S3,SJ,S4,S6;D10,C8,DJ,D8;CA,CK,H9,C5;HJ,HK,H7,H2;H3,H4,HQ,D6;H8,H5,H10,CQ;DA,H6,HA,S9"
1569978626,1,15,3,"C2,C5,C10,C4;DJ,D10,D2,D3;D4,D9,DK,S2;S6,S7,S5,SQ;D8,DQ,SJ,CQ;D6,DA,C6,C8;S9,S10,SA,D7;H2,HK,H8,H3;S3,S4,H4,HA;H5,C7,H9,H6;H10,CJ,C9,HQ;D5,HJ,S8,C3;CA,H7,SK,CK"
1569978626,1,3,3,"C2,C9,CJ,C10;S4,S9,S8,S3;D7,D5,D10,D2;CA,CK,C6,C7;CQ,C8,C3,S10;D3,DJ,D9,DQ;S6,S5,S7,SK;C5,D8,SJ,C4;H4,H2,H3,H5;D4,DK,D6,HQ;HA,H10,H6,SA;DA,HK,HJ,SQ;H7,H8,H9,S2"
1569978626,1,15,3,"C2,C5,C8,C10;D6,D2,DQ,D9;S7,S8,S6,SK;SJ,C3,S9,SA;S4,CK,CQ,S2;S3,DJ,CA,S5;D8,D4,D3,DA;SQ,HA,H9,S10;C9,HK,C6,CJ;C7,HQ,H10,C4;D7,H2,H7,D5;H3,H8,H6,D10;HJ,H4,DK,H5"
1569978626,1,18,3,"C2,C6,C7,C9;S5,SA,SJ,S10;S7,D9,SK,SQ;D5,D6,DA,D10;CA,C8,CK,C4;C3,CJ,DQ,CQ;S9,D2,S8,S2;S6,C5,S4,D3;D7,D4,DJ,D8;DK,HJ,S3,C10;HQ,H3,HK,H9;H8,H2,H5,H10;H4,H7,HA,H6"
1569978626,1,3,3,"C2,C5,CK,C6;D10,D6,D8,DJ;CQ,S9,C3,C9;SQ,S5,S10,S4;S6,SJ,S3,S2;D2,D7,D3,D9;CJ,SA,C7,C8;DQ,DK,D4,DA;SK,H10,S7,HJ;S8,HQ,H3,H8;H6,H7,H9,C4;H2,H5,CA,HA;H4,D5,HK,C10"
1569978626,1,5,3,"C2,CJ,C4,C6;SA,SK,S3,S8;D3,D9,D7,D5;S4,S10,SQ,S5;CQ,CA,C5,CK;SJ,S2,C8,D10;S9,S7,DJ,DA;D4,DK,D6,DQ;D8,C10,C3,D2;C9,S6,H2,C7;H8,H5,HA,H7;H6,H9,HK,H10;H3,HJ,HQ,H4"
