1569978630,1,0,3,"C2,C7,CK,C9;D10,DQ,D4,D2;S7,S8,S3,SA;DJ,DA,D7,D9;S9,S2,SK,SQ;C3,CA,C5,CQ;DK,D8,D6,D3;S6,S10,S5,SJ;CJ,C6,C4,C10;H5,H7,HJ,H10;H9,H8,H4,H2;S4,HQ,HA,H3;C8,D5,H6,HK"
1569978630,1,3,3,"C2,C9,CQ,C10;D5,D3,D7,DJ;S5,S4,S2,SJ;S6,SQ,S10,S3;D6,C8,DQ,DK;C4,D8,C6,CA;S7,D10,CK,S9;C7,D2,D4,C5;C3,DA,D9,CJ;H2,H10,H5,H8;HK,H7,H4,HQ;H3,HJ,S8,HA;H6,SK,SA,H9"
1569978630,1,13,3,"C2,C4,C7,C9;DA,D5,D10,D7;D8,D3,DJ,DK;S3,S9,S7,SA;D9,DQ,D6,C5;S2,S10,S5,SQ;D2,CQ,CA,CJ;D4,CK,S8,C8;C3,C10,S4,C6;SJ,HK,H3,H9;S6,HA,H5,H4;SK,H7,H6,HQ;H2,HJ,H8,H10"
1569978630,1,7,3,"C2,C7,C9,C4;S8,S2,SA,S7;DK,DJ,D3,DQ;D7,D5,D10,D8;C8,C6,CA,C10;S4,DA,S9,SQ;S10,D2,S6,SK;SJ,C3,CQ,S3;D9,C5,H9,D6;D4,H7,HA,CK;HQ,H10,H3,H8;H5,H4,H6,CJ;HK,H2,HJ,S5"
1569978630,1,0,3,"C2,CK,C3,C4;S10,S7,S6,S2;SK,S4,S9,S3;D6,DJ,D8,D5;SQ,CA,S8,CJ;SJ,DQ,S5,C6;D4,D7,D3,C10;C9,C5,CQ,C7;D9,H9,D2,H5;DA,H3,DK,HJ;C8,HQ,HA,H7;HK,H8,H2,H6;H10,SA,D10,H4"
1569978630,1,23,3,"C2,CK,CJ,C10;S7,S3,SQ,S5;D7,D8,D5,C4;D10,DJ,DQ,C7;SJ,S10,S8,S4;SA,S9,S6,C3;D6,D9,D4,C8;DA,H8,D2,H4;DK,HA,HQ,H7;CA,H5,C6,C9;D3,HK,S2,CQ;C5,H9,HJ,H2;H3,H10,SK,H6"
1569978630,1,0,3,"C2,C6,CJ,C4;C10,CQ,CA,C8;D9,D6,DA,D3;S6,S3,S7,S5;DQ,D8,DK,DJ;SJ,S10,S2,SQ;D2,S4,SA,D5;D10,SK,D7,CK;D4,S8,C3,C5;C7,H6,S9,H7;C9,H3,H5,H9;HA,HK,H2,H8;HQ,H4,H10,HJ"
1569978630,1,13,3,"C2,C4,CK,C3;D3,D6,D7,D2;SQ,S9,SJ,S10;S2,S5,S4,C7;C9,D4,CJ,C6;CQ,D9,C5,DJ;D10,D5,DA,DQ;C10,H8,CA,HJ;S3,H5,SA,HA;S7,H10,S8,HK;D8,HQ,SK,H4;DK,H7,C8,H6;S6,H3,H9,H2"
1569978630,1,12,3,"C2,C9,C10,C3;CK,C7,C8,C6;C4,C5,SA,CQ;SK,S4,S10,SQ;DQ,D4,D8,D7;DK,D9,DA,D6;S7,S8,S3,D5;S6,S2,DJ,SJ;S9,H10,S5,D2;H4,H5,H2,HK;CA,H7,H9,CJ;D10,H6,HA,D3;HQ,H3,H8,HJ"
1569978630,1,0,3,"C2,CK,C10,CA;C3,CJ,C6,C5;DK,D3,DJ,DA;CQ,S8,S2,C4;SJ,S9,S6,S5;S3,SA,S7,D10;D8,D9,D2,D7;SQ,S4,H9,H7;SK,HK,D5,H4;S10,C9,DQ,H6;HA,HJ,C8,H3;H10,H2,D4,H5;H8,D6,C7,HQ"
1569978630,1,0,3,"C2,C3,CK,C8;DK,D8,D10,D5;CA,S10,C6,C7;C4,S7,CJ,CQ;SK,SA,S2,SJ;D7,DJ,D6,D4;D2,S9,D3,C9;D9,S3,DA,S6;C10,S5,S8,C5;DQ,SQ,HQ,H5;H10,H9,H2,H8;H7,H4,HA,HK;HJ,H3,H6,S4"
1569978630,1,4,3,"C2,CA,C3,C6;D3,DA,D6,D10;SJ,SQ,SK,S4;DQ,D9,DJ,D4;CK,CQ,CJ,C8;SA,S5,S10,S7;D2,C10,D5,D8;C4,C5,S9,DK;S8,S2,C9,S3;C7,S6,H7,D7;HA,H9,H8,HK;H4,HQ,H10,H2;H3,H5,HJ,H6"
1569978630,1,0,3,"C2,CQ,CA,C4;DQ,D7,D8,D6;D4,D5,D9,DJ;SK,S10,S9,S4;C6,C10,C3,S6;C9,C7,C8,DA;S8,SJ,SQ,S2;CK,CJ,C5,D3;S5,S3,SA,S7;D10,H3,HQ,DK;D2,H7,HK,H8;H2,H5,HJ,HA;H4,H9,H6,H10"
1569978630,1,4,3,"C2,C5,C10,C7;D9,D3,D5,D7;DA,DK,DQ,DJ;S7,S3,SJ,S10;D4,D10,D2,CK;D6,SQ,SA,C4;SK,S5,S6,S4;D8,S8,CJ,C8;S9,HA,CQ,S2;C9,H7,HJ,CA;C6,HK,H3,C3;H8,H2,H4,H5;H10,H6,HQ,H9"
