1569978636,1,10,1,"C2,C5,CJ,C10;SQ,S9,SK,SJ;D4,DQ,DJ,D6;D7,D5,DA,D2;S4,S2,C7,S3;S8,S6,CQ,S10;C8,CK,C3,C9;S7,S5,D3,C6;D9,D10,DK,H5;H3,H7,H2,HA;HQ,CA,H6,HJ;H10,C4,H4,H8;H9,D8,SA,HK"
1569978636,1,0,1,"C2,CJ,CQ,C7;S6,SJ,S2,S8;C4,CK,CA,C10;C3,C8,D6,C9;D5,SQ,D4,DQ;S10,SK,S5,S3;C6,DJ,C5,D10;SA,D7,S9,S7;HJ,H9,H6,H4;HA,H3,HK,HQ;H2,H7,D2,H10;DA,D8,H8,D9;S4,D3,H5,DK"
1569978636,1,13,1,"C2,C7,C10,C3;D5,C4,D10,D6;S4,SQ,S9,S10;CA,CQ,CK,C6;C9,S8,CJ,D2;D8,DQ,S3,DA;S7,S6,S5,D9;SA,SK,HJ,C8;D4,SJ,HK,DK;C5,H2,H3,H5;DJ,H4,H10,D7;H8,HQ,H7,S2;HA,H6,H9,D3"
1569978636,1,0,1,"C2,CQ,CJ,C10;SJ,S9,S2,S7;DK,DJ,D4,D6;D5,D8,D2,DQ;C7,C4,C3,C9;D3,D10,DA,SQ;S4,S6,SK,S3;CK,S5,C6,CA;D7,D9,SA,C8;HA,H9,H3,H8;H5,H7,HJ,HQ;C5,HK,H10,H2;S10,H6,S8,H4"
1569978636,1,5,1,"C2,C7,CQ,C5;S4,S5,SA,S8;SJ,S9,S10,S2;DK,D9,D6,DA;S7,D3,SQ,SK;D8,D4,DQ,D7;C10,C3,C8,C4;CA,CK,D2,C6;S3,CJ,H5,S6;C9,H7,H3,H6;H9,H2,H4,H10;D10,DJ,HA,HK;HQ,H8,HJ,D5"
1569978636,1,13,1,"C2,CJ,C9,CA;SK,S6,S2,SA;C7,D6,C4,C6;D5,D8,DK,DJ;CQ,SJ,CK,C5;DA,D10,D9,D2;D7,D4,DQ,C10;S4,SQ,S7,C3;H2,HQ,H3,H8;C8,S5,HK,HA;S9,S10,H6,H9;HJ,H10,H7,H5;S8,H4,S3,D3"
1569978636,1,17,1,"C2,C8,CJ,CQ;S3,S6,S7,D6;D3,DJ,D8,D7;S8,S2,DA,S10;DK,CA,DQ,D9;C10,C5,SJ,C3;D4,CK,D10,D5;S5,SA,C4,S9;SQ,SK,C7,S4;H3,H6,HQ,H4;H8,HJ,HK,H2;H9,H5,H7,H10;C6,HA,C9,D2"
1569978636,1,17,1,"C2,C7,C8,CQ;S4,S3,S8,SK;C3,C10,C9,CJ;D9,D8,DQ,D6;D7,DA,D5,DJ;S7,S6,S5,S9;D10,S10,D2,C6;C5,H9,C4,H2;CK,H10,CA,H4;D3,HJ,H8,DK;HQ,S2,H3,H6;SQ,SA,HA,H7;SJ,HK,D4,H5"
1569978636,1,0,1,"C2,CK,CQ,C9;DQ,DA,D7,D5;SK,S5,S6,SA;CJ,C6,C3,S10;D10,D9,D6,D2;DJ,D8,DK,S7;S2,CA,SQ,S3;S4,S9,C5,C8;D3,D4,H6,HJ;H8,HK,H4,HA;HQ,H5,S8,H10;C10,H2,C4,H9;C7,H3,SJ,H7"
1569978636,1,4,1,"C2,C5,CK,C10;D3,D5,D8,D7;C9,C6,CQ,CA;S8,S4,S5,S3;S10,S6,SK,SJ;D9,DA,DJ,C3;D2,DK,D10,C4;S2,SA,S9,S7;D6,H2,DQ,H9;CJ,D4,C7,HQ;C8,HJ,H5,H6;H8,H3,H10,HK;H7,HA,SQ,H4"
1569978636,1,2,1,"C2,C3,C7,C8;DQ,D6,DK,D7;D5,D4,D9,D8;S6,S9,S7,S10;D10,D3,DA,C4;S4,S8,SQ,SJ;CJ,C5,CA,C9;S3,SA,SK,CQ;C10,H6,CK,DJ;HK,HJ,HA,H10;H9,H3,H5,HQ;H2,S5,H4,C6;H7,D2,H8,S2"
1569978636,1,15,1,"C2,C6,C8,CQ;DJ,D2,D4,D6;D7,D10,DA,D3;DQ,DK,C3,D9;S3,S4,SA,SK;S7,S10,SQ,S2;CA,C9,C4,CK;C10,C7,H9,HK;S5,S8,SJ,H8;H4,H2,H5,H6;HJ,H7,C5,D5;HA,H10,S6,S9;HQ,H3,CJ,D8"
1569978636,1,13,1,"C2,C5,C8,C3;DQ,D7,D5,D6;C6,S8,C7,CQ;S9,S7,SA,S3;DA,D2,DK,D8;S5,SQ,S6,S4;D3,D10,C9,D9;S10,SJ,CK,S2;CA,C10,C4,H5;CJ,H2,HK,H8;H7,HJ,H6,H10;SK,DJ,HQ,HA;H4,D4,H3,H9"
