1569978750,1,0,0,"C2,CA,CJ,C6;D4,D9,D3,D10;D6,D2,DK,DJ;SK,S2,S4,S10;SQ,SA,S8,S3;S7,S5,S6,C4;CQ,C10,C8,C9;CK,D5,C5,C3;C7,DQ,D7,DA;H9,H2,H7,H6;HA,H10,H4,HJ;H5,D8,HQ,HK;H8,S9,SJ,H3"
1569978750,1,26,0,"C2,CK,C10,C7;S9,SA,S4,S2;SK,S3,S6,D8;S10,D5,S5,DJ;SJ,DQ,DA,C4;D6,D2,D3,D9;CQ,S7,C5,C9;C6,S8,CJ,C8;C3,SQ,CA,D10;DK,H3,D7,HA;HQ,H6,H10,H8;HJ,H9,H2,H7;HK,H5,D4,H4"
1569978750,1,3,0,"C2,C4,CQ,C9;DK,D8,D5,D2;DQ,DJ,D9,D10;S6,SJ,S4,S3;C3,DA,CJ,CK;C6,D3,C10,C8;C7,S7,SK,CA;SQ,SA,S10,S5;D4,D6,H7,H4;S8,HA,H5,HJ;S9,H3,HQ,C5;S2,H6,H2,H9;H10,HK,D7,H8"
1569978750,1,5,0,"C2,C3,C9,C4;S4,S6,SQ,S10;D7,DK,D10,S3;D9,CQ,D5,C6;D2,CJ,DQ,C8;CA,D6,C5,C10;CK,DA,SA,S5;D4,D3,S2,S7;SJ,SK,H7,S8;H5,HJ,H6,HQ;H2,H9,HA,HK;H4,H10,H8,D8;H3,S9,C7,DJ"
1569978750,1,9,0,"C2,CK,C9,C10;S4,S7,SQ,S10;C5,S9,CA,C6;D5,D8,D7,D4;S6,SK,CQ,S5;DK,D6,DJ,D3;S3,S2,C8,C4;D2,SJ,D9,DQ;C7,C3,S8,CJ;D10,DA,H6,H9;SA,H2,H4,H5;H8,H3,HQ,HJ;HK,H7,HA,H10"
1569978750,1,8,0,"C2,C6,C9,C3;D10,D5,D9,DQ;SK,SJ,S7,S3;CA,CK,C8,C4;D3,DJ,C7,DK;D6,CJ,D7,C10;S4,S6,S8,SQ;D2,CQ,C5,SA;D8,S2,S5,S10;DA,H2,S9,H3;D4,H4,HA,HK;H6,H7,H9,H8;HQ,H10,HJ,H5"
1569978750,1,2,0,"C2,C9,CQ,C3;S5,S6,SQ,S2;D8,D7,DJ,DQ;D2,D5,D6,DA;S3,SK,S9,S8;S4,SJ,CJ,S7;C4,CA,D9,C8;S10,DK,C10,D10;C6,H3,C5,HQ;C7,H2,CK,H7;H6,H4,HA,HJ;D3,HK,H10,D4;H5,H9,SA,H8"
1569978750,1,16,0,"C2,C5,C10,CJ;SQ,S3,S10,S5;DK,DJ,D6,D10;S8,S4,SJ,SK;D7,D2,DQ,D9;C7,CQ,C4,C8;SA,S9,S6,S2;DA,C3,C6,D4;S7,H9,C9,H7;D8,HA,HQ,D5;D3,H10,HJ,CA;H2,HK,H6,H5;H3,H4,H8,CK"
1569978750,1,0,0,"C2,C9,CQ,C8;S6,S3,SQ,S10;DQ,D7,D4,D2;C7,CJ,C3,CA;S7,S8,SK,SA;C5,C6,S2,CK;S4,D5,DA,SJ;D9,DJ,D6,D3;D10,D8,C10,S9;C4,H8,H4,HJ;HQ,H2,H9,HA;S5,DK,HK,H5;H10,H3,H6,H7"
1569978750,1,0,0,"C2,C8,CJ,CQ;D2,D10,D7,D3;SJ,S3,C4,SA;DQ,D4,DA,D6;CK,CA,C6,C7;DK,DJ,S7,D9;S2,S9,S8,D8;C3,S4,H6,C10;C5,H2,HJ,S5;C9,H10,HK,S6;H5,HQ,H7,H4;D5,H8,HA,SK;SQ,H3,H9,S10"
1569978750,1,4,0,"C2,C7,CA,C4;S9,S6,S3,SQ;C6,CJ,CQ,S5;DQ,DA,D7,D2;CK,C5,D10,C3;D5,D9,D4,D8;SA,S10,S8,S7;D6,SJ,DK,D3;S2,SK,S4,C9;DJ,H2,H10,H5;C8,H9,C10,H6;HQ,HJ,HA,H4;H7,HK,H3,H8"
