1569978756,1,13,1,"C2,CA,C7,C3;D9,DA,D5,D2;D10,SJ,DQ,D7;CK,C9,C10,C6;SK,S3,S10,S4;D8,D6,SQ,DK;S2,S7,S9,S8;SA,D4,S6,D3;S5,C5,C8,H2;CQ,DJ,C4,H6;HJ,H10,H8,H5;H7,H4,HQ,HA;HK,H9,CJ,H3"
1569978756,1,4,1,"C2,C5,C6,CJ;CK,C8,DJ,C10;S8,S7,S6,S3;DA,D3,D9,D10;SQ,S4,S9,S10;S5,S2,D6,SJ;D7,D8,DQ,D2;H8,H2,H5,HA;C3,CA,HJ,C9;H6,HK,H3,H7;HQ,DK,H10,CQ;H9,SK,SA,C7;H4,D5,D4,C4"
1569978756,1,8,1,"C2,C3,C5,C4;S7,S4,S10,SA;D8,D10,D3,D9;SJ,SK,S8,S5;DQ,D5,DJ,D2;C9,CK,C8,CQ;D7,S3,D4,DK;CA,D6,CJ,HK;SQ,S6,S9,H8;C6,DA,C7,H3;HA,HJ,H4,H10;HQ,H2,H9,S2;H6,H7,H5,C10"
1569978756,1,0,1,"C2,C6,C7,C10;D10,D8,DJ,D6;S6,S8,S3,SA;C5,CQ,S10,C3;DA,DQ,SK,D3;S4,S9,SJ,S2;C4,D4,C9,C8;D9,SQ,CJ,DK;D2,HK,D5,CK;D7,H8,S5,HJ;S7,H6,CA,H2;HQ,H9,H7,H10;HA,H4,H5,H3"
1569978756,1,13,1,"C2,C4,C8,C3;C9,C7,CJ,CQ;D6,DA,D2,D8;S3,SJ,S4,SK;DK,D5,DQ,DJ;SQ,S8,S9,S5;SA,C6,S10,S7;D7,D10,D3,CK;H10,H7,H5,H3;H2,HJ,HQ,H8;CA,H4,C10,H9;S6,HA,C5,D9;S2,HK,D4,H6"
1569978756,1,0,1,"C2,C4,CA,C8;CJ,C9,D5,C5;DA,D3,D7,D10;C10,DQ,SQ,SK;S3,SJ,S8,S5;D9,DK,D6,C6;S4,S2,S9,S10;D2,D4,DJ,CQ;S7,S6,CK,HJ;SA,HQ,C3,H10;D8,HK,H9,HA;H3,H2,H6,H4;C7,H7,H8,H5"
1569978756,1,0,1,"C2,C5,CQ,C4;D7,D2,D5,D9;S8,S4,S3,SJ;DJ,D4,D3,D6;DK,S7,DQ,SK;D10,S10,CK,CA;D8,S9,SA,C6;DA,S2,CJ,C3;C8,S6,C7,C10;HJ,H8,H10,H6;H4,H7,SQ,HK;H3,H5,C9,HQ;HA,H2,S5,H9"
1569978756,1,13,1,"C2,C7,C4,C10;S2,S5,S6,SJ;DJ,DQ,DA,D3;D7,D6,DK,D10;S4,SQ,S9,S10;SA,S7,S8,S3;SK,CQ,CJ,D5;C8,C6,D2,C5;D8,D4,H4,D9;H10,H2,H5,H7;HA,H6,HK,H9;HQ,C9,CA,H3;HJ,CK,C3,H8"
1569978756,1,2,1,"C2,C9,CQ,C3;S6,S3,S8,D9;C10,C7,C6,C5;D4,DJ,D8,D5;S4,SQ,DQ,S7;DA,DK,D3,D6;S2,S10,C8,S5;D2,D10,CK,C4;S9,SJ,HA,H5;H7,HK,H6,H4;SA,SK,HQ,HJ;CA,H2,H8,H10;CJ,D7,H3,H9"
1569978756,1,15,1,"C2,C3,C4,C9;D9,D8,DQ,D3;C10,C6,CQ,C8;D10,DK,D7,S3;S10,SQ,S9,SK;CA,S8,CJ,C5;D5,D4,DJ,SA;S2,S6,S7,C7;D2,DA,CK,D6;SJ,H3,S5,H2;H10,H7,H5,HJ;H4,HA,HQ,H8;HK,S4,H9,H6"
1569978756,1,4,1,"C2,C9,C10,CJ;C5,D10,CQ,C6;D9,DK,DQ,D3;S6,S10,SQ,S3;C4,C3,D4,CK;S5,S4,SA,SJ;D6,S8,D8,D2;S2,SK,S7,S9;H5,H2,HK,H8;H10,HJ,H9,H3;H7,HA,H4,C8;DJ,H6,D7,CA;DA,HQ,D5,C7"
1569978756,1,9,1,"C2,C6,C8,C10;SJ,S6,S5,S7;S4,S8,S9,S10;D9,D3,D8,SQ;DQ,D5,DJ,CJ;C7,D7,C9,C4;DK,DA,S3,SK;S2,CQ,SA,C5;CA,H4,HJ,CK;C3,HQ,H7,D2;H9,H5,HA,HK;H10,H2,H8,D6;D10,H3,H6,D4"
1569978756,1,0,1,"C2,CA,CJ,CQ;D8,D2,D10,DA;C8,C9,CK,C4;S3,S5,SK,S7;S10,S8,SA,S9;SQ,D7,D6,SJ;S6,D9,C6,D4;D3,C3,DK,DQ;C5,H2,H6,C10;H8,H9,D5,HJ;H7,H3,S2,H10;H4,HK,S4,HA;C7,H5,HQ,DJ"
1569978756,1,22,1,"C2,C6,CJ,C5;D10,DQ,DA,D2;C4,S3,CQ,C9;SA,SJ,S10,S8;C7,S6,CK,CA;S4,S5,SK,S2;D9,D3,DJ,DK;C8,D6,S7,C3;C10,D8,S9,D7;D4,H7,HJ,H10;D5,H2,H5,H4;SQ,HK,HA,H9;H8,H3,HQ,H6"
