1569978776,1,0,2,"C2,C3,CJ,C5;DJ,D6,DK,S3;S2,SK,S8,S6;C6,CA,C7,D3;S7,S10,D2,S9;SJ,CK,SA,S4;D7,C8,D4,D5;DQ,S5,C4,D10;D9,C9,C10,DA;SQ,H9,HA,CQ;D8,H4,HJ,HK;HQ,H5,H7,H3;H6,H2,H8,H10"
1569978776,1,17,2,"C2,CQ,C8,C9;D3,DK,D2,D5;S8,S6,S4,SQ;S5,S2,SJ,SA;D10,D9,DA,D8;CA,C7,CJ,C4;D6,DQ,DJ,C5;S10,SK,S9,S3;C10,D4,C6,H6;C3,HA,CK,H10;H3,H2,H8,HK;H4,H5,HJ,HQ;D7,H9,S7,H7"
1569978776,1,6,2,"C2,C4,C6,C8;SK,S8,S5,SA;D8,DA,D6,D5;S10,S9,S3,S2;SQ,C10,SJ,S6;S4,C3,CA,S7;C7,CK,D2,CJ;D9,DK,DQ,D3;H6,CQ,H5,H4;H10,D10,HA,HK;HQ,D4,HJ,H2;D7,C9,H8,DJ;H9,C5,H7,H3"
1569978776,1,0,2,"C2,CK,C6,C10;S6,S3,S4,SQ;D3,DJ,DK,D2;C5,C3,CQ,C8;D7,D8,C7,D5;D6,C9,D9,DA;S5,S2,S10,S8;CA,S7,CJ,D10;D4,SA,C4,DQ;H7,H4,H6,H2;HA,HQ,HK,HJ;H9,H8,SK,H10;H5,SJ,S9,H3"
1569978776,1,0,2,"C2,CJ,CA,C9;D6,DA,DK,D5;SJ,S3,S9,SA;C3,CK,C8,C5;S5,SQ,S2,D8;C6,DQ,C10,CQ;C4,S6,S4,C7;D9,D10,D4,S10;D7,HQ,S7,DJ;D3,H7,H6,HK;SK,H8,H10,S8;D2,HA,H4,H9;H2,H5,HJ,H3"
1569978776,1,8,2,"C2,CQ,C8,C6;DK,DA,D8,DQ;S7,S10,SJ,SQ;D4,D3,D2,D7;CJ,C4,CA,C10;SA,S5,S8,D9;S9,S3,S4,C7;S6,DJ,SK,D5;CK,H10,C3,C9;S2,H7,D6,D10;H4,H6,H2,HQ;HJ,H3,H5,H8;HK,HA,C5,H9"
1569978776,1,2,2,"C2,C7,C8,C3;SK,S7,SQ,S3;DK,D4,D5,DJ;DQ,D2,D3,D9;D8,S10,D6,DA;D10,S9,C10,D7;CA,SA,C6,C5;S6,S2,CQ,S8;C4,H4,C9,CK;S4,H7,H5,S5;H8,H10,H2,HQ;CJ,HJ,HK,SJ;H6,H3,HA,H9"
1569978776,1,13,2,"C2,C4,C8,C9;D9,D10,DK,DJ;SQ,S10,S8,S2;S4,S9,CA,S6;D6,DA,DQ,D2;D7,D4,C3,D5;C6,CK,CQ,C5;D3,S5,C7,S7;S3,CJ,C10,SK;SJ,H5,H10,SA;HA,HK,H7,H9;D8,HJ,H4,H6;HQ,H2,H8,H3"
1569978776,1,19,2,"C2,C6,C10,CK;D4,DK,D9,D10;S6,SQ,S9,S4;S7,S8,S10,D7;S2,SJ,C4,D5;CA,SA,C3,CJ;DJ,DA,DQ,C9;SK,H4,H8,C8;S3,D2,H10,D3;S5,D8,H6,CQ;H9,C5,H3,HQ;H2,HJ,D6,HA;HK,H5,H7,C7"
1569978776,1,4,2,"C2,C7,CQ,CK;DK,DQ,D4,D2;S10,S2,SK,S9;S8,S3,S5,S6;SQ,D8,SJ,D3;D9,D6,C4,D5;SA,C6,S4,C5;S7,C8,C10,CJ;CA,D7,C9,C3;DA,H3,H7,D10;H5,H4,HQ,HK;H8,HA,H6,H9;H10,HJ,DJ,H2"
1569978776,1,3,2,"C2,CA,CQ,CJ;DK,D5,DJ,D8;D6,D10,SA,D3;S7,S8,S2,SQ;D4,C7,S4,D2;C6,C8,CK,C9;S3,S9,S10,DQ;C10,C3,C4,C5;D9,H6,HQ,DA;HA,HJ,S6,H3;H4,H10,SK,H8;H7,S5,H2,HK;D7,SJ,H9,H5"
1569978776,1,3,2,"C2,C3,C7,C10;S9,S3,C9,S8;D9,D3,D2,DJ;C5,C8,CK,S10;D10,D4,DA,D7;S7,S2,SA,D5;SJ,S5,SQ,D6;D8,C6,DQ,DK;CJ,HA,CQ,HQ;H8,H3,H6,HJ;C4,S6,H9,HK;CA,H10,H2,S4;H4,H7,H5,SK"
1569978776,1,2,2,"C2,CK,C6,CA;S4,S9,S8,SK;C5,C7,C8,C9;D7,D6,D8,DA;SA,S2,SQ,SJ;CQ,CJ,D4,C4;S3,S5,S7,DJ;DQ,D5,C10,D3;DK,C3,HK,D10;D9,S10,H5,D2;H4,HJ,H2,H8;S6,HQ,H10,H3;H7,H6,H9,HA"
