1569979568,1,0,3,"C7,CK,CA,C2;D10,D9,D4,DA;SQ,S2,SA,S5;SK,S10,S6,C8;S7,S9,D6,DK;C3,CJ,S4,C5;CQ,S8,C4,C6;D2,DQ,DJ,D7;SJ,H2,HK,D5;H5,HJ,H10,D3;H6,HQ,H3,D8;H4,H9,H8,C10;H7,S3,HA,C9"
1569979568,1,4,3,"CQ,CJ,C8,C2;C3,C7,C5,C4;SQ,S8,D8,S4;S10,SA,CK,S6;D5,DJ,D10,D2;SJ,H8,S9,S2;H2,H6,HA,HJ;H7,H10,D9,SK;HK,H4,D3,D6;H9,S5,DK,DQ;H3,C10,C9,CA;HQ,S3,D4,D7;H5,S7,C6,DA"
1569979568,1,26,3,"C5,C7,CA,C2;S9,SA,S4,S10;D7,D4,DQ,D9;C3,CQ,C10,CJ;DK,DA,D10,D3;C8,C4,D8,C9;SK,S7,S6,D2;S8,S5,S2,D5;SJ,SQ,H9,H8;HJ,H7,H10,H5;C6,H3,H6,DJ;CK,HQ,H2,HA;S3,HK,H4,D6"
1569979568,1,0,3,"C4,CJ,C9,C2;C10,S4,CA,C8;D9,D6,DJ,D8;D5,D3,D2,S5;DQ,DK,D10,C7;SJ,SK,S6,SQ;S2,S10,S7,S8;H4,H6,H5,HQ;C3,HA,H8,C5;CQ,C6,H2,H9;S3,S9,HK,SA;H10,D7,H7,HJ;CK,DA,D4,H3"
1569979568,1,0,3,"C8,CJ,C7,C2;S8,S2,S5,SQ;D4,D6,DJ,D9;C9,D10,CQ,CA;D7,D8,D2,D3;SJ,S7,SA,S6;S9,C5,S4,H8;H10,H3,H9,H7;C4,C3,C10,HA;S10,DK,SK,H6;S3,HK,H2,HJ;C6,DA,H5,D5;CK,HQ,H4,DQ"
1569979568,1,2,3,"C7,CJ,C9,C2;DQ,D7,D9,D2;D6,S6,D8,D5;C10,CA,C5,CQ;S2,S5,SA,SK;SQ,S8,SJ,S10;S4,C6,D3,S9;C8,CK,DA,S7;C3,C4,DJ,D4;D10,HQ,DK,HA;H7,H3,H10,H4;H8,H5,HJ,HK;H2,H9,H6,S3"
1569979568,1,15,3,"CJ,CK,C5,C2;S2,S3,S9,S8;D7,DJ,D4,D9;C10,C8,CA,SK;DQ,C6,DA,D6;D8,S5,D5,DK;SA,S10,D2,S6;C7,HQ,C4,HA;H3,HJ,H4,H9;H7,C3,SQ,H8;S4,H2,D3,S7;SJ,HK,C9,H6;D10,H5,CQ,H10"
1569979568,1,0,3,"CK,C10,C9,C2;S6,SA,S8,S2;S10,SK,SJ,S3;DK,DQ,D6,D3;DJ,DA,D7,D10;C8,CQ,C5,C7;D4,D9,C6,S4;C4,CJ,S5,S9;D2,D8,H9,SQ;CA,C3,H8,H10;H6,HQ,HK,H4;H7,H2,HA,H5;S7,D5,H3,HJ"
1569979568,1,8,3,"C6,C8,CQ,C2;DQ,DA,D8,D10;D4,D6,DJ,DK;D3,SK,SQ,D5;SA,S4,S6,S3;S9,S10,S2,CJ;S7,S5,D9,C10;C7,C9,C3,CK;D7,C5,H6,D2;H8,H9,H2,HA;H3,C4,HQ,H10;H7,SJ,H5,H4;HK,S8,HJ,CA"
1569979568,1,5,3,"C6,CA,C4,C2;C10,C8,CQ,D9;DQ,D8,D6,D10;SJ,S7,SK,S3;DJ,DK,D3,SA;S6,S4,S2,S10;C3,C5,S5,CJ;C7,D2,C9,S9;DA,D5,HQ,H5;H6,HA,H7,H3;H2,HK,H9,HJ;D4,D7,H10,S8;H4,H8,CK,SQ"
1569979568,1,0,3,"C6,C4,CJ,C2;S10,SQ,S4,S3;D10,D9,DJ,D3;S5,S6,SA,S7;DA,D4,D5,D2;C3,CA,CK,CQ;DQ,D6,SK,D7;D8,C7,C10,DK;S2,S9,SJ,C9;C8,H8,H6,C5;H9,HQ,H7,H4;HK,H5,HJ,HA;H10,H3,S8,H2"
