1569979586,1,1,3,"SA,C7,C5,C2;S2,S10,S6,SJ;DQ,D9,D6,D7;D2,D5,D4,DJ;CJ,S5,CK,CQ;S3,S8,S7,S9;C10,D3,C4,C3;C8,H9,C6,CA;H4,H3,HK,H8;H2,HJ,HA,HQ;SK,H6,H7,S4;SQ,C9,H5,DK;D10,DA,H10,D8"
1569979586,1,7,3,"C9,C5,C3,C2;D4,D10,DQ,D6;S4,SJ,S7,S3;C7,CK,CA,CJ;D3,DK,DJ,D2;SK,SA,S8,SQ;C6,D8,CQ,D5;S2,S10,DA,S5;C4,D9,C8,S6;HJ,H10,H8,HA;H3,H2,H7,HQ;HK,C10,H6,H9;H4,S9,H5,D7"
1569979586,1,0,3,"C9,C4,C5,C2;D9,D7,D8,D4;DQ,CJ,DJ,D3;D5,CA,D6,CK;S3,S2,SA,SQ;C6,C7,C10,S5;D10,SK,DA,S6;S10,S7,SJ,S8;CQ,C3,DK,D2;C8,S9,S4,H2;H9,H6,HJ,H5;HA,H10,H8,HK;HQ,H3,H7,H4"
1569979586,1,0,3,"C6,C7,C8,C2;SA,S7,S6,S2;S5,S4,S10,S3;D3,D4,D5,D7;SQ,S9,S8,DA;D9,D10,DJ,DK;CA,C3,C5,C9;C4,C10,CQ,CK;SJ,CJ,SK,DQ;D8,H10,D6,H9;HK,HJ,H2,H4;D2,H7,HQ,H3;H8,H6,H5,HA"
1569979586,1,23,3,"C5,C7,C10,C2;S4,SJ,S7,S2;CA,CJ,CK,C8;SK,S10,DJ,S3;S9,S6,D10,D5;CQ,C6,C3,C9;D4,D2,D6,D3;D8,S8,DQ,D7;S5,SQ,DA,D9;C4,H10,H8,SA;HK,HJ,H7,H9;H5,H2,H3,H4;H6,DK,HA,HQ"
1569979586,1,7,3,"CJ,C6,CQ,C2;C10,C7,C3,C4;D8,D10,DJ,D2;S10,SK,SJ,SQ;D5,D3,D7,DQ;C5,S3,C8,C9;S4,S8,S2,D9;S6,S9,DK,S5;D6,CK,DA,CA;D4,HK,H3,S7;H2,HA,H5,H9;H6,H7,H4,H8;SA,HJ,H10,HQ"
1569979586,1,1,3,"C5,C4,C10,C2;CJ,D7,CK,S4;D8,D10,D9,DQ;C6,D6,S5,C9;S10,SA,S3,S6;D2,DK,DJ,D3;D5,CQ,S7,DA;SJ,C8,S8,H8;H7,H4,HQ,H6;D4,C7,H9,S2;HA,H5,H3,H10;H2,C3,HJ,SQ;HK,CA,SK,S9"
1569979586,1,0,3,"C3,CQ,C10,C2;C6,C5,CK,C9;S4,S8,SK,S5;D10,D9,D2,D6;S2,SA,DA,SQ;D5,D3,D8,D4;S9,DQ,S3,S6;C4,HA,CA,CJ;HK,H8,HJ,H3;HQ,H4,H2,SJ;H6,H10,H9,C7;H7,DK,C8,DJ;H5,S10,D7,S7"
1569979586,1,12,3,"C9,C6,CQ,C2;S9,S6,S8,S7;D2,D9,D3,DK;C4,C5,CA,C3;D6,DJ,D10,D5;D8,DQ,SK,S4;SA,SJ,C10,DA;S5,S10,CK,CJ;SQ,S3,H9,D4;H3,HJ,HA,H4;H10,C7,H8,H2;HQ,C8,H7,H5;HK,S2,H6,D7"
1569979586,1,2,3,"C3,C9,C10,C2;S6,SQ,S8,S5;D4,D6,D5,DQ;D2,DK,SJ,DA;CJ,CQ,CA,S10;C8,CK,C7,S9;D7,D8,DJ,S3;SA,S2,S4,C6;SK,C4,H4,H8;HK,C5,H2,H9;HA,D10,HJ,H6;H10,D9,HQ,H7;H3,D3,S7,H5"
1569979586,1,0,3,"C10,SA,CJ,C2;C6,CQ,C9,S3;S6,S2,S4,S5;S9,SK,SQ,SJ;D6,DQ,D4,D8;S8,S7,S10,C3;DJ,D7,DK,D2;D9,D5,DA,D3;C5,CA,H8,C4;C8,H6,H9,CK;HA,H3,H4,HQ;HJ,D10,H10,HK;H7,C7,H5,H2"
1569979586,1,26,3,"C3,C10,CK,C2;SJ,SA,SK,S5;DJ,D7,DQ,DK;S6,S3,CQ,S7;CA,C7,C8,C4;C9,S8,CJ,C5;D4,D9,DA,D2;D3,S9,D8,S4;D5,SQ,D10,HK;S2,H5,HJ,H4;S10,HQ,H10,H2;C6,H9,H7,H8;D6,H3,H6,HA"
