1569979591,1,0,2,"C4,CA,C6,C2;S2,S10,S6,S7;S5,SA,SQ,S3;S8,S9,DJ,SK;DA,D9,D10,DK;S4,D6,CJ,SJ;D7,D3,D5,D4;C8,C7,CQ,C5;CK,C3,C10,DQ;H10,H4,H2,HA;H5,HJ,H8,HQ;H3,C9,H9,HK;H6,D2,D8,H7"
1569979591,1,0,2,"C8,C10,C5,C2;DA,D2,DK,D7;CQ,S5,C4,CJ;SA,S4,SQ,S8;CA,D8,C3,C7;S9,S10,S7,S3;D5,D10,D6,DQ;C6,SK,C9,D3;DJ,SJ,D9,D4;CK,HQ,HA,H8;H10,H6,HJ,H5;H2,H4,H7,H3;S2,H9,HK,S6"
1569979591,1,4,2,"C3,C7,C8,C2;D7,D6,DK,DJ;SK,S8,SA,S9;C5,CK,C9,CQ;S6,CA,S7,S10;SQ,C4,S3,S4;S2,D10,DQ,D8;D5,D4,D3,C6;SJ,DA,D9,C10;CJ,D2,H9,HJ;H3,HK,H5,H10;H2,H7,H8,HA;HQ,H6,S5,H4"
1569979591,1,18,2,"C5,C3,C7,C2;DK,D4,D3,D8;S6,S5,S10,SA;CQ,S2,C10,CK;S9,S7,SK,CJ;C6,D9,C4,SJ;C8,D6,C9,D2;DA,D5,CA,DQ;H4,HQ,H9,HJ;H2,HK,H3,SQ;H10,H8,S4,S8;H6,H7,D10,DJ;HA,H5,S3,D7"
1569979591,1,0,2,"C3,C10,CA,C2;D4,D7,DA,DK;S6,SA,S4,S8;D10,D5,D2,D6;C4,CJ,C6,C9;SK,S7,S2,SJ;S9,D3,D9,S5;SQ,H7,HJ,S10;HK,HQ,H3,H10;H2,C5,H6,H8;C8,C7,H9,CQ;H5,DQ,CK,HA;H4,D8,S3,DJ"
1569979591,1,4,2,"CA,C4,C3,C2;S2,S7,S5,S6;D9,D4,DQ,D10;C8,S3,C5,CQ;S8,SQ,SJ,SK;D3,D7,CJ,DK;S9,S4,C10,S10;D5,SA,CK,DJ;D6,HA,H8,DA;H5,H6,H4,HJ;H2,H3,HK,D8;H9,H10,C9,C6;H7,HQ,C7,D2"
1569979591,1,17,2,"CA,C6,CK,C2;SK,S5,S9,SJ;DJ,D3,D2,D9;DQ,D8,D7,DK;D6,DA,S10,D4;SA,S7,S8,S2;S4,SQ,D5,S6;C8,C10,CJ,C5;H2,HQ,H10,H5;H4,HA,H9,H6;D10,H7,CQ,HJ;C4,HK,H3,C7;C3,H8,S3,C9"
1569979591,1,13,2,"C7,CA,CJ,C2;S2,S10,S6,SJ;DA,DK,DJ,D10;DQ,D6,D3,D4;C4,C3,C6,CK;SK,S5,SA,D9;S3,C10,C5,SQ;S7,S8,D7,CQ;C9,D2,D5,S4;S9,HQ,HA,HJ;H9,H8,H2,H6;C8,H4,H10,H3;D8,H5,H7,HK"
1569979591,1,3,2,"C3,CQ,C5,C2;DA,DJ,D10,DK;SA,S4,S6,S3;D5,D8,D3,D2;S8,S7,SK,C10;D6,DQ,D7,D4;SQ,S2,C7,S5;C9,C4,CA,CK;H7,H9,H3,HA;H8,H6,H4,H10;HJ,C6,HK,HQ;S9,CJ,S10,H5;SJ,C8,D9,H2"
1569979591,1,16,2,"CQ,C10,C5,C2;SK,SA,S2,SJ;D9,D10,D6,D3;C4,CA,C8,C7;S4,S5,S10,S6;D2,DJ,D7,DK;C6,C9,CK,DA;D5,D8,C3,D4;CJ,S9,S8,H2;H7,HQ,H10,H4;H8,SQ,H5,H9;HK,S7,HA,H3;HJ,DQ,H6,S3"
1569979591,1,0,2,"CA,CK,CJ,C2;D10,DA,D9,D8;D3,DJ,DK,D5;S9,S4,S10,SA;C10,C4,C6,S3;DQ,S2,D4,D7;HQ,C5,HJ,H7;H4,S7,H3,H9;D2,C7,H10,H6;SK,SQ,S6,H2;D6,C9,C8,H5;SJ,S5,HA,HK;S8,C3,CQ,H8"
1569979591,1,16,2,"C8,CJ,C5,C2;SK,S5,S9,S4;DA,D3,D4,D8;D2,SJ,DK,D10;S7,S3,S2,S8;D6,C10,DJ,SA;D9,DQ,CK,S10;D7,CA,D5,C6;HA,HJ,H6,H7;H4,H9,SQ,H5;C3,C4,HQ,CQ;HK,H3,C7,H8;H10,C9,S6,H2"
