1569980683,1,7,0,"CJ,CA,CK,C2;C9,C5,CQ,C3;S9,S8,SK,S2;SQ,S10,S4,S6;D6,D4,D8,D9;D7,C8,D3,D2;DQ,C10,D5,D10;C4,HQ,C6,H7;HK,HA,HJ,H5;H2,S3,H10,H4;H6,DJ,H3,C7;S7,S5,H8,SA;DK,DA,H9,SJ"
1569980683,1,0,0,"C4,C3,C6,C2;S7,SK,S4,SJ;D9,D7,D5,D8;DA,S9,DJ,D10;DK,S6,C8,D4;D3,S3,C5,D6;S5,S10,CQ,SQ;CK,C9,C7,S8;D2,H7,H2,S2;DQ,H6,HJ,HQ;H3,CJ,HA,H4;H8,CA,HK,H5;H10,C10,H9,SA"
1569980683,1,0,0,"C10,CA,CQ,C2;D6,D5,D10,D7;S8,S3,SA,SK;S5,S2,DK,S7;CK,C9,C5,C8;C6,D3,C3,SQ;D2,D4,DQ,D9;C4,S6,CJ,S10;S4,H7,HA,H8;H9,H4,H5,H10;HQ,HK,HJ,H2;DA,SJ,H3,D8;DJ,S9,H6,C7"
1569980683,1,10,0,"C6,C8,CJ,C2;D2,DJ,DK,D6;S4,SA,S3,S2;C3,CQ,C9,CA;D9,D4,DA,D8;C4,C10,C7,D10;SQ,S10,SJ,S5;S6,S8,S7,D5;C5,SK,DQ,S9;CK,HA,H10,H2;H3,HK,H9,H6;HQ,H5,H4,HJ;H8,D3,H7,D7"
1569980683,1,16,0,"C10,CK,CA,C2;D3,D5,DJ,D8;S2,S3,SJ,S9;C5,CQ,C3,S4;DA,D7,DQ,D2;C6,S8,SA,C9;S6,SQ,S10,S7;H7,HJ,H4,H10;H2,H8,H3,H9;D9,C8,HA,D4;D10,C7,H6,DK;H5,SK,CJ,HQ;HK,S5,C4,D6"
1569980683,1,0,0,"CK,C8,CQ,C2;D10,D7,DK,DJ;C5,C10,SK,D4;CA,C4,DA,S4;D6,D2,DQ,D9;SA,S9,S6,S8;S5,C7,SJ,C9;S2,C3,S10,D5;S3,C6,D8,S7;SQ,H10,H2,CJ;HA,H9,H5,H4;HJ,HK,H7,H3;H8,D3,HQ,H6"
1569980683,1,7,0,"CQ,C3,C6,C2;D2,D10,D4,D9;C8,CA,C4,C10;S4,S8,SA,S5;S9,D6,S10,S7;D7,DA,C9,D8;C7,CJ,CK,C5;S3,D3,SQ,S2;DK,DJ,D5,SJ;DQ,HJ,H3,SK;H7,H8,HK,H5;H9,HA,H2,H6;H4,HQ,H10,S6"
1569980683,1,16,0,"CA,C9,C7,C2;CJ,C8,C4,C6;DJ,D10,D6,DK;S8,SK,S6,SA;D2,D7,D3,S7;D8,D9,DQ,CK;C5,S9,DA,C3;S2,SQ,S3,S4;SJ,D4,C10,S10;S5,H5,HA,HJ;HQ,H3,H8,HK;CQ,H10,H2,H4;H9,H6,H7,D5"
1569980683,1,4,0,"C10,C3,CK,C2;S5,S6,SK,S9;D6,DQ,D4,D10;DK,D8,DA,D5;D2,DJ,D3,S4;C5,C9,C8,C4;S7,S8,SA,S2;D7,CA,SQ,SJ;D9,S3,CJ,C7;CQ,C6,H3,H8;H4,H2,H10,HK;H9,H5,HQ,HA;S10,HJ,H7,H6"
1569980683,1,17,0,"CA,CQ,C3,C2;SJ,S7,S9,S10;D7,D8,D4,D6;C4,C9,CK,CJ;SQ,C8,S2,S6;D10,DK,D2,D3;C10,C5,S8,C7;DJ,D9,SK,DA;SA,S3,H10,HK;H5,HJ,HA,H4;H6,H7,H3,S4;HQ,H9,D5,H8;C6,DQ,S5,H2"
1569980683,1,6,0,"CJ,CK,CQ,C2;C5,C9,C8,CA;S5,SQ,S3,S10;D8,D2,D9,DJ;D6,DQ,DK,D4;D3,DA,D7,D5;SK,S4,SA,S8;D10,C10,C7,S6;H3,H2,H5,H8;H9,HJ,H4,H7;HA,HQ,H10,S9;S7,S2,H6,SJ;C6,C4,HK,C3"
