1569980695,1,0,2,"C4,C3,CA,C2;SA,SK,S10,S2;DA,D3,D7,D6;DJ,DQ,D2,D5;S3,C10,S4,CK;S7,SJ,C7,C8;C5,D10,S8,C9;DK,D4,S6,CQ;D8,H4,SQ,H6;H10,HJ,H9,HK;C6,H7,S9,H8;CJ,HA,H5,H3;H2,HQ,S5,D9"
1569980695,1,3,2,"C8,CA,C4,C2;S9,S2,S4,SJ;D9,D4,D2,DA;SK,S6,SA,S3;CJ,C10,CQ,C7;DK,DQ,DJ,D7;D3,D6,D5,CK;C5,C6,C9,C3;HJ,HK,HA,H2;H4,H10,H7,H9;D8,D10,H3,SQ;S8,S5,H8,S7;H5,S10,HQ,H6"
1569980695,1,9,2,"C7,CK,C6,C2;S8,S2,SK,SQ;C9,CQ,C4,C10;C8,CJ,CA,SJ;S4,D7,S9,S7;DJ,D4,D6,S6;D8,D9,DK,C3;SA,D5,S3,H9;HJ,HQ,H10,H2;DQ,DA,C5,H7;D10,D2,H4,HA;H3,HK,S10,H6;D3,S5,H8,H5"
1569980695,1,10,2,"C3,CJ,C6,C2;D10,D5,D9,D8;S9,S5,S4,SK;DK,SA,DQ,D2;D4,CQ,D3,DA;C9,CK,C4,C7;S8,S2,SJ,S7;D7,D6,DJ,S6;C10,CA,S10,S3;SQ,H7,H2,HA;H3,HQ,H4,H5;H10,C8,H6,H8;HK,C5,HJ,H9"
1569980695,1,5,2,"CJ,C10,C6,C2;C3,SQ,C8,CK;S3,S7,S10,S5;S8,SJ,S6,S2;D10,DK,D9,D7;C7,SA,C9,C5;D8,D4,H2,DA;CQ,C4,CA,H10;HJ,H5,H7,H9;HK,DQ,H8,D5;H3,S4,H4,D3;HA,DJ,S9,HQ;H6,D2,D6,SK"
1569980695,1,17,2,"CK,C4,CA,C2;D2,D9,DA,D3;S10,S7,S3,S2;SA,S5,SK,SQ;S6,S8,S9,D8;CJ,C7,D7,C8;DK,DQ,D5,SJ;DJ,D10,HA,H4;C3,C5,H5,C9;S4,HQ,H2,H3;H9,H7,H6,H10;HJ,C10,H8,C6;HK,D6,D4,CQ"
1569980695,1,4,2,"C7,C9,C5,C2;SA,SQ,SK,D6;S9,S8,S10,C6;C10,C8,CA,C4;D7,DJ,DK,D5;CQ,C3,D2,CK;S6,SJ,D8,S2;CJ,D3,DQ,S3;D4,HA,S4,D10;H3,H4,H7,H10;H8,HK,H2,DA;HJ,HQ,S5,H6;H9,S7,D9,H5"
1569980695,1,2,2,"CK,CA,C10,C2;DQ,D8,DA,DK;S6,S5,S7,S3;SJ,S8,D10,SA;DJ,D4,D7,D3;C5,C8,C7,C9;S4,S2,D5,C6;S9,S10,H9,H8;H4,H6,H10,H5;H2,CJ,H3,HA;SQ,D9,D6,HQ;CQ,C4,D2,HJ;SK,C3,HK,H7"
1569980695,1,7,2,"C5,C10,C7,C2;C6,C3,CJ,DK;SQ,S6,S7,S4;D6,D8,DJ,DA;D3,D9,DQ,D2;S10,CA,S3,S5;D7,C4,S9,D5;D4,H8,SK,D10;H7,H4,HQ,HK;HJ,H10,C9,H5;H2,H3,S2,CK;HA,C8,H9,CQ;H6,S8,SJ,SA"
1569980695,1,6,2,"CK,CJ,C5,C2;C6,CA,C7,C3;D8,D5,DK,D7;S10,SA,S3,S5;C4,CQ,C10,DJ;D4,DA,DQ,D10;C8,C9,SK,S2;D2,S4,S8,D3;H4,D9,HA,HQ;H8,D6,HK,H10;H5,S9,H9,HJ;SJ,S6,SQ,H2;H3,S7,H6,H7"
1569980695,1,3,2,"C9,C6,CK,C2;S6,S8,S10,SJ;DA,D5,D9,DK;CQ,C5,CJ,C4;S9,C3,S4,S2;D2,D10,SK,D3;C7,CA,SQ,D7;S5,C8,S7,DJ;D6,C10,S3,D8;DQ,H6,H7,H10;H5,HA,H8,H2;HK,H3,H4,H9;HQ,HJ,D4,SA"
1569980695,1,1,2,"C9,CJ,C4,C2;S6,S10,SJ,S8;CQ,D9,CK,C6;D4,DK,D5,D2;S9,S7,SA,SQ;C10,C5,C3,S3;C7,C8,SK,D7;D8,CA,DQ,DA;D3,D10,H9,DJ;H6,HQ,H5,H8;D6,H2,H7,HJ;HA,HK,H3,S5;H4,H10,S4,S2"
