1569980697,1,25,1,"C8,C9,C5,C2;SQ,S5,SJ,S7;S3,S9,S8,S2;C6,CA,C3,C10;D4,D7,DK,D5;D8,DA,S6,D10;D2,S4,D9,DQ;S10,CK,CJ,SA;CQ,HA,D6,C7;H10,HJ,HQ,HK;SK,H9,H2,DJ;D3,H8,H3,H6;H7,H5,H4,C4"
1569980697,1,0,1,"CK,C5,C9,C2;D2,DK,D9,D3;DJ,D6,D5,D8;S7,SJ,SK,SQ;S2,S3,S5,S6;D4,CA,DA,DQ;C7,CQ,C4,S9;S8,SA,S10,D7;C8,C3,HA,C6;HJ,H6,H9,HQ;H5,H3,H10,H4;H8,C10,HK,H2;S4,D10,CJ,H7"
1569980697,1,0,1,"C9,CJ,C6,C2;D8,DA,D9,D10;CK,CQ,C10,C7;S7,SK,SQ,S8;C8,D5,C4,CA;D2,D3,D4,DJ;D6,S10,DK,D7;S2,S6,SA,SJ;S3,S4,C3,S5;S9,H6,H4,H10;HJ,H2,HQ,H8;H7,H5,H3,H9;DQ,HK,HA,C5"
1569980697,1,3,1,"C8,C7,C3,C2;S8,S2,S5,SK;D8,D3,D10,DA;S3,CK,SA,S10;C4,C5,CA,C10;CJ,C9,CQ,S7;C6,D7,S9,DQ;D6,DK,S4,D5;H6,H8,HK,H4;S6,H10,D4,H7;SQ,HA,D9,H9;H5,HQ,DJ,HJ;H2,D2,H3,SJ"
1569980697,1,20,1,"C5,C7,C10,C2;DJ,D2,D3,D4;D9,D5,SK,DQ;S6,S2,SA,S10;S5,S3,SQ,DA;C8,C4,S7,C3;CA,CJ,S8,D6;D7,DK,SJ,D8;C6,S9,C9,D10;CQ,HJ,H10,H5;HA,H2,H6,HQ;H9,H3,HK,H4;H8,H7,CK,S4"
1569980697,1,3,1,"C3,CJ,C4,C2;D8,DQ,D5,D7;C5,C6,C10,CA;D10,D6,D2,DJ;S2,S7,S9,SJ;D9,CK,DA,D3;S8,S5,S3,S4;S10,SA,SQ,C7;C9,D4,C8,CQ;DK,HQ,H6,HA;H8,HJ,H4,H2;H9,SK,H3,HK;H5,S6,H10,H7"
1569980697,1,22,1,"C7,C10,C9,C2;S8,S2,S9,SQ;D5,D2,D8,DK;CK,CJ,CA,C5;DQ,D9,D10,D7;DA,DJ,D4,C8;D6,D3,C4,C6;CQ,SA,S7,C3;S6,SK,S3,S5;H9,HQ,H3,H5;HJ,HA,H6,HK;S10,H4,S4,H10;SJ,H2,H8,H7"
1569980697,1,5,1,"CK,C6,C4,C2;S6,S4,SA,S9;DK,D8,D5,D2;C10,CA,C7,C3;D4,DQ,D3,DA;S3,SK,S10,S8;C5,CQ,C9,SQ;H9,H8,H7,H5;H6,HJ,HQ,H3;D10,D7,H4,D6;S5,S2,H10,S7;SJ,C8,HA,D9;DJ,H2,HK,CJ"
1569980697,1,13,1,"CQ,C3,C5,C2;DQ,D10,DA,DJ;C10,D4,C9,CA;D6,D3,D9,C6;S3,SQ,S8,S9;S6,SK,S7,S5;D8,SJ,D7,D2;C7,SA,CK,D5;C4,CJ,H7,DK;H2,HJ,H3,H10;H9,HQ,H5,HA;S10,S4,S2,H4;HK,C8,H8,H6"
1569980697,1,4,1,"C8,C9,C10,C2;D3,D5,D9,D10;S4,S7,SQ,S2;C5,C6,C3,C7;S5,SA,S9,D7;CJ,C4,CA,CQ;DK,D6,D4,DJ;D2,DA,CK,SK;DQ,SJ,S6,D8;H10,H7,HJ,HQ;H6,H9,S8,H4;HA,S10,H3,HK;H2,S3,H5,H8"
1569980697,1,3,1,"C7,C8,C6,C2;DQ,D5,D3,DA;C10,C9,C5,C3;D10,D4,DK,DJ;S3,S5,S8,S10;S6,S7,S9,S4;CQ,CK,D8,CA;SK,SQ,SA,D7;CJ,H3,H8,H10;HJ,D6,HQ,HA;H6,SJ,H7,HK;H4,D9,H9,H5;C4,S2,D2,H2"
1569980697,1,17,1,"S3,CJ,CK,C2;D5,D3,D2,D6;DK,D10,D9,D4;SQ,S10,S5,SA;DJ,DQ,DA,D8;C5,C4,S8,C9;SK,S2,S4,D7;C10,C7,CQ,HJ;H6,H9,HA,H8;H7,H5,S9,H10;C6,C3,H3,C8;SJ,H2,S7,HQ;S6,CA,HK,H4"
