1569980703,1,0,3,"C7,CK,C8,C2;D6,DK,D3,D4;S10,S5,SQ,S4;DJ,D9,D7,SK;D8,D5,S6,S2;S8,DQ,S7,S3;C5,C6,C9,CJ;SA,C10,D10,SJ;CQ,H4,DA,CA;H3,HA,H5,H6;HQ,HJ,H9,HK;S9,H2,H10,H8;C4,D2,C3,H7"
1569980703,1,16,3,"C10,C3,CJ,C2;DK,DA,D3,DJ;C6,CK,C9,D7;SK,S7,S8,S9;S4,S10,S5,SJ;DQ,D6,C5,D10;D2,D8,CA,CQ;D4,D5,H3,C8;HK,H9,SQ,HA;HJ,HQ,SA,H5;H10,S6,H2,H6;H8,C7,S2,H4;H7,C4,D9,S3"
1569980703,1,1,3,"CK,CA,C7,C2;S2,SJ,S7,SK;D10,D3,DA,DK;C5,C10,C4,C3;DQ,D5,D2,D8;DJ,D6,D4,D9;SQ,SA,S6,S8;C9,CJ,S10,C6;S5,S4,H8,S3;H6,H4,HK,H10;H7,H9,H3,HA;HQ,HJ,S9,H5;C8,CQ,D7,H2"
1569980703,1,3,3,"C9,C7,C8,C2;CA,C3,C6,C10;D8,D7,DK,D3;CQ,C5,CK,DA;S3,S9,SK,S10;D4,D6,D2,DJ;S4,C4,S5,SQ;S6,SJ,D5,D9;SA,H3,DQ,S2;H6,H4,HQ,HA;HJ,H8,H7,S7;H2,H9,H10,CJ;H5,HK,S8,D10"
1569980703,1,19,3,"CK,C10,CJ,C2;D2,D3,DJ,DQ;D9,D6,DA,D5;SJ,S9,S2,SQ;D10,CQ,D7,S10;D4,C4,S4,C9;DK,C7,C5,S7;S3,S8,SA,S5;CA,C8,SK,H9;H6,HJ,H7,H2;H5,H3,HK,H4;D8,S6,H10,HQ;H8,C3,C6,HA"
1569980703,1,0,3,"CJ,CQ,C5,C2;S3,S10,S2,S4;C9,C4,C8,C3;D3,D10,D5,D6;D4,D2,DQ,D9;C7,DJ,CK,CA;S7,SK,S9,S5;SA,SJ,C10,S6;D7,S8,D8,DA;C6,HA,H9,H10;H5,HK,H2,HJ;HQ,H3,H7,H6;SQ,DK,H4,H8"
1569980703,1,13,3,"CJ,C5,CQ,C2;C3,C8,CK,DQ;S4,SJ,S9,S10;CA,C7,D9,C10;D6,D2,DJ,D3;D5,D10,D7,SQ;S7,C4,S6,S2;C9,DK,SA,C6;DA,D4,D8,S5;S3,HA,H2,S8;H10,HJ,HK,HQ;H9,H5,H3,H6;H7,H8,SK,H4"
1569980703,1,9,3,"CJ,C6,CK,C2;SA,S4,SQ,S10;S8,SK,S9,S6;D9,DQ,D5,D6;C3,CA,C4,D2;DA,D8,D3,D10;C10,CQ,C5,D4;C9,SJ,C8,DK;S7,S5,S2,S3;DJ,D7,C7,H10;HK,H3,H7,H9;HA,H8,H5,H2;H6,HQ,H4,HJ"
1569980703,1,8,3,"CK,C8,CQ,C2;D3,DJ,DK,DA;S5,S3,S4,S7;C7,CA,C5,CJ;D2,D6,D10,DQ;SJ,C9,S6,S2;S10,D7,S9,S8;SK,D8,SQ,C3;D9,H5,D4,C6;H3,H10,H2,HA;H9,H7,HK,HQ;HJ,H8,SA,H4;C10,H6,D5,C4"
1569980703,1,0,3,"C8,CJ,CQ,C2;S7,S3,S8,SK;SJ,SA,S4,S5;DA,D3,DJ,DK;CA,C6,C4,C3;C5,D8,D2,C9;D5,D9,D10,D7;C7,S9,D4,S6;CK,HQ,D6,S10;H10,H9,H5,HJ;H6,H7,H8,HA;HK,H3,S2,H2;C10,H4,SQ,DQ"
1569980703,1,4,3,"C5,C3,CJ,C2;D5,D6,DA,D9;D2,D10,DJ,D4;C9,C7,C8,S4;S2,S3,SJ,SA;D8,D3,S5,DK;SQ,S10,S7,S8;CA,C4,CQ,D7;S9,SK,HA,H5;H7,H9,H4,H8;H10,HQ,HJ,H6;HK,DQ,S6,H3;H2,C6,CK,C10"
1569980703,1,9,3,"C7,C10,C6,C2;SA,S8,D4,SK;DJ,DA,DK,D10;D3,D5,S9,D2;CK,S5,CA,CQ;C3,S7,C5,C8;D6,SQ,D9,DQ;SJ,S6,S3,C4;S10,S2,H10,D8;H8,HJ,H2,H4;HQ,H3,H7,H9;S4,H6,CJ,C9;HK,H5,D7,HA"
1569980703,1,0,3,"C5,C6,CK,C2;S9,S3,SK,S5;D2,D10,DJ,DQ;C8,CA,C4,CJ;D5,DK,DA,D3;SJ,SA,S4,SQ;D9,D7,D6,C9;D4,D8,S10,C7;S7,H4,S6,CQ;H10,H2,H6,H7;HK,HA,HJ,H5;HQ,H9,H3,C10;H8,S8,S2,C3"
