1569980707,1,4,2,"C10,CK,C3,C2;SA,S3,S8,S4;D10,D9,DQ,DA;CJ,S6,C9,C7;C8,S2,C5,C4;CA,D8,CQ,S5;DK,D4,D3,D2;D7,S9,D6,S7;C6,SJ,DJ,S10;H8,H9,HJ,H7;H10,HA,H5,H3;HQ,SK,H6,H4;H2,SQ,D5,HK"
1569980707,1,3,2,"C9,C8,CK,C2;D4,DJ,DA,D9;SQ,SJ,S2,SK;D5,D2,S7,DK;S6,S5,S3,DQ;SA,S4,C6,D10;CJ,S10,C3,C4;S9,S8,C5,D7;D6,H4,CQ,D8;H7,H2,HJ,H6;HA,H8,H5,HK;H9,H3,D3,H10;C10,C7,HQ,CA"
1569980707,1,0,2,"C5,C6,CA,C2;S9,S2,S7,S3;DQ,D10,DK,D4;SJ,C8,S10,SK;C3,C4,CQ,C10;DA,D9,D6,DJ;D3,D2,D8,S4;CK,CJ,C7,D5;S6,S8,SQ,H2;H5,HK,HQ,H10;HA,H8,H4,H6;D7,H9,HJ,S5;C9,H7,SA,H3"
1569980707,1,0,2,"C7,C8,CK,C2;S4,S6,S9,S7;D3,D9,DK,CA;D4,DA,D2,SJ;S5,S2,SQ,SA;C9,C5,C3,C10;S8,C6,S3,D6;D5,CJ,D10,DQ;D8,CQ,S10,D7;HQ,H7,HK,H6;H2,H3,HJ,H5;SK,H10,H9,H4;DJ,C4,HA,H8"
1569980707,1,0,2,"CK,C4,CA,C2;C3,C10,D5,CQ;D2,DQ,D10,DA;SJ,S3,SK,SA;D8,D4,D9,D7;SQ,C7,S2,S8;S10,D3,S9,S7;C8,CJ,C5,S5;DJ,C6,DK,H2;H8,HJ,HQ,H7;H3,H6,HK,H9;S6,S4,H10,HA;C9,H5,D6,H4"
1569980707,1,9,2,"CK,C10,C3,C2;S9,S10,S4,S5;D4,D10,D6,D2;S8,S2,S6,S3;SQ,S7,C5,D3;D8,D5,DA,DJ;CA,C4,C7,CJ;C6,SA,C9,DQ;D9,CQ,D7,H7;H3,HQ,H8,HK;HJ,H4,DK,H9;H10,H6,SJ,HA;H2,C8,SK,H5"
1569980707,1,0,2,"C6,C10,C4,C2;S2,S8,S3,S9;D9,D10,DJ,DK;SK,SA,SQ,S5;C9,D2,CJ,C5;D7,D3,DQ,D4;CQ,D8,CA,CK;DA,H3,H4,D5;H2,H7,HK,H5;C7,H10,HJ,S6;HQ,H9,D6,H8;C8,HA,S7,S4;C3,H6,SJ,S10"
1569980707,1,0,2,"CJ,C5,C6,C2;C4,C9,CA,C3;S8,SK,S9,S4;C7,CK,S2,D6;DA,DK,D2,DJ;D5,D10,D3,DQ;S3,SQ,S10,S6;S5,C8,SJ,S7;D7,H3,D8,H7;H10,HK,HJ,H4;H2,H6,CQ,HA;H5,HQ,H9,C10;H8,D9,D4,SA"
1569980707,1,13,2,"C4,C5,C3,C2;DJ,D4,D6,D8;DK,S5,D5,D7;CA,CQ,CK,CJ;D9,SA,D3,D2;DA,S4,S8,DQ;SK,S10,SQ,S6;D10,S2,C7,C6;S7,SJ,C10,S9;C9,H3,C8,HA;HQ,HK,H4,HJ;H8,H2,H9,H5;S3,H6,H10,H7"
1569980707,1,13,2,"CQ,C9,CJ,C2;C7,C3,C10,C8;SA,SJ,SK,S3;SQ,S4,S8,S6;S5,S7,D8,S2;S9,C6,D3,DA;S10,D9,DJ,DQ;D5,DK,D7,CA;D4,D10,HJ,C5;D6,HQ,H4,D2;C4,HA,H7,HK;H9,H5,H8,H2;CK,H6,H3,H10"
1569980707,1,0,2,"C8,CK,C10,C2;S4,S3,S8,S9;SA,S6,SJ,SQ;DA,D9,D7,DQ;CQ,CJ,C6,C7;D5,D8,D3,DK;D2,S5,D6,DJ;D4,C3,D10,SK;CA,C5,C9,S10;H2,HA,HQ,HK;H6,H7,S2,H5;H8,HJ,C4,H9;H10,H3,S7,H4"
