1569980708,1,0,1,"CA,CK,C8,C2;S6,SK,S8,S4;S9,S2,S10,S3;D3,D10,DA,D2;C3,C5,C7,C10;SJ,C6,SA,S5;D6,C4,DJ,D4;CJ,H9,CQ,DK;H5,HQ,H10,H8;H7,H2,HK,C9;H3,H6,H4,S7;D7,HA,D5,D8;DQ,D9,HJ,SQ"
1569980708,1,0,1,"D9,CK,C3,C2;C5,C8,C10,D7;SQ,S8,S10,S6;D5,D3,DK,D2;D6,C6,D10,DA;C9,DQ,CJ,CQ;S2,S3,S4,SA;SJ,S7,S5,S9;H6,HK,HQ,HA;H2,H8,H7,H3;DJ,CA,D4,H9;H10,C7,H4,HJ;H5,D8,C4,SK"
1569980708,1,23,1,"C5,CK,CA,C2;D6,D7,D3,D5;D2,C10,D9,DA;CQ,C3,C6,CJ;D8,DJ,SJ,D4;S8,SK,S2,S7;S9,SA,DQ,S4;C9,C4,S10,C8;C7,H2,HA,H3;HJ,H10,H5,HK;S6,H9,S3,H7;S5,H4,HQ,H8;SQ,D10,DK,H6"
1569980708,1,22,1,"C6,CK,C4,C2;S10,S3,S6,SK;SQ,S4,CQ,SA;C10,CA,CJ,C3;D2,DQ,S8,D3;DK,S2,D9,D7;C7,C8,DA,D10;SJ,D8,S7,S9;S5,HQ,HJ,H2;H7,H10,H4,H8;C5,D4,C9,H6;HA,H3,D6,H5;HK,D5,DJ,H9"
1569980708,1,4,1,"C9,CK,C7,C2;D5,D10,DJ,D8;S5,S2,SK,S8;S7,S6,DQ,SJ;C10,CJ,CA,CQ;D3,D7,D2,S3;S10,SA,DA,S4;C6,C4,D6,C3;C5,S9,D9,C8;H5,H3,H7,H2;H4,HK,H6,HA;DK,D4,H9,H10;SQ,HQ,H8,HJ"
1569980708,1,6,1,"C7,CJ,C9,C2;D8,DK,DJ,D4;D2,D9,D10,DQ;S9,S5,S10,S3;C8,C3,CA,CK;DA,D6,D3,D5;S4,S8,C10,S2;C6,C4,SJ,SA;CQ,H9,S7,SK;HK,H8,H7,H10;S6,H3,SQ,HQ;H4,H6,C5,HJ;HA,H5,D7,H2"
1569980708,1,0,1,"C9,CQ,C5,C2;SK,S2,S3,SQ;S9,SA,S10,S6;D2,D3,D10,D4;C8,CK,C7,CA;CJ,D5,C3,DQ;S8,DJ,D6,S5;C10,DK,C4,SJ;H7,H10,H2,H4;H3,C6,H9,HQ;H8,H6,D9,S7;HJ,HA,DA,D7;H5,D8,S4,HK"
1569980708,1,17,1,"CQ,C4,C3,C2;D2,DJ,D4,DA;C8,SJ,C6,C10;D8,CA,DQ,D6;S10,S3,S8,SQ;D10,S9,D5,D9;DK,C9,S4,D3;S6,C5,SA,S7;C7,CJ,D7,S5;CK,H9,HJ,SK;H8,H7,HQ,H2;H5,HK,HA,H10;H4,H6,H3,S2"
1569980708,1,0,1,"C4,C3,C6,C2;DQ,DA,D10,DJ;S3,S7,SQ,SA;CJ,C9,CK,CQ;D3,D2,D4,S8;D5,D8,D9,S5;S4,SJ,S10,C7;C5,H9,CA,HQ;H5,HK,HJ,H10;H7,S6,H8,H2;S9,C10,D7,H6;S2,C8,D6,HA;SK,DK,H3,H4"
1569980708,1,0,1,"C4,C6,CQ,C2;DJ,DK,D8,D4;S9,S4,S7,SA;C5,C9,C7,CK;C10,C8,SK,S8;C3,SJ,S5,D9;D2,DA,D6,D3;D10,D5,S3,CJ;DQ,D7,SQ,S10;H4,H6,H7,H5;H10,HA,H2,HQ;S2,HK,HJ,H3;S6,CA,H8,H9"
1569980708,1,4,1,"CA,C10,C4,C2;C5,C7,C3,S5;S9,S3,S2,SA;D5,D2,D4,DJ;S4,SJ,S8,S10;CJ,C9,D10,SK;DA,D3,D7,DK;C6,C8,D9,S6;CK,H8,CQ,DQ;HK,H2,H9,H6;H3,H7,HA,H4;D6,HJ,H10,D8;HQ,H5,S7,SQ"
1569980708,1,13,1,"C6,C8,C10,C2;D5,DK,D10,D8;C9,CA,CJ,C7;SQ,S3,S8,S9;S4,S7,SA,S6;C3,CK,C5,SK;DA,D4,DQ,D6;D2,D9,D3,CQ;DJ,SJ,S2,C4;D7,HQ,H10,H8;HJ,H3,H4,H2;HK,H5,H9,H7;H6,HA,S10,S5"
1569980708,1,0,1,"C8,C4,CQ,C2;CJ,SQ,CK,S5;S2,S10,S7,SA;C10,D2,DJ,C7;C6,SJ,D7,C9;D9,DA,D4,D6;DQ,D8,D5,D10;H3,HK,HA,H2;DK,H5,H10,D3;SK,S4,HJ,S6;S3,H8,H9,S9;C3,HQ,H4,C5;S8,H6,H7,CA"
1569980708,1,6,1,"C5,C3,C4,C2;S10,S2,SA,SQ;S7,S8,SJ,S4;D2,D10,CJ,D4;C8,C6,C7,CK;DQ,DA,D8,CQ;D9,D3,D7,CA;DJ,DK,D6,C9;S6,S3,HA,C10;SK,H6,H9,HQ;S5,H10,H3,H4;H5,HJ,H2,H7;D5,HK,S9,H8"
1569980708,1,18,1,"CQ,C8,C3,C2;SK,S8,S5,SA;D5,D3,DJ,DK;S6,S10,SJ,S4;C9,CK,C10,C5;DQ,D6,D10,D7;SQ,CA,C4,S3;CJ,HQ,C7,D9;H7,H2,H3,H5;D4,H9,D8,DA;H10,HJ,H8,S7;H4,HK,D2,S9;H6,C6,HA,S2"
