1569980761,1,4,1,"C8,C10,CQ,C2;CA,C7,D10,CK;S8,SQ,SK,SA;DA,D5,DJ,D7;D8,D4,D3,D2;S3,S10,S4,S6;C5,D9,C9,CJ;DK,S9,D6,SJ;DQ,H5,H7,S5;H10,H9,HK,HJ;HQ,H4,H6,HA;C3,H3,S2,C6;H8,C4,H2,S7"
1569980761,1,16,1,"CA,CQ,C5,C2;DJ,D9,DQ,D5;D8,D6,DK,D7;C8,C6,C4,C7;C9,CK,S5,S9;S4,SK,S2,S8;SA,D10,SQ,S10;S6,H6,H4,H5;H3,H7,H9,H8;C10,D3,S7,HA;CJ,DA,SJ,H2;HJ,H10,D4,HK;HQ,D2,C3,S3"
1569980761,1,21,1,"C3,C10,CA,C2;S9,S2,S4,SK;DK,DA,D10,D2;SJ,S7,SQ,S6;D6,D5,DJ,D4;C4,C5,CQ,C8;D3,D9,S5,DQ;S3,C9,S10,SA;D7,C6,C7,D8;S8,H6,CK,CJ;H7,HJ,HK,H4;H10,HA,HQ,H9;H3,H2,H5,H8"
1569980761,1,0,1,"CK,C6,C5,C2;D6,DJ,DK,DQ;CQ,CA,DA,C9;D3,D7,D5,D10;S6,SA,S7,S10;SJ,SQ,C10,SK;S5,S9,S8,C4;C3,D9,CJ,S3;D4,C7,D2,D8;S4,S2,H9,C8;H2,H8,HJ,HK;H7,H4,HA,H5;H10,H6,HQ,H3"
1569980761,1,0,1,"C8,C7,CA,C2;S3,SA,SQ,S9;DJ,D8,DK,D9;C3,C10,CQ,C9;S7,S4,D3,S2;S5,S6,CJ,SK;C6,D10,DA,C5;C4,H5,H6,DQ;HJ,H10,H3,H7;H8,H4,HA,D7;HQ,D4,H2,SJ;HK,S8,S10,D2;H9,D5,CK,D6"
1569980761,1,4,1,"C8,C3,CQ,C2;D10,D4,DQ,D7;C7,C6,CA,CK;S4,SA,S5,S3;C4,C10,C5,CJ;S6,S9,S7,DK;D8,D5,DJ,D2;D9,DA,S10,C9;H8,H4,HA,H9;H2,H10,H7,S8;D3,H5,H6,SQ;D6,HQ,HJ,SJ;H3,HK,SK,S2"
1569980761,1,5,1,"C5,CQ,CA,C2;SA,S10,S5,S2;D3,DQ,D2,D8;DJ,D7,D4,D10;D5,C8,C6,D6;S4,S7,S9,SK;DA,C7,CK,DK;C4,C10,C9,SQ;S6,SJ,CJ,S8;D9,C3,HQ,S3;H3,H7,H4,HK;H6,H9,HJ,HA;H5,H8,H10,H2"
1569980761,1,21,1,"C4,C7,C5,C2;D2,D7,DJ,DA;S4,S5,S8,S7;CJ,CA,C6,C10;S6,S9,S3,SA;S2,CK,S10,SK;C8,CQ,D8,D9;C9,C3,D10,D5;DQ,D6,DK,HK;H10,H3,H4,H2;SQ,H8,H5,HA;H6,D4,HQ,H7;H9,D3,SJ,HJ"
1569980761,1,0,1,"C10,C7,CQ,C2;SK,SA,S7,SQ;D3,D4,D10,DQ;S10,S2,SJ,S6;D6,DK,D9,D2;CJ,C3,DA,CA;S5,C9,S8,DJ;D8,D7,D5,C6;S9,C4,H3,S4;H8,H7,HA,H4;H10,H2,H6,H9;H5,HK,HQ,C8;CK,C5,S3,HJ"
1569980761,1,3,1,"CA,C8,C6,C2;SQ,D9,SJ,S6;DK,D8,D3,D5;SK,C4,S9,S10;S2,CJ,S8,S7;DA,D7,CQ,D10;D6,D4,C3,D2;DJ,DQ,H3,H9;C5,H6,C9,HK;S4,S5,H5,S3;C7,H7,H8,C10;SA,CK,HA,H4;HQ,H10,H2,HJ"
1569980761,1,7,1,"CJ,C8,C3,C2;DA,D9,DJ,DQ;D2,D3,DK,D4;S9,S5,S8,S3;S7,SA,SJ,S10;CQ,C4,CA,CK;C10,SK,C6,S2;S4,D8,SQ,D10;C5,D7,D5,C9;C7,H10,H9,H3;H2,HQ,H8,H4;HA,S6,H6,H5;H7,D6,HK,HJ"
1569980761,1,9,1,"C9,C8,CA,C2;DQ,D10,D8,D9;S8,SQ,S7,S4;C3,C6,CJ,C7;D2,DJ,D3,DA;S5,C4,S10,S3;D5,S9,D6,D7;SK,S6,C5,SA;CK,CQ,H4,SJ;H5,H2,H9,HK;D4,H3,H6,DK;HJ,H10,H8,H7;C10,HA,HQ,S2"
1569980761,1,0,1,"C6,CA,CJ,C2;S6,SJ,S4,S2;D3,D7,D2,DK;SA,S9,SK,D6;S3,C10,S7,D4;C8,CQ,C3,D5;D10,D9,DA,H7;S8,C9,H8,HJ;SQ,D8,H2,HK;H4,HQ,H6,H5;CK,H3,C7,S10;DQ,H10,DJ,S5;C4,H9,C5,HA"
1569980761,1,17,1,"C5,CK,C4,C2;SQ,S7,S8,S6;S3,DK,S5,S9;D3,DQ,DJ,C9;CQ,C7,C3,C10;C8,SK,C6,CA;S2,SJ,S4,D6;SA,DA,S10,D4;D5,D9,H3,D10;H9,H5,H4,H6;H10,HQ,HA,HK;H7,D2,HJ,H2;D7,D8,H8,CJ"
