1569980762,1,6,0,"C8,CA,C6,C2;C3,CK,CJ,C4;SK,S5,S2,S8;D8,D3,D10,DK;C5,C9,SQ,C10;D2,C7,D6,D4;DQ,H4,DJ,D9;D5,H3,S10,H10;D7,H9,HQ,H8;H7,HK,S6,HA;H5,HJ,S4,DA;H2,SJ,CQ,S7;H6,S9,SA,S3"
1569980762,1,17,0,"CQ,C5,C10,C2;S7,SQ,S8,S5;D9,D3,D6,DA;D7,D8,CJ,D4;S10,SA,S3,D5;CK,C3,C8,D2;S4,SJ,DK,S2;CA,C6,C7,D10;S6,C4,C9,SK;DJ,H8,H7,S9;H2,H10,HQ,HA;H4,H6,HJ,H3;H5,HK,H9,DQ"
1569980762,1,8,0,"SK,C4,CA,C2;D6,D10,D9,D2;S8,S4,SJ,S3;S2,S10,S5,S6;DQ,SQ,D4,D3;DK,SA,C9,D8;D7,S9,C8,DJ;C7,CJ,H8,CQ;HA,H7,H4,H10;H9,H3,C5,HK;HQ,HJ,C10,H2;H6,DA,C6,S7;H5,D5,C3,CK"
1569980762,1,9,0,"CK,C4,C7,C2;SJ,S8,SK,SQ;C8,CQ,C5,C9;D5,SA,D10,D3;D8,C10,DK,S5;DA,C6,DQ,S6;D9,CJ,D7,S4;CA,C3,S3,S7;S2,S9,D4,H8;H5,HQ,DJ,HA;H6,HK,S10,HJ;H7,D2,H10,H4;H9,H2,D6,H3"
1569980762,1,0,0,"C4,C7,CK,C2;DK,D8,DJ,D10;D3,DA,DQ,D4;SJ,S5,S2,S10;SK,S3,S7,S4;C9,C10,C8,C6;C5,CQ,C3,CA;D6,D2,S8,D7;D5,H10,H2,D9;H6,HK,H8,H4;CJ,HQ,H3,H9;SA,HA,H5,SQ;S6,H7,HJ,S9"
1569980762,1,0,0,"C8,C6,C5,C2;D4,D10,D6,DQ;CA,CJ,S7,C7;C3,SA,SK,C10;S8,CQ,S3,S6;S5,D5,SQ,S10;DA,D8,D2,DJ;SJ,CK,D9,S9;S2,D7,H8,C4;HQ,H2,HJ,H6;H9,H7,H10,H3;H4,HK,DK,C9;HA,S4,H5,D3"
1569980762,1,23,0,"C4,C7,C3,C2;D9,DA,DK,D6;S8,S5,SA,S6;CJ,C9,C6,C5;SJ,DJ,S4,S3;CQ,D4,DQ,C10;D7,H2,D10,S10;H3,H4,CK,H9;SK,H6,S7,HK;SQ,H8,S2,H10;H5,H7,C8,D2;HJ,CA,HQ,D8;S9,HA,D5,D3"
1569980762,1,8,0,"C10,C6,C7,C2;D6,D3,D7,D8;CJ,CK,S10,C9;DA,D9,DQ,DJ;SA,SK,S4,S9;SQ,S5,S2,D4;S7,S3,S8,DK;CQ,SJ,C5,C4;C8,D5,D2,CA;S6,H2,C3,D10;H9,H8,H3,HJ;HQ,HK,H6,H10;H7,H4,HA,H5"
1569980762,1,0,0,"C9,C5,CQ,C2;C8,CK,C3,C10;S2,SQ,S8,S9;SA,S6,S7,S3;S10,DQ,D8,S5;S4,D3,C7,D5;SJ,D4,C4,DJ;SK,CA,D2,HJ;HQ,H2,H3,H5;C6,CJ,D7,H6;DK,D10,D6,H10;DA,D9,H7,HA;H9,HK,H4,H8"
1569980762,1,0,0,"C9,C3,CK,C2;DQ,D9,DA,D4;SQ,S8,S10,S6;S3,S7,S9,SK;C7,CJ,C5,C6;D8,DJ,D10,D3;SJ,S5,CQ,S2;S4,C8,D7,SA;C4,CA,D6,C10;D2,DK,D5,H8;H5,H10,HK,HJ;H9,H6,H2,H3;H7,HQ,HA,H4"
1569980762,1,0,0,"C6,C9,C4,C2;S8,S7,SK,S4;D8,CJ,D4,DA;C7,C8,C3,CA;D10,CQ,DQ,D5;SQ,S2,SA,S3;D7,C5,D6,D2;C10,CK,S10,S6;S9,D9,DK,DJ;SJ,H10,HJ,HQ;H7,H3,H4,HA;HK,H6,H2,H9;H8,H5,S5,D3"
1569980762,1,8,0,"C9,C5,C8,C2;DA,D8,DJ,D7;C10,CJ,CA,C6;D4,DQ,D6,D3;S4,S9,SK,S3;S5,S2,S6,SA;S8,SJ,SQ,S10;D5,D2,CK,D9;D10,DK,H9,C3;HJ,H7,H3,H2;H4,H8,H10,HK;S7,HA,C4,C7;CQ,HQ,H5,H6"
1569980762,1,0,0,"CJ,C4,CQ,C2;C10,CK,C6,C9;SQ,SA,S10,S8;SJ,S9,C5,S3;D6,D8,DK,DQ;C3,S4,CA,D7;DJ,D2,DA,D4;C8,S7,S2,S6;C7,SK,H3,HK;HJ,H9,H10,H2;H8,HA,H7,D10;H6,H4,H5,D9;S5,D3,HQ,D5"
