1569980765,1,20,3,"CJ,C8,C9,C2;SJ,S6,S3,S7;D8,D10,SA,DQ;CQ,SK,C10,C6;C4,D2,C5,DJ;S4,S10,S8,S5;D3,DK,D7,S2;D9,D4,DA,C7;S9,D5,SQ,CK;C3,H5,HJ,HA;H10,H6,H8,H3;H4,HK,HQ,H7;D6,H2,CA,H9"
1569980765,1,4,3,"C6,CK,C4,C2;SA,S7,S3,S10;S6,SQ,S5,SK;D3,D7,DA,D9;C9,C5,D10,CA;S9,DJ,S2,SJ;D6,D4,DK,D8;CQ,C3,D5,CJ;C7,D2,H5,S8;C8,HK,H6,H10;HJ,H3,H8,HQ;H2,H9,H7,S4;DQ,H4,C10,HA"
1569980765,1,0,3,"C7,CQ,C10,C2;SJ,S7,S2,S9;D2,D4,D9,D5;C3,C4,CA,S5;DQ,D8,D3,DK;S10,S6,C8,S3;S8,S4,C9,SK;D10,DA,DJ,D6;CJ,H5,CK,SQ;H4,H2,HQ,H8;SA,HK,HJ,HA;C5,H9,C6,H3;D7,H10,H7,H6"
1569980765,1,0,3,"C4,C6,CA,C2;S10,S9,S6,D5;SJ,S7,SQ,C8;D9,D10,D3,D4;DK,DA,DQ,D6;CK,C3,C5,SK;C9,CQ,C7,S8;DJ,CJ,D2,S3;C10,S4,D7,S5;S2,SA,H6,HJ;HK,H5,H4,H2;H3,H10,HQ,HA;H7,D8,H9,H8"
1569980765,1,7,3,"C5,C8,CK,C2;C7,C4,C6,CA;D5,D8,DQ,D4;S10,S2,S5,SA;D10,D3,DK,D7;S3,SJ,S4,S6;SK,S8,C10,SQ;D2,DJ,D9,CQ;DA,D6,HK,H9;H3,H4,HA,H8;HQ,H5,H10,S9;H7,HJ,H2,S7;C9,H6,C3,CJ"
1569980765,1,17,3,"C10,CA,C6,C2;SQ,S4,S7,SA;DK,DQ,DJ,D5;S2,S10,S6,SJ;D4,D8,DA,SK;CK,C3,C8,CQ;S9,S3,D10,S8;D2,D7,D6,C7;C4,HJ,D3,H3;H6,HK,H10,HA;H7,HQ,H2,C5;H9,H8,H5,CJ;S5,D9,H4,C9"
1569980765,1,5,3,"C7,C4,C9,C2;C10,CK,CQ,D7;S9,S7,SA,S5;D3,D9,DA,DK;CJ,CA,S3,C5;SJ,D5,S2,S10;S8,C3,S4,S6;D2,C6,D10,DQ;SK,C8,SQ,DJ;D6,HK,D4,D8;HJ,H5,H8,H2;H7,HA,H4,H3;HQ,H10,H6,H9"
1569980765,1,0,3,"C5,CK,C3,C2;D7,D3,SQ,D9;SA,S8,S7,S5;D5,DK,C9,D6;SK,CQ,S10,S4;DQ,C7,DJ,D10;S6,C10,C8,SJ;C6,CA,C4,CJ;S9,H3,S2,D4;H9,H10,HQ,H2;D8,H7,HA,D2;DA,H6,HJ,H5;S3,HK,H4,H8"
1569980765,1,0,3,"C3,CK,C9,C2;D10,D8,DQ,DJ;C8,C4,C10,CA;D9,D4,DA,D2;D7,D6,S10,C7;DK,D3,CQ,SA;S7,SQ,S3,C5;SK,S6,S8,H5;HK,H10,HJ,HQ;S9,SJ,H6,H4;C6,CJ,H7,D5;H8,H9,H3,S4;S5,H2,HA,S2"
1569980765,1,7,3,"CJ,CK,C3,C2;SQ,S2,SK,S5;C7,C4,C10,C5;S6,SA,S8,S3;D2,DK,D10,DJ;D6,D5,DQ,D3;C6,C8,D4,C9;S4,CQ,S7,S9;D7,D8,CA,S10;D9,H2,HK,H8;HA,H9,HQ,H5;H6,HJ,H4,H7;H10,SJ,DA,H3"
1569980765,1,16,3,"C6,C8,CQ,C2;S10,S7,SQ,S5;DK,DQ,DJ,D3;D4,D7,D8,D6;S6,SJ,S8,S4;CK,C5,CA,C4;S9,C7,S3,S2;SA,C3,CJ,D2;SK,C9,D10,HQ;DA,H9,D9,H10;D5,H7,HJ,HK;H8,H6,H3,H5;H4,C10,HA,H2"
1569980765,1,0,3,"C7,D4,C10,C2;SQ,S7,S4,S3;S5,SA,S9,S10;D10,C4,D3,D5;D2,S2,DQ,DA;C9,CA,S8,C6;SJ,CJ,S6,DJ;CQ,C5,D9,C3;H2,H3,HJ,HK;D8,DK,H8,H6;HQ,H10,H9,H7;D6,SK,C8,H4;D7,H5,CK,HA"
