1569980773,1,8,1,"C7,CK,C6,C2;S6,S9,SA,S5;D9,D6,D8,DQ;SK,SJ,S10,S8;D2,CQ,DA,DJ;C8,CJ,C3,CA;D5,D7,C4,D3;S3,C5,S4,SQ;D10,C10,DK,D4;S2,H2,H4,C9;H10,HA,HK,H9;HJ,H8,H7,H5;H6,HQ,S7,H3"
1569980773,1,4,1,"C4,CQ,CA,C2;S5,S10,SA,S2;D5,DJ,DA,D10;C9,CK,C5,C3;DQ,CJ,D2,D6;SK,SJ,S8,SQ;D4,S6,D7,D3;C10,S9,C6,C7;C8,S4,S3,D8;DK,S7,HQ,H3;H5,HA,H6,H4;HJ,H8,H2,HK;H9,H10,H7,D9"
1569980773,1,0,1,"CJ,C9,C3,C2;DJ,D5,D9,D4;S10,S7,S6,S5;D6,D8,D3,DQ;C6,C4,C7,C5;S4,SK,S3,SJ;D7,C10,DK,D10;SQ,S8,S9,SA;H7,H6,HQ,H8;D2,H2,H4,HA;DA,CQ,HK,H5;HJ,H10,H9,CK;C8,CA,H3,S2"
1569980773,1,0,1,"C5,C3,C6,C2;D5,D7,D6,D10;C10,CQ,C9,S6;S2,S10,S9,S7;CJ,DK,C7,S8;C8,SQ,CA,D4;SJ,C4,SA,S3;DQ,DJ,CK,DA;SK,S5,HQ,H7;HK,H2,H3,H8;HA,H6,H4,H10;D2,D9,HJ,D3;S4,D8,H9,H5"
1569980773,1,0,1,"CA,CJ,C5,C2;DJ,D6,D5,DK;SQ,S6,S4,S8;S5,S2,SK,S3;D10,D3,D8,SA;CK,C3,C9,C8;C6,C7,D9,C10;S9,S7,D7,DQ;S10,SJ,D4,H6;D2,HQ,HA,H5;CQ,HK,H8,HJ;C4,H2,H10,H3;DA,H4,H9,H7"
1569980773,1,17,1,"C9,C3,C10,C2;SQ,S4,S10,S9;SK,S2,S5,SJ;D6,D7,D9,DQ;DA,D10,D2,D3;DJ,DK,D5,D4;CQ,C8,C7,S7;CK,C5,CA,S8;S6,SA,S3,HJ;H10,H6,HA,HQ;H7,CJ,HK,H9;H8,C4,H3,H2;C6,D8,H4,H5"
1569980773,1,8,1,"C10,C6,C5,C2;SA,S8,SK,SQ;SJ,S10,S9,S6;D7,D4,DA,D9;C8,C4,CJ,CA;D8,D3,DJ,DK;D2,D5,DQ,D10;S3,S7,S4,CQ;S2,S5,H6,C9;H7,HJ,H4,HK;H8,H9,H10,H5;D6,HQ,HA,H3;CK,H2,C3,C7"
1569980773,1,13,1,"C3,CA,CJ,C2;S2,S6,SK,SJ;D9,DK,D6,DA;S5,SQ,S4,S3;CQ,C5,CK,C8;DJ,D7,D3,D2;D4,D5,C9,DQ;SA,S7,S10,D10;H4,H5,H3,H2;C6,C7,C10,HJ;H8,H10,HK,H6;H9,C4,HA,D8;HQ,H7,S9,S8"
1569980773,1,13,1,"CA,C8,CK,C2;SA,S2,SQ,S6;D10,D5,DQ,D2;DA,D4,D9,DJ;D3,C3,DK,D6;C4,CQ,C5,C10;D8,SJ,SK,S10;D7,H4,C7,S8;H9,HA,H10,H5;HJ,H6,CJ,HK;H3,H8,C9,S5;H7,S9,C6,H2;HQ,S7,S4,S3"
1569980773,1,17,1,"CK,C10,C5,C2;SA,SJ,S5,S8;S10,SK,SQ,S2;DA,D7,D2,D8;DJ,DK,D3,D6;C6,CJ,D4,CQ;S7,C3,S6,S3;S4,D9,C4,D10;S9,DQ,C9,H6;H5,H4,H7,H10;H3,HQ,HA,H9;C8,CA,HK,H8;D5,H2,C7,HJ"
1569980773,1,0,1,"CJ,C10,CK,C2;C9,C4,C3,D9;S3,S8,SQ,SK;DJ,D8,D2,D7;S9,S4,S10,S6;D4,D6,D3,DQ;C6,CA,SJ,DK;C8,CQ,S2,S7;D10,DA,H8,HJ;H3,H2,H7,H5;HA,H10,HQ,H4;C7,SA,H9,HK;C5,S5,D5,H6"
1569980773,1,7,1,"C6,C3,CJ,C2;D8,D9,D3,DA;D6,D5,DQ,D4;S5,S8,SJ,S10;C5,C7,C10,CQ;S3,S4,S7,S6;CK,C4,D10,C9;SK,DJ,SQ,S9;D2,DK,SA,C8;H9,H3,HJ,H4;H2,S2,H10,H7;HA,D7,HK,H8;H5,CA,HQ,H6"
