1569980806,1,19,1,"C4,C6,CK,C2;S9,SK,S4,SA;D2,D10,D8,D9;C7,C3,CJ,C9;D3,D4,DA,DK;S10,S2,S7,S6;CA,C10,C8,S5;CQ,D6,C5,S8;H3,HJ,H10,H2;H7,S3,H5,H8;D7,DJ,H9,D5;DQ,H6,HK,H4;SQ,SJ,HQ,HA"
1569980806,1,20,1,"C4,CK,C9,C2;DJ,DK,D8,DQ;S7,S4,S9,SA;C5,C6,CA,C10;SQ,C7,S10,S2;D6,DA,SK,D2;C3,HA,S5,D10;HQ,H3,HK,H4;H10,H5,H8,S8;D3,HJ,CJ,D9;D7,H6,D5,CQ;SJ,H9,S6,H2;D4,H7,S3,C8"
1569980806,1,5,1,"C6,CA,CK,C2;S3,S10,SJ,S8;C8,DK,C4,CQ;S5,S9,SQ,S4;D7,D2,D6,D4;DJ,DQ,D9,S6;C5,C10,D8,S7;C3,C7,HQ,SK;H9,HJ,H6,H3;CJ,C9,H5,H4;D5,D10,H10,HA;S2,SA,H8,HK;D3,H7,H2,DA"
1569980806,1,4,1,"C10,CJ,C3,C2;S6,S7,SQ,S10;C4,S3,CQ,C9;C7,SJ,C5,D4;DK,DJ,DA,DQ;C8,D5,CK,S5;D3,D9,S2,D2;S4,S9,D8,SK;D7,SA,D6,D10;S8,C6,HJ,CA;H9,H2,H7,HA;H5,H3,H6,HK;H8,HQ,H10,H4"
1569980806,1,5,1,"C4,C6,C9,C2;SK,S2,S4,S9;SJ,S7,S5,D8;D4,D7,D3,D5;CK,C5,CJ,CQ;C3,C8,C10,D9;DK,D6,D10,DQ;D2,DA,C7,DJ;S6,SA,SQ,CA;S8,S3,S10,H5;HJ,H4,H10,H6;HQ,H7,H2,HA;H9,H8,HK,H3"
1569980806,1,8,1,"C7,C5,C6,C2;C10,CJ,C3,CA;DJ,D7,D10,DQ;C9,CQ,S3,C4;S7,SA,S10,S8;D6,D2,D8,DK;S4,S6,S5,S2;CK,D4,S9,C8;D9,DA,SJ,D3;SQ,SK,H8,D5;H5,HA,H10,H9;H3,HQ,H6,H2;HK,H4,H7,HJ"
1569980806,1,0,1,"CK,C6,CA,C2;S9,S8,S7,SJ;D7,DQ,DA,SK;D8,DK,S6,D10;C10,C9,CQ,C4;SQ,C7,S10,S2;S3,DJ,D6,SA;S5,D4,D5,C8;S4,D3,CJ,C5;C3,D2,D9,H3;H4,HQ,H9,HJ;H10,H7,H6,H5;H8,H2,HK,HA"
1569980806,1,10,1,"CJ,CQ,C5,C2;S9,SK,S5,S8;D3,D6,D2,D7;C3,CK,C7,C8;D4,C6,D10,D5;S2,SA,S10,SQ;S7,DJ,S3,S6;C4,CA,DA,D8;DK,H8,HA,DQ;C9,HQ,H7,H9;C10,H3,SJ,H10;D9,H2,H4,H5;HJ,HK,H6,S4"
1569980806,1,0,1,"CQ,C10,C4,C2;C8,C9,CK,CJ;D9,DK,D6,DA;S8,S6,S9,S7;D3,D5,D7,D8;DJ,DQ,S3,D2;C6,C5,C3,S4;S5,SJ,C7,S2;D4,CA,D10,SA;H9,H6,HJ,H2;HK,H10,HA,H4;H5,H3,H8,SQ;H7,SK,HQ,S10"
1569980806,1,13,1,"C6,CK,C9,C2;S4,S2,SQ,SK;C3,CA,CJ,D5;DA,D6,D4,D2;S5,S6,S10,S7;S3,SA,SJ,S9;S8,D10,D3,C10;DJ,D7,DK,C8;CQ,C7,D8,HK;H6,H9,HQ,H7;DQ,H10,H5,HJ;HA,H4,H2,H8;D9,C5,C4,H3"
1569980806,1,2,1,"CJ,C10,C7,C2;D10,D5,DQ,D9;S4,SQ,S7,SK;D4,D7,D6,DA;S3,SA,SJ,S2;CK,CA,C8,C3;S9,C4,D8,S8;D3,D2,DK,S6;C6,CQ,C9,S10;DJ,H3,H4,H7;H9,H2,H5,H6;HA,HJ,HK,HQ;H8,C5,S5,H10"
1569980806,1,11,1,"C8,CK,CA,C2;C4,CQ,DJ,C10;D8,D6,DA,D5;SQ,S9,SK,S4;C3,D2,C5,S7;S2,S10,SA,SJ;DK,D4,D10,S5;D9,DQ,S8,S6;C7,H6,C6,HK;HJ,H3,HA,H4;CJ,H5,HQ,H10;S3,H8,D3,H7;C9,H2,D7,H9"
