1569982402,1,0,3,"CA,C6,CK,C2;D8,DJ,D7,D3;D9,D5,D4,DK;SK,SA,S10,C7;C10,CJ,C9,C8;SJ,S8,S9,D6;S2,S5,S4,D10;C5,CQ,S7,DQ;DA,C3,H9,H4;HA,H3,H10,H2;H8,H7,HK,HJ;S6,S3,H5,HQ;SQ,C4,H6,D2"
1569982402,1,0,3,"CK,C6,C9,C2;D7,DQ,D6,D8;S9,S3,S6,S8;S10,SJ,S7,D3;C3,C4,CA,DJ;C8,C7,C10,D2;DK,D4,D5,S4;DA,D10,C5,S2;H4,D9,H5,HK;H9,SQ,H8,H10;HJ,S5,H6,H2;H7,CQ,H3,HA;SK,SA,CJ,HQ"
1569982402,1,22,3,"C7,CA,C10,C2;C4,C9,CK,D7;C3,D8,D10,C8;S4,SA,S7,S6;DA,D6,D5,DQ;SJ,S3,CJ,S10;D9,D4,DJ,D3;H7,H2,H10,H5;S8,S5,H4,SK;CQ,HQ,H3,DK;C6,S2,H9,H8;SQ,HA,H6,S9;C5,HJ,HK,D2"
1569982402,1,4,3,"C10,CQ,C5,C2;DQ,DA,D9,D4;CJ,C8,C6,CA;SK,S5,S8,SQ;S2,SJ,DK,SA;D7,CK,D3,D8;S4,S7,C4,S10;D6,C3,C7,D2;DJ,C9,HJ,D5;H9,HA,HQ,H2;S3,H7,H6,S6;H5,HK,H3,H4;H10,H8,S9,D10"
1569982402,1,0,3,"C6,CJ,C3,C2;DQ,D8,D10,D6;D2,SA,D5,D3;S8,SJ,S5,S2;C5,CA,C4,C7;SK,S10,S6,SQ;S4,S9,S7,S3;CK,C9,DA,C8;D4,C10,DK,D9;HA,HK,H10,H2;HJ,H5,H8,DJ;HQ,H6,H3,D7;H7,H9,H4,CQ"
1569982402,1,13,3,"C3,C6,S5,C2;S7,S10,S2,SA;C8,D7,CK,C5;D10,D6,DK,D3;SK,SQ,S9,S8;DA,D2,D8,D9;DJ,D4,S3,C4;SJ,S4,C7,CQ;C10,D5,C9,CJ;HQ,HJ,H6,H7;HK,H5,H10,H8;H4,S6,H2,H9;HA,DQ,CA,H3"
1569982402,1,0,3,"CA,C5,C4,C2;D9,DK,D2,DA;S3,SK,S2,SQ;S4,DQ,S9,SJ;S8,C6,DJ,S10;D7,D5,D10,D3;CJ,C3,C9,C7;S7,CK,SA,D4;D8,CQ,C8,C10;D6,H2,H7,H9;H4,HK,H8,HA;H10,H5,S5,HJ;HQ,H6,S6,H3"
1569982402,1,18,3,"C6,C8,CQ,C2;S10,S3,SA,S8;D9,D6,DQ,D7;C3,C10,CA,CK;S6,S9,SJ,S2;DA,D2,DK,D10;C9,D4,S4,C5;DJ,H7,D8,D3;HJ,H10,H5,H8;H4,H9,H2,HA;C7,H6,C4,SQ;H3,HK,S5,D5;HQ,S7,CJ,SK"
1569982402,1,0,3,"C8,C3,CJ,C2;DQ,D4,D8,DJ;SA,S8,D10,S7;C9,C10,C5,C6;DA,D7,D3,DK;D9,S2,D6,D2;S3,S4,D5,SJ;S9,S5,CA,CQ;SQ,S6,H8,H2;SK,H3,H9,HA;C4,CK,H10,C7;H6,H4,HJ,HK;H7,H5,S10,HQ"
1569982402,1,5,3,"CJ,C4,C8,C2;D8,D9,DJ,D6;C6,CK,CQ,C7;SA,S7,SQ,SJ;C3,D7,C9,DK;D3,D2,DA,D5;S9,S10,CA,S4;S5,D4,S6,S8;DQ,H2,HA,D10;S3,SK,H5,C5;H8,H9,H10,H3;C10,H6,H7,S2;HJ,H4,HK,HQ"
1569982402,1,0,3,"CK,C7,C5,C2;D8,D4,D10,D7;S10,S9,S3,SQ;DJ,D9,CA,D3;SJ,S7,S6,S2;DQ,DK,C8,D6;S8,CJ,SK,S5;CQ,C3,S4,D2;C6,C4,DA,SA;H8,H9,H6,H3;C9,HQ,H7,H2;H4,H5,H10,HK;D5,C10,HJ,HA"
1569982402,1,0,3,"C5,CJ,C8,C2;SK,SJ,SQ,S4;S7,S2,SA,S10;C4,C3,CK,C6;D9,D10,DK,D7;CQ,C9,C10,D2;S6,S5,D6,S3;D3,DJ,D8,D5;CA,DA,H9,D4;S8,HJ,H5,HA;HK,H3,H6,H7;S9,H2,H10,H4;C7,DQ,HQ,H8"
1569982402,1,0,3,"CQ,C10,CK,C2;D8,DA,DJ,D6;CA,C4,CJ,C3;C5,C9,S2,C6;SK,S3,S10,S9;C7,C8,D9,S8;SQ,S5,S4,D10;SA,DK,DQ,D4;S6,H5,H7,HQ;H6,H3,H4,HA;H9,HK,D2,H8;H2,D7,SJ,H10;HJ,D5,D3,S7"
