1569982410,1,3,3,"CJ,C5,CA,C2;C4,CQ,DQ,C3;S6,S3,S8,SJ;DJ,D9,D3,D4;DA,D2,D8,D7;C6,SQ,SK,C10;S4,S2,S10,SA;DK,C9,D10,D5;S9,H2,H8,H7;HJ,H6,H5,H9;H10,HK,HQ,D6;H3,H4,S5,C7;HA,CK,S7,C8"
1569982410,1,5,3,"C4,C8,C6,C2;DQ,DK,DA,D10;SQ,S9,S6,SA;S7,CA,S3,S8;C10,CJ,C9,C5;D7,D5,D8,D2;SJ,D4,S2,S4;SK,D6,S10,D9;C7,DJ,CQ,C3;CK,D3,HJ,S5;HA,H6,H8,H4;H3,H2,H5,H7;H10,H9,HK,HQ"
1569982410,1,3,3,"CK,CJ,C5,C2;SJ,S2,SQ,S3;D10,DJ,D5,D6;C8,CA,C7,C4;D8,DK,D2,DA;S7,S4,S9,SK;DQ,C10,D9,D7;S8,S6,C6,S5;C3,C9,D4,SA;S10,CQ,H6,HA;H5,HQ,H9,H10;H8,H3,HK,H7;H2,HJ,D3,H4"
1569982410,1,13,3,"C7,C9,CA,C2;SA,S7,SK,S5;S10,S8,C6,S9;DA,D2,D7,DQ;DK,DJ,D4,D9;D5,CK,D3,D6;C8,C10,C4,CQ;SQ,S6,CJ,S2;S3,S4,C3,SJ;C5,HA,D8,H7;H3,H4,HK,H6;H9,H8,HJ,H2;D10,H10,H5,HQ"
1569982410,1,0,3,"C7,CA,C4,C2;S5,S6,S9,S3;D10,DA,D9,DJ;D3,D2,D6,D7;S2,SA,S8,SK;CJ,C6,C9,C3;S4,SQ,CQ,SJ;D5,DQ,D8,C8;S7,H6,H7,H9;H2,H10,H5,HK;HA,H4,HJ,C10;HQ,H3,C5,S10;H8,DK,D4,CK"
1569982410,1,4,3,"SK,CA,C8,C2;DA,D4,D7,D3;D9,D6,SJ,DQ;SQ,S4,S3,S7;SA,S6,CQ,S5;S9,C7,D5,S10;C6,S8,C9,CK;DJ,DK,D10,C10;S2,D8,D2,C3;H8,HK,H7,H3;C4,CJ,HQ,H5;HJ,H10,H9,HA;H2,H6,C5,H4"
1569982410,1,2,3,"C9,C7,CA,C2;DK,DA,D3,D6;S9,SK,SA,SJ;C8,CK,C3,CJ;S2,C10,S6,S5;D10,D2,DQ,D4;D5,S3,D9,S10;SQ,S4,DJ,S8;S7,C4,D8,C5;C6,H8,CQ,HK;H5,H4,H2,H9;H7,H10,HJ,HQ;D7,H6,HA,H3"
1569982410,1,4,3,"C6,CA,C4,C2;SJ,SK,SQ,S7;D3,DA,DQ,D9;C9,C3,CK,C7;D5,D7,D8,DK;S4,S8,S2,S9;DJ,D10,D2,D6;D4,CJ,S10,S3;CQ,SA,S5,C10;H2,H3,H9,HQ;H7,H8,H5,H6;H4,HJ,HK,C5;HA,H10,C8,S6"
1569982410,1,3,3,"CQ,CJ,C9,C2;DJ,D4,D2,DK;S3,S8,S2,SA;S7,C3,S4,S5;SQ,D3,S6,S10;SK,D8,SJ,C4;D6,DQ,D5,D7;H8,H3,HK,H5;S9,H7,H6,H2;D10,D9,H9,HQ;CA,C7,H10,C10;C6,CK,H4,C8;C5,HJ,DA,HA"
1569982410,1,9,3,"C6,CK,CQ,C2;S5,SA,S10,SK;D5,DQ,D4,DA;C4,CA,C10,C9;D9,DJ,D10,DK;S3,S7,S4,D3;D8,D2,SQ,D7;D6,SJ,S9,C8;C3,C5,S6,CJ;HA,H2,H7,H5;HQ,H9,H10,HK;H8,H6,S2,H4;S8,HJ,C7,H3"
1569982410,1,0,3,"C9,C3,C4,C2;S2,S3,S8,SK;C8,CK,SA,C7;D9,DK,D2,D4;C6,S9,DQ,C10;S4,DA,S7,S10;D8,D5,SJ,D6;D7,CQ,S6,D3;S5,C5,H3,DJ;H8,H7,H4,H10;HA,HJ,H9,HQ;H5,CJ,H2,SQ;HK,CA,H6,D10"
