1569982419,1,22,3,"C5,C7,C10,C2;DQ,DA,D3,D2;C6,SA,C8,CJ;S8,SK,S4,S9;D8,D10,D7,CA;SJ,S10,SQ,S6;D5,D9,C9,S3;DJ,DK,C3,CK;S7,S2,S5,H7;H4,H2,H6,H10;H5,H3,HA,HQ;C4,D4,HK,HJ;CQ,D6,H8,H9"
1569982419,1,7,3,"C8,C10,C9,C2;CA,CJ,CQ,C3;SQ,SA,S9,S6;DK,D3,DJ,D6;D5,D2,D10,D4;S7,D9,S3,S5;S8,D7,SK,S2;DA,D8,C5,H10;H8,HJ,H3,H6;H7,H2,S4,H4;H9,C7,SJ,HA;HQ,DQ,S10,H5;HK,C4,CK,C6"
1569982419,1,3,3,"CK,CA,C7,C2;S10,SQ,SA,SK;DK,D9,D6,DA;S6,S3,S9,C9;D3,D10,DQ,S8;C3,CQ,C6,C8;DJ,D4,SJ,D2;S5,CJ,S2,D7;D8,HJ,S4,H2;C10,C5,HK,H5;D5,H10,H6,HA;S7,H7,H8,HQ;H4,C4,H3,H9"
1569982419,1,17,3,"C9,C7,CA,C2;D10,D9,DA,D6;C5,C4,C10,CK;D8,DJ,S3,D2;S6,SJ,S8,SA;DK,S2,D7,D3;D5,S10,D4,DQ;SQ,S7,S5,S9;CQ,SK,C6,C8;HA,H4,HK,HJ;H6,H2,HQ,H8;H10,H7,H5,H9;CJ,S4,H3,C3"
1569982419,1,2,3,"CJ,C10,C4,C2;SJ,S9,S8,SA;D9,D4,D8,D7;S2,S10,SK,S6;CA,C3,C6,CQ;C9,C8,CK,C7;SQ,DK,D6,S4;DQ,D3,HQ,D2;D10,D5,HK,H4;S7,HJ,H10,C5;DJ,DA,H2,H3;H7,H5,S3,H8;H9,HA,S5,H6"
1569982419,1,4,3,"C7,C6,C3,C2;D4,DQ,DA,DJ;C10,C5,CQ,C4;S6,SA,SK,S4;D7,D9,DK,D10;C9,CJ,C8,S8;D2,S3,D8,D5;S2,SQ,S9,SJ;S5,S10,S7,CA;H3,H2,H10,H5;H9,H6,H7,HK;D6,HJ,H8,D3;CK,H4,HA,HQ"
1569982419,1,0,3,"C3,C5,C4,C2;D10,SK,D2,D3;D4,S10,D5,DA;S4,S2,S9,SQ;C7,C10,CA,CJ;C6,C9,C8,S8;DK,SJ,DQ,D9;D8,S6,DJ,D7;CK,HA,H6,HJ;HQ,H9,HK,H10;D6,H7,H8,H3;SA,H5,S5,S7;H4,H2,CQ,S3"
1569982419,1,1,3,"C5,C7,C9,C2;DQ,D10,D7,D3;S4,S6,S5,S10;SK,C3,S9,S2;SA,CA,S7,DK;D9,C10,D8,DA;D2,CK,C6,SJ;D6,CQ,C8,S8;D5,HJ,SQ,S3;DJ,H7,H6,HK;H10,H3,HA,HQ;C4,H5,CJ,D4;H8,H2,H4,H9"
1569982419,1,21,3,"CQ,C3,CK,C2;D9,D4,DJ,D5;S8,S4,S6,SJ;C8,C4,C7,C6;DK,D8,D2,SA;D6,D10,D3,S9;SK,SQ,S7,S3;S5,DQ,CJ,S2;S10,C10,D7,C5;HK,HQ,H3,H6;HJ,H7,H8,H10;H4,H2,HA,H5;DA,CA,H9,C9"
1569982419,1,3,3,"CJ,CK,C7,C2;D3,DA,D8,D10;S8,S7,S3,S5;S4,S2,SA,SJ;D5,DQ,D4,D2;C4,CA,C10,SK;DK,DJ,D7,S10;D9,C6,C9,S9;D6,C8,S6,SQ;H9,H10,HA,HQ;H5,CQ,H7,H3;H6,C3,H4,H8;HJ,C5,H2,HK"
1569982419,1,1,3,"C4,C9,C7,C2;S7,SJ,S10,S5;CK,C6,C10,C8;C5,CA,S9,S3;D4,DK,DA,DQ;CQ,S6,D7,S8;CJ,S2,DJ,D8;D3,D6,D10,HJ;H4,H3,H7,H5;HA,SA,H8,H6;H2,D2,H9,H10;HK,S4,D9,SQ;HQ,D5,SK,C3"
1569982419,1,0,3,"CK,CA,C6,C2;SK,S5,SJ,S2;S6,S10,SQ,D7;D8,D6,D5,D9;SA,S9,C10,S4;D10,DJ,D3,DA;D4,DQ,DK,D2;CQ,C5,CJ,S7;C4,C7,C9,S8;C3,H6,H5,C8;HA,HK,HJ,H9;H8,H7,H3,H10;S3,H2,HQ,H4"
