1569982425,1,13,1,"CK,C5,C4,C2;SK,S3,SJ,S9;D5,DJ,D4,D10;S7,S5,S8,S10;DA,D8,D2,D9;CJ,C6,C7,C10;C3,D6,CA,SQ;D3,DQ,S2,D7;DK,CQ,S4,C8;H3,H6,H4,HJ;H9,H8,H5,HQ;H7,C9,HK,H10;H2,SA,HA,S6"
1569982425,1,13,1,"C3,C10,C8,C2;DQ,D3,DA,D6;C7,D8,CJ,C4;SK,SA,S2,S10;D10,D2,D9,D5;D7,DJ,S6,S3;SQ,S4,SJ,S7;D4,CK,DK,C9;S8,S5,CA,S9;C6,H4,C5,HA;H2,H5,H6,H7;HQ,HJ,HK,H9;CQ,H8,H10,H3"
1569982425,1,1,1,"CA,C7,C8,C2;S6,S8,S4,S2;DJ,D9,DQ,D3;C10,CQ,D7,C4;D4,D2,SA,DA;D6,D5,D10,S5;CJ,C9,S10,C3;D8,SQ,HK,H8;H5,H9,H4,H3;S3,H10,SJ,SK;C6,HQ,C5,CK;S9,HJ,DK,H2;S7,HA,H7,H6"
1569982425,1,4,1,"C9,CK,C8,C2;D2,DK,DQ,DJ;S10,S5,SQ,S9;D3,D5,D10,D7;C4,C5,C3,CQ;S3,SJ,SA,S6;C7,CJ,C6,CA;SK,S4,H9,S2;H7,H10,H6,H5;HJ,H8,HK,S8;D8,HA,D6,H4;D4,H3,DA,HQ;D9,H2,S7,C10"
1569982425,1,15,1,"CQ,CK,C4,C2;D3,D5,D10,D2;S10,S3,SJ,SK;DQ,S8,D7,D9;DK,C10,D8,C6;DJ,C9,D6,CJ;S5,S4,SA,S7;C7,C3,CA,C5;C8,DA,S6,D4;S9,HK,SQ,H4;H10,HA,H9,HQ;H7,H2,H8,H6;H5,H3,S2,HJ"
1569982425,1,0,1,"C7,CQ,C5,C2;D9,D10,D7,D3;C9,C6,CK,S6;SJ,S5,SK,S8;S3,CJ,SQ,SA;D6,D5,DK,DJ;DQ,D8,DA,D4;S4,C8,S2,D2;S10,C4,S9,C3;S7,HQ,HK,H9;H3,H2,H6,HJ;HA,CA,H8,H7;H5,C10,H4,H10"
1569982425,1,20,1,"CK,C9,C7,C2;CJ,C3,C8,CA;S6,S8,SJ,S9;D9,DA,DK,D6;D4,D8,DJ,D7;D2,DQ,D10,D3;S7,SK,S5,SA;CQ,C5,H6,S3;S4,H4,H8,S10;H3,H5,H10,C10;HQ,HA,HJ,SQ;S2,H7,C4,HK;H2,D5,C6,H9"
1569982425,1,17,1,"C10,C8,CJ,C2;SQ,S5,S4,S7;C3,C6,CA,C7;D3,D7,DJ,D5;SK,S9,SJ,S2;C4,D6,CQ,C9;D4,DQ,D8,D2;D9,DK,S6,D10;S10,DA,SA,S3;HK,H6,H8,HJ;H3,H7,H9,H4;H2,HQ,H5,S8;HA,H10,C5,CK"
1569982425,1,0,1,"C3,C7,CQ,C2;S8,S5,S10,SQ;D6,D9,DK,D3;S6,S4,SA,S3;C5,CK,C8,C10;SK,D7,SJ,S7;S2,C6,S9,D5;C4,CJ,DJ,C9;CA,D4,D10,D2;H2,HK,H9,H8;H3,H4,H7,DQ;HQ,HJ,H10,D8;H6,H5,HA,DA"
1569982425,1,13,1,"CQ,C5,C9,C2;D10,DQ,D4,DJ;C7,CA,C10,DK;SQ,S8,SJ,S3;S4,S5,S9,S2;D9,DA,D3,D8;C6,CK,D7,C3;D6,C8,D2,S6;SA,H10,S10,S7;HA,HK,H3,H7;D5,HJ,H6,C4;H8,HQ,H9,H4;H2,SK,H5,CJ"
1569982425,1,1,1,"C3,C5,C8,C2;D2,D8,D3,D9;SK,S6,S3,S10;SQ,S2,S4,SA;DQ,DJ,DA,D7;CK,C4,CQ,C9;SJ,S8,D6,HA;H3,H7,H5,H9;HQ,H4,H8,S7;HJ,C7,H6,D4;H2,S5,CA,C6;HK,DK,C10,S9;H10,D5,CJ,D10"
1569982425,1,26,1,"C10,C4,C5,C2;SA,S9,S4,S5;CQ,C3,C6,C7;C8,C9,D8,CJ;D2,D10,D7,D5;D4,DQ,DK,D3;S2,S8,SQ,S7;S3,SJ,D9,S10;D6,CK,DA,DJ;SK,H2,HK,S6;HA,H7,H10,H5;HQ,H3,H4,H9;HJ,H8,H6,CA"
