1569982427,1,0,1,"C3,CK,C6,C2;D3,D10,DQ,D4;D2,DK,D5,DA;C9,C7,C10,CQ;S3,S9,S4,SJ;S6,SA,S5,S7;CJ,CA,S8,C4;DJ,D6,D7,SK;D8,D9,S10,C5;SQ,S2,HQ,C8;H2,H7,H5,H10;H6,H3,HA,HJ;H9,H8,HK,H4"
1569982427,1,16,1,"C7,C8,C9,C2;S6,S4,SA,S2;D8,D7,DA,D2;CJ,C3,CK,CQ;S8,S3,S7,S5;DJ,D9,DK,D5;C5,SJ,HJ,C4;H2,HQ,HA,H10;H3,H4,HK,H8;D3,D6,H9,D4;S9,H7,SQ,SK;CA,H5,C6,D10;C10,H6,DQ,S10"
1569982427,1,4,1,"C9,C5,CA,C2;C10,CQ,C6,CJ;DQ,DA,D4,C3;S10,S5,S8,S4;SK,SA,SQ,S9;DK,C4,D3,D5;D10,C8,D8,D6;D2,C7,DJ,S7;S2,D9,CK,S6;S3,H9,H7,SJ;HJ,HA,H2,H8;H5,H3,H10,HQ;H6,H4,D7,HK"
1569982427,1,4,1,"C7,CQ,SA,C2;D6,D4,D3,D5;D8,DA,D9,D7;DQ,D10,S8,DK;C9,CA,C4,S2;CK,C3,D2,C10;SJ,S5,SQ,S10;S7,S9,S4,S3;SK,S6,H10,CJ;H5,H7,H6,H3;HQ,HK,HA,H8;HJ,H4,H9,DJ;H2,C8,C6,C5"
1569982427,1,24,1,"CA,CQ,CJ,C2;D6,DK,D3,D10;S8,S9,S3,S7;D8,DJ,DA,D4;SJ,S2,C9,SA;C3,C10,C6,C5;SK,S4,DQ,S10;C4,CK,C8,D7;S6,H9,H8,S5;H10,H3,HA,H2;D2,H5,HQ,HK;D5,H6,H7,H4;D9,HJ,C7,SQ"
1569982427,1,21,1,"C9,C10,CK,C2;C4,C6,C7,S9;DJ,D10,DA,D9;S6,S7,S2,S8;D2,D7,C5,D8;SK,SA,SJ,S10;C3,CJ,D4,S5;CQ,D6,D3,S4;CA,H4,HK,H10;C8,HJ,D5,H3;H5,H7,H8,HA;DK,HQ,DQ,SQ;H9,H6,S3,H2"
1569982427,1,0,1,"C7,CA,C10,C2;D9,DQ,D7,DJ;S5,SQ,S10,S9;CJ,C9,CQ,CK;S4,S7,S6,S3;DK,D8,DA,D2;C8,C6,C4,SK;H9,HK,H3,HA;HJ,S2,H7,H2;SJ,SA,H4,H8;C3,HQ,H6,D5;C5,D3,H10,S8;D4,D6,H5,D10"
1569982427,1,4,1,"C6,C10,CA,C2;DK,D10,D6,D4;S8,S7,S3,S5;S10,S2,SA,S6;SQ,C9,C3,SK;CJ,C4,CQ,CK;D8,DQ,D5,DJ;S9,D9,D3,SJ;S4,C8,DA,D2;C5,C7,H7,HQ;H6,HA,HK,HJ;H8,H3,H9,H10;D7,H5,H4,H2"
1569982427,1,11,1,"C10,CJ,CA,C2;S3,S9,SA,SK;C7,C3,C9,C4;D2,DA,D8,D3;S7,S8,S4,S10;DJ,D6,D7,CK;D4,DK,D9,SJ;C5,S6,DQ,C8;S5,C6,H4,S2;HK,HQ,H3,H2;HA,H7,H10,D10;HJ,H5,H9,D5;H6,CQ,H8,SQ"
1569982427,1,7,1,"CQ,C3,C9,C2;DQ,D8,D10,DJ;S5,S4,S6,S3;SK,S2,S7,S10;CA,C8,DA,C4;SA,SJ,S9,SQ;C10,D3,D9,CJ;D5,D7,DK,D6;HK,H4,H6,H8;H9,H10,H3,H5;HA,C7,HQ,H7;D2,CK,D4,H2;C5,S8,C6,HJ"
1569982427,1,0,1,"CJ,C6,C5,C2;CQ,S3,C4,CK;S7,S9,SA,S8;DK,D3,D9,D6;DJ,S2,D7,D4;D8,SJ,D2,DQ;S4,SQ,S6,CA;S10,SK,D10,C9;C8,H10,C10,C7;HA,HJ,H2,H9;D5,HK,H7,H3;DA,S5,HQ,H6;H8,C3,H4,H5"
1569982427,1,9,1,"C4,C8,C5,C2;CK,C7,C6,C9;SK,SA,S4,SQ;D4,D3,D5,DQ;C3,CJ,CA,S10;S3,S5,S6,S8;DJ,D9,D10,D7;D6,D8,DK,D2;S9,S2,DA,SJ;HK,H6,H5,H10;HQ,HA,H2,H3;C10,H7,H9,H8;CQ,H4,HJ,S7"
