1569982461,1,2,2,"C8,C5,C10,C2;DA,D6,D5,D8;S6,SJ,S8,S7;CJ,CA,D10,CQ;SK,S4,S5,DK;D3,SQ,DJ,D9;C9,SA,C6,S2;C3,S10,CK,S9;D7,H10,D2,HJ;H9,H2,H8,HK;H4,H7,H5,H3;H6,HQ,DQ,C4;S3,HA,C7,D4"
1569982461,1,5,2,"C3,C6,C7,C2;D5,D3,D2,DA;S2,SK,SA,S9;DQ,D4,D6,C10;CA,C5,CJ,CQ;S5,S10,SJ,S7;D10,DJ,DK,C8;S4,SQ,S3,S8;CK,D9,C9,C4;HA,H6,HQ,H10;H2,HJ,H7,H5;H4,H8,D8,H9;HK,H3,D7,S6"
1569982461,1,6,2,"CQ,C4,C3,C2;D7,D2,D5,D6;D9,D4,DK,D3;S5,SJ,S3,SK;D10,DA,D8,DJ;CJ,CK,C8,C6;S2,S7,S10,S8;C9,C5,C10,SQ;CA,DQ,C7,S4;S9,SA,H8,HQ;H2,H9,H3,H4;H7,HA,H10,H5;HJ,H6,S6,HK"
1569982461,1,22,2,"C10,C8,C4,C2;D2,D9,D7,D8;S7,S5,S3,S2;S8,S9,SJ,S10;C9,CK,C7,C5;CQ,C6,DA,CA;SA,CJ,S6,S4;D3,D10,D5,DJ;DK,DQ,H9,D6;HJ,H7,HQ,H6;H5,HK,SK,H8;H2,SQ,H3,HA;H10,C3,D4,H4"
1569982461,1,0,2,"C8,C9,D3,C2;C7,D6,CK,CQ;S6,S5,S8,SA;CJ,D7,C3,C10;CA,D10,C5,C6;C4,DJ,D2,D8;DK,S2,D4,DQ;DA,S3,D9,D5;HQ,H9,HJ,H7;H10,H6,SQ,H3;H2,H4,S4,S7;HA,SJ,H8,S9;H5,SK,HK,S10"
1569982461,1,3,2,"CA,CQ,C3,C2;S4,S5,S9,SA;DA,D8,D9,D6;S8,S10,S6,SQ;DQ,D5,C5,DK;S3,SK,SJ,D4;C7,CJ,C6,C4;CK,C9,S2,D7;H6,H4,H7,HQ;H8,D10,H10,H9;D3,DJ,D2,H2;C10,HK,HJ,H5;C8,HA,S7,H3"
1569982461,1,16,2,"C3,C5,C7,C2;DJ,D5,D3,D10;D6,D7,DQ,DK;S3,SQ,S7,SJ;SK,S4,S5,S10;S2,C4,S6,CA;D9,D2,SA,D4;S9,C6,S8,D8;DA,CK,C9,C10;H9,H3,H7,H8;HA,H2,HK,HJ;H4,H5,HQ,C8;CJ,H10,H6,CQ"
1569982461,1,9,2,"CK,CQ,C10,C2;D5,D6,D10,DJ;C7,C8,C9,CJ;D8,D7,DK,DQ;S2,S9,S4,SK;C6,SA,C4,CA;S6,SQ,S3,S7;C5,SJ,D3,D9;C3,S10,S8,D2;H5,H8,H6,HA;H9,H3,HJ,H7;H10,DA,H2,HQ;D4,S5,H4,HK"
1569982461,1,21,2,"CQ,C4,C9,C2;S10,S9,S5,SA;SK,S2,S6,SQ;DK,D10,D7,D5;D4,DA,DJ,D8;S8,S3,C3,S4;DQ,CK,CA,D3;C10,C7,H10,C8;D2,H2,HQ,D9;C6,HA,H7,CJ;H4,H9,H8,HK;HJ,H3,H5,S7;H6,C5,SJ,D6"
1569982461,1,2,2,"CK,C4,CJ,C2;S4,S10,SQ,S8;DA,D9,D2,D6;DJ,D8,D3,DK;S2,SJ,S7,S5;SK,C5,S6,SA;D4,DQ,D5,H8;H9,H2,HK,H10;H5,C6,CA,H4;S9,S3,C10,HQ;H6,C9,C3,H3;HA,C8,D7,HJ;C7,D10,CQ,H7"
1569982461,1,0,2,"C10,CA,C4,C2;S2,S7,S10,SA;C5,D9,CJ,CK;DJ,D10,D7,D2;S8,SK,S4,S5;DA,D8,DK,D6;DQ,D3,C7,D5;SQ,C6,CQ,S9;SJ,D4,C3,S3;HK,H4,HQ,H10;HA,H3,H7,S6;HJ,H5,H9,C9;H8,H6,H2,C8"
