1569982468,1,16,1,"C9,C4,CK,C2;C7,C3,CQ,C10;D8,DK,D3,D10;S3,S6,SJ,S4;S9,SQ,S5,S8;CA,DQ,C6,SK;C5,D6,CJ,D9;D4,D7,D2,DJ;HA,H8,HK,H4;H6,H3,S10,H7;S2,HQ,SA,H10;DA,H9,HJ,D5;S7,H5,H2,C8"
1569982468,1,8,1,"CJ,C7,C4,C2;C3,CQ,CK,CA;D3,D10,D7,D4;S2,S10,S3,S9;DQ,DA,D9,D6;C6,C9,C8,C5;D2,DK,S6,S4;S5,HJ,S7,SJ;H9,H3,HQ,H8;HA,H4,H10,H6;D5,H5,SK,DJ;H2,H7,SA,C10;HK,S8,D8,SQ"
1569982468,1,0,1,"C10,CQ,C7,C2;S3,SK,S2,SJ;DQ,D4,D10,DK;SA,S6,S7,S4;D6,D2,D9,DA;D7,DJ,C4,D8;C9,CK,C8,C6;S5,S8,S9,D5;CJ,C3,C5,CA;H2,H3,H5,H10;H9,HA,H7,HJ;H8,S10,H6,HK;D3,SQ,HQ,H4"
1569982468,1,5,1,"CA,CJ,C6,C2;S6,S8,SA,S9;S3,S7,S2,SJ;DJ,DK,DQ,D5;D2,D10,D8,D7;CQ,C5,C3,C7;SK,S5,DA,S4;D3,D9,D6,S10;C9,HJ,H4,CK;H5,H7,H8,HA;HQ,C4,H3,HK;H2,H6,C10,H9;D4,H10,C8,SQ"
1569982468,1,15,1,"C8,C10,CA,C2;DQ,DJ,D7,DK;S8,SJ,SK,S6;D8,D6,DA,S9;C4,C6,S2,CJ;C7,CK,C3,SQ;D2,D3,S10,D10;C5,C9,CQ,S4;SA,S7,D9,S5;D5,D4,HA,H10;HJ,HK,H5,H9;HQ,H4,H2,H8;H6,S3,H7,H3"
1569982468,1,0,1,"C8,C10,C7,C2;D2,D10,D3,D7;SK,SJ,S4,S3;S7,SQ,S8,S5;C9,DQ,CK,C5;D6,DA,D5,DK;DJ,D4,C6,S9;D8,S6,S10,C4;D9,CA,CJ,S2;SA,H5,CQ,H9;H7,H8,HQ,H6;C3,H4,H2,H3;HA,H10,HJ,HK"
1569982468,1,19,1,"CQ,CK,C9,C2;SK,SQ,S2,S9;SA,S6,S5,S10;DA,DJ,D6,D4;D3,D10,C7,D7;CA,C6,C3,D9;CJ,C10,DK,SJ;C5,C8,D8,D5;S7,DQ,S4,S3;C4,H7,H5,H8;HQ,HK,H3,H10;H9,HJ,HA,H6;S8,D2,H4,H2"
1569982468,1,23,1,"C9,C3,CQ,C2;S9,S3,SK,S4;S6,SJ,S8,S7;CK,C6,C4,CJ;C10,C8,C5,D6;C7,D5,D8,D3;D9,DA,DK,DJ;H5,HJ,H9,S2;H2,HQ,H4,DQ;HK,H8,H6,D7;HA,D2,H3,D10;H7,S10,SQ,SA;H10,CA,D4,S5"
1569982468,1,18,1,"C10,C6,CJ,C2;SA,S9,S7,SJ;S5,S3,S2,S8;D5,D9,D7,DA;SK,CQ,S10,S4;D4,DQ,C9,DJ;C8,C7,D3,CK;S6,CA,D2,D10;D8,C3,D6,DK;H7,H9,HJ,H10;H2,HA,H6,H8;H3,HK,H4,H5;SQ,HQ,C5,C4"
1569982468,1,14,1,"CK,CA,C10,C2;CJ,C9,C7,C5;S9,S7,S5,SA;SK,SJ,SQ,S3;S10,D8,S8,S2;D6,D4,D2,DK;D7,D10,DA,D9;CQ,DQ,C8,C3;C6,H5,H4,HA;HK,HQ,H8,S4;H10,H3,HJ,S6;H7,H6,DJ,H2;D3,H9,D5,C4"
1569982468,1,1,1,"CJ,CA,C9,C2;SQ,SJ,S2,S10;D3,DQ,DJ,D9;CQ,C8,C3,SA;D7,D10,DK,D4;C5,C10,C7,SK;S8,S5,S4,D8;S3,D5,S7,C6;D6,S9,D2,DA;C4,S6,CK,HJ;H4,HQ,H3,H7;H6,H9,H8,H5;HA,H2,HK,H10"
1569982468,1,0,1,"C8,C9,C4,C2;SK,SJ,S3,S9;D4,D9,D2,S10;C7,C10,CQ,CK;S8,DQ,SA,S7;DJ,D6,S4,D8;DK,D5,SQ,D7;D10,DA,S2,S6;HJ,HK,H7,CA;H9,H10,H5,C3;HA,H2,H6,CJ;H8,S5,H3,D3;H4,C5,HQ,C6"
