1569982486,1,2,0,"C9,C8,C4,C2;D10,D8,D5,D2;S6,S9,S10,SQ;CJ,C6,C5,CA;SA,SK,S3,S8;S7,S2,SJ,S4;C7,CQ,C10,DA;D3,D4,D9,D7;D6,H4,DK,H7;H5,HA,HQ,H3;HK,DQ,H8,H10;HJ,CK,H9,H2;H6,DJ,C3,S5"
1569982486,1,4,0,"C4,C5,C10,C2;S4,S6,S2,SA;D8,D5,D9,D2;S10,S3,S7,S5;CK,CA,C8,C3;S9,SJ,D4,DJ;CJ,CQ,D6,C7;DK,C9,HK,DQ;D3,H7,H2,H10;H9,H6,H3,HJ;SK,HA,D10,H8;S8,C6,DA,H5;SQ,HQ,D7,H4"
1569982486,1,19,0,"C9,C5,C10,C2;D4,D9,D5,DK;C4,C3,CA,CQ;SJ,S4,SQ,S7;C6,CJ,CK,S8;S10,SA,S9,S5;S2,C8,S3,SK;D6,DQ,D3,DJ;C7,D8,D2,D10;HK,H8,H6,H9;H4,HJ,HQ,H3;H5,DA,H10,HA;H2,S6,D7,H7"
1569982486,1,6,0,"D8,CJ,C9,C2;SQ,S6,S7,S5;S9,S3,SA,S4;C3,S2,CQ,C8;D5,D3,D9,D10;C4,SK,CK,C6;D7,DK,D2,DJ;D4,D6,DA,DQ;C7,HK,HJ,C10;H8,H2,H6,H5;H4,H10,H7,H9;S8,S10,HA,H3;SJ,HQ,C5,CA"
1569982486,1,16,0,"C5,CK,CQ,C2;S2,S3,S6,SA;CJ,D2,C6,C10;CA,DQ,C9,C7;S8,S9,S5,S7;DK,D6,D4,D10;D8,D7,C4,DJ;S4,D5,SK,SQ;H7,H5,H10,H9;H3,DA,H8,H2;H4,D3,H6,S10;HA,C3,HK,C8;HQ,D9,HJ,SJ"
1569982486,1,8,0,"C9,C4,CQ,C2;SQ,S9,S4,S5;S7,S6,S8,SJ;D6,D8,DA,D7;C5,CJ,C8,C10;D4,D9,D10,DJ;S3,SA,C3,S10;D5,D2,DK,DQ;CA,H2,C7,C6;H10,H4,H6,H5;HK,H8,H9,CK;HJ,H7,HA,SK;HQ,H3,D3,S2"
1569982486,1,13,0,"CQ,C6,CJ,C2;SQ,S6,SK,S10;DJ,D9,D3,DQ;S9,S3,S2,S8;C7,D5,C10,C8;D6,D2,D7,D10;SA,SJ,S5,CK;H7,H10,H4,HK;DA,D4,H9,H2;C4,HA,C5,H5;C3,CA,DK,H3;C9,S4,H6,H8;D8,S7,HJ,HQ"
1569982486,1,4,0,"C7,CJ,C9,C2;DQ,DK,D3,D2;S8,S10,SA,S2;S7,S6,SQ,S4;C3,C8,CA,C5;D6,D8,DA,D10;S3,SJ,DJ,S9;D5,D4,D9,D7;SK,C4,H4,S5;H6,H10,H3,H9;CQ,H8,HJ,C10;C6,HQ,HK,CK;H5,H7,HA,H2"
1569982486,1,0,0,"CJ,CQ,C8,C2;D9,DQ,D5,D8;C4,CA,C5,C9;S9,SK,SJ,S7;D7,DA,D2,D10;S2,S5,S4,SA;S8,D3,S3,SQ;DJ,HJ,D6,D4;H3,HA,H5,HQ;H9,H8,H6,S6;H7,C3,H4,S10;H10,C10,H2,CK;HK,C7,DK,C6"
1569982486,1,0,0,"C4,CJ,CQ,C2;S5,S2,S9,SA;DK,D2,D6,DQ;DJ,D7,D3,D10;C6,CA,C8,S8;C9,C3,D4,SK;CK,S3,SQ,S4;C10,HJ,DA,D9;C5,H6,D8,H8;C7,H9,S7,HA;H7,H4,H3,H5;SJ,HQ,S10,HK;S6,H10,D5,H2"
1569982486,1,4,0,"C3,CJ,CK,C2;S4,S10,S3,SQ;S8,C4,S5,S6;D9,D6,D5,D7;DK,D8,D4,D3;SA,DQ,SK,SJ;S2,D10,CQ,S9;C5,C10,CA,C8;DA,C9,D2,DJ;HQ,HK,H9,H5;H6,H10,H4,HA;C6,H3,S7,H8;C7,HJ,H7,H2"
