1569982500,1,0,2,"C5,CK,C10,C2;D5,DK,D4,DQ;S4,S6,SK,S8;S3,S7,S10,S5;D3,D7,D10,D2;CJ,CA,C4,C3;C9,C7,D9,SJ;DA,D8,SQ,S2;CQ,C6,H9,H5;D6,DJ,H6,H8;H3,HJ,C8,H10;HK,S9,HA,H2;HQ,SA,H4,H7"
1569982500,1,8,2,"C9,C8,C10,C2;D7,D5,DK,D4;SQ,S5,SJ,S3;S9,CK,S8,S4;SA,C7,S6,SK;CQ,CA,C5,C4;D8,DJ,D6,D9;S2,S7,DA,D3;CJ,HK,C3,HQ;H7,HJ,H10,HA;H2,H4,H9,C6;H6,H8,H3,D2;H5,DQ,S10,D10"
1569982500,1,3,2,"C6,C8,CK,C2;SA,S6,SQ,S8;DQ,D9,D10,D5;S5,S7,SK,SJ;C9,C4,D2,CQ;S2,S4,D4,S3;CA,D6,D7,C10;C7,DJ,H8,HJ;D3,HK,H2,DA;H6,HQ,H7,C5;H3,H9,CJ,H4;HA,H10,D8,DK;S9,H5,C3,S10"
1569982500,1,13,2,"C7,C10,C8,C2;D8,D3,DQ,D5;SA,S7,SJ,SQ;S5,S2,CJ,S10;DA,DJ,D2,D10;D9,D4,D7,S9;D6,CK,S3,S8;CQ,CA,C4,C6;C9,S4,C3,SK;HK,H6,H8,H9;HA,HQ,H5,H3;HJ,H4,DK,H10;H7,S6,C5,H2"
1569982500,1,8,2,"CJ,CK,C7,C2;CA,C8,CQ,C10;D5,D3,D9,D6;S7,SK,S9,S10;DK,DQ,D2,D10;DJ,D7,D8,S4;S5,D4,SQ,SJ;C6,H3,C9,S2;HA,H8,H9,HQ;HK,H5,S3,H7;C4,H10,C5,HJ;S6,H4,C3,S8;DA,H6,SA,H2"
1569982500,1,6,2,"CA,C3,C5,C2;SA,S6,D5,S5;C7,C10,C9,CK;DJ,D8,DA,D7;SQ,S8,D10,S7;DQ,D2,D9,D3;S4,S9,C6,S2;C8,CJ,DK,C4;S3,H7,S10,SJ;HJ,H8,H4,H5;H2,H9,HK,H10;CQ,H3,D4,HQ;H6,HA,SK,D6"
1569982500,1,7,2,"C5,C10,C9,C2;D10,DA,D3,DK;S7,SJ,SA,S5;S4,S2,S9,S3;D8,D6,D9,DQ;CQ,C7,C6,C4;CA,C3,CK,S8;SQ,S10,D5,D2;H5,H4,HJ,H9;HQ,CJ,H2,HK;H7,C8,H8,H3;D4,S6,H10,D7;H6,SK,DJ,HA"
1569982500,1,0,2,"C6,CQ,CK,C2;S8,S10,SQ,S6;DJ,DA,DK,DQ;D5,D4,D2,S4;D9,D8,D7,S5;D3,S2,D6,C8;SA,S3,S9,C5;S7,SK,HQ,HJ;H8,CJ,HK,H2;H6,C7,H9,HA;H5,H7,D10,C9;H3,CA,H10,C10;H4,C3,SJ,C4"
1569982500,1,6,2,"CJ,C7,CK,C2;D4,D3,D8,D9;SJ,SA,S7,S2;CQ,CA,C9,C4;DQ,D5,D10,DJ;C10,C3,C5,C6;S9,D7,S10,SQ;S6,DK,S8,S3;H4,HQ,H6,H5;H8,H2,SK,HJ;H10,H7,HA,S5;H3,HK,C8,D6;D2,H9,DA,S4"
1569982500,1,0,2,"C10,CK,C6,C2;SJ,S3,S8,SQ;C3,C8,D4,CA;DK,D5,DQ,D9;S5,S6,S7,S9;C4,C7,S2,C5;DJ,DA,SA,D2;S10,SK,D10,D7;S4,H10,H9,H6;HK,D8,HA,HJ;H8,D6,H7,H4;CJ,C9,H2,HQ;D3,CQ,H3,H5"
1569982500,1,16,2,"C3,C7,C5,C2;C10,C9,CJ,CK;S10,S6,SJ,SA;D3,DA,D8,D9;D2,DQ,DK,D10;C8,CQ,CA,C6;S2,DJ,S7,S9;SQ,D5,S3,S5;SK,D4,S4,D6;S8,H5,H3,H6;H8,HQ,HJ,H10;H2,HA,H9,H4;D7,HK,H7,C4"
1569982500,1,4,2,"CJ,C9,C6,C2;S5,S10,S6,S8;DQ,DA,D5,D3;SJ,S2,SK,S3;S4,SQ,S7,SA;D4,D2,D6,DK;DJ,D9,D7,C5;H4,H10,H2,H3;CQ,C7,H5,CK;HA,HK,D8,HJ;H6,C8,D10,HQ;H9,C10,S9,H8;H7,C3,CA,C4"
