1569982502,1,0,2,"C6,CA,CQ,C2;SJ,S9,S4,S8;C4,C7,C10,CJ;D3,D5,D6,D7;C9,CK,C5,DA;D2,D8,DJ,DK;S3,SA,DQ,S10;C8,D4,SQ,D10;C3,H4,SK,H10;HK,H6,H2,H3;H5,HQ,H9,H8;HJ,HA,S7,D9;S6,S5,S2,H7"
1569982502,1,4,2,"C10,C9,CQ,C2;S10,SK,SJ,S2;S7,SQ,CK,SA;DJ,D3,DK,D10;C3,CJ,D4,C7;S5,S6,C6,S9;C4,S4,DQ,C5;DA,D6,D7,S3;C8,D5,D9,CA;H3,H9,HJ,H6;H7,HQ,H5,H4;H8,HK,S8,H2;D2,D8,HA,H10"
1569982502,1,13,2,"C6,C3,C9,C2;S10,S8,SQ,S2;DQ,D2,D6,DJ;D4,D10,D9,D3;SA,S3,S7,S9;S6,S5,D7,SJ;C10,C5,CQ,CK;C7,C4,CJ,D8;CA,C8,D5,DK;S4,DA,SK,H8;H2,H6,H7,HJ;H3,HK,H9,H4;HQ,H5,H10,HA"
1569982502,1,17,2,"C8,CK,C10,C2;D5,D10,D9,DJ;D3,S2,DK,DQ;SJ,SQ,S10,S9;SA,S7,S5,SK;CA,CJ,C6,CQ;S8,D2,D7,S3;C4,D4,D6,C7;S4,S6,DA,D8;C3,HQ,C5,H3;H2,H5,HJ,H10;H4,HK,H6,H9;H8,H7,C9,HA"
1569982502,1,0,2,"C8,CQ,C10,C2;S7,SQ,S6,S5;DJ,DA,D9,D5;C4,C9,C7,C5;S2,SA,S9,SJ;D7,D6,D2,DQ;C6,CK,CJ,CA;S4,S10,SK,D3;D4,HJ,D10,H10;H5,HK,H3,H7;H9,H2,HA,S3;H8,DK,H6,S8;H4,D8,HQ,C3"
1569982502,1,0,2,"C7,CK,C9,C2;D8,D6,DQ,D2;C8,C5,CJ,S8;SQ,S9,SJ,S10;D5,S7,D4,DK;D7,CA,DJ,D9;S3,S4,SA,S2;D10,CQ,DA,C3;H9,H7,H8,H6;H2,HK,H5,H3;H10,D3,HQ,C6;H4,HJ,S6,C10;C4,S5,HA,SK"
1569982502,1,6,2,"CA,C5,CK,C2;DJ,D3,D9,C8;S9,S5,S10,SK;C9,CQ,D4,C6;D6,S3,D7,D5;D10,S2,DQ,S4;SA,S7,SJ,SQ;DK,C4,D2,C10;DA,C3,D8,CJ;HK,H6,H10,H7;H9,HA,H2,H4;S8,H8,H5,S6;H3,HJ,HQ,C7"
1569982502,1,4,2,"C7,CA,C6,C2;S2,SJ,S10,SK;D9,DQ,DJ,DK;S3,S6,S7,SA;C5,C9,C3,CK;S5,SQ,S8,CJ;D6,D4,DA,S4;D7,C10,D3,S9;D2,H5,D8,H9;CQ,H6,H3,C4;C8,HQ,D10,HJ;H7,H8,H10,HK;H2,H4,HA,D5"
1569982502,1,5,2,"C4,C7,C8,C2;SK,S9,SA,S7;DJ,D3,D4,DQ;S2,S3,S10,DA;S8,SJ,DK,SQ;D8,D10,C9,D2;CA,C10,C6,C3;CQ,D7,H2,CJ;C5,H5,HJ,S4;HK,H6,H9,HQ;CK,D5,H7,S5;H8,H4,H3,HA;D9,S6,H10,D6"
1569982502,1,26,2,"C6,CJ,CA,C2;C4,C9,C8,CK;D3,DA,DJ,D9;SA,S4,S9,S8;S3,SK,SQ,S5;DQ,C5,D8,D6;DK,SJ,D5,D2;S7,H10,S2,S6;HJ,H6,H8,H7;D4,HQ,HA,H9;D10,H3,CQ,C3;S10,H2,C10,C7;D7,H4,HK,H5"
1569982502,1,14,2,"C8,C7,C4,C2;DA,DJ,D10,D6;D9,D2,D8,D4;C9,S9,CJ,CA;CK,S10,C3,S3;S8,S2,S5,SJ;DQ,DK,S4,D7;D3,C6,SA,D5;SQ,S6,SK,HJ;H9,H2,H10,HK;HA,H6,H5,H3;CQ,H8,H4,C5;C10,H7,HQ,S7"
