1569982520,1,0,0,"C9,C8,C4,C2;S5,SK,S2,S6;DK,D7,D6,D5;D4,DA,D8,D3;C3,CQ,C5,CK;S4,SJ,S10,S9;C7,C6,CA,CJ;DJ,D2,DQ,S8;SQ,C10,SA,S7;H7,HJ,H9,H3;H5,H10,H4,HQ;H2,HK,S3,HA;H8,D9,D10,H6"
1569982520,1,2,0,"CQ,C6,CJ,C2;DJ,S4,D2,D6;S7,S5,SA,S8;D7,D10,S2,D3;CK,C9,C8,C5;DA,SQ,D4,DQ;C10,C4,CA,S3;DK,S9,D5,D8;SJ,S10,HJ,H9;H3,H10,HK,H8;C7,H7,HA,HQ;D9,H4,H2,H5;C3,S6,SK,H6"
1569982520,1,8,0,"C6,CJ,CK,C2;DJ,D6,D4,DA;S8,S9,SQ,S3;SA,S4,S2,SK;S10,S6,C5,S5;D2,D3,DK,D8;C9,C7,C8,D5;C3,C4,CQ,DQ;SJ,C10,S7,D7;CA,D9,D10,H2;H8,H10,HQ,H4;H3,HK,H9,HA;HJ,H6,H7,H5"
1569982520,1,3,0,"C9,C8,C7,C2;CJ,C4,C6,CK;SJ,S6,SK,S9;D2,D4,DK,DA;S7,SQ,CA,SA;D5,D9,D8,D10;S8,S10,C3,S3;C5,CQ,C10,H6;H8,H5,DJ,H4;H9,H2,S5,H7;HA,H10,D7,HK;D6,DQ,S2,H3;D3,S4,HJ,HQ"
1569982520,1,13,0,"CA,D10,CQ,C2;S3,S8,SQ,S2;S7,SJ,S5,S9;C6,D5,C9,CK;S6,C4,S4,SK;D9,D3,D4,D7;C7,D2,C8,S10;C3,DQ,H5,C10;C5,H10,H9,H2;CJ,H3,DJ,H8;DA,D8,DK,HQ;SA,H7,H4,HJ;D6,HK,H6,HA"
1569982520,1,4,0,"C3,CA,CK,C2;D9,D2,D6,D8;DK,DA,D7,D5;S2,S10,S8,S5;DJ,DQ,D4,SA;S7,SJ,S9,S6;C5,C8,C7,C6;D3,S4,CQ,SK;C9,S3,C10,CJ;SQ,H8,C4,HJ;H5,H7,H4,H3;H2,H10,HK,HA;HQ,D10,H9,H6"
1569982520,1,17,0,"C8,CQ,CA,C2;CJ,C7,C4,C3;SK,S2,SJ,S3;S5,S8,SA,SQ;C5,C6,C9,C10;DK,D2,D10,D7;DA,CK,D9,D5;D3,S4,D8,DJ;S9,H9,S10,H8;H5,HK,H10,HJ;H4,H3,H7,S7;HA,H6,H2,S6;D4,D6,HQ,DQ"
1569982520,1,0,0,"CK,C3,C5,C2;SA,S4,S2,S7;S9,S3,S6,S8;SK,DK,SJ,S10;C10,D4,C6,C7;S5,D9,SQ,D5;DA,DJ,D10,D8;D2,DQ,D6,C4;C9,H5,CJ,H7;HK,H4,H10,H8;HQ,HJ,H2,HA;H3,CQ,D7,H6;CA,C8,D3,H9"
1569982520,1,0,0,"C6,CK,CJ,C2;D7,D3,D2,D5;C8,C9,C7,C10;D9,D8,D4,S9;SA,S3,S8,SK;S4,SJ,S7,S5;DJ,D6,C3,S6;DQ,D10,S2,C5;DK,DA,CA,SQ;C4,H3,S10,H7;H8,H6,H5,H4;HQ,H2,H10,HJ;CQ,HK,HA,H9"
1569982520,1,22,0,"C5,CJ,C9,C2;CQ,C7,CK,C10;D10,D2,DJ,DQ;C6,C4,S7,S9;S3,S6,S10,SQ;D6,D4,DK,DA;C8,SJ,D8,D3;C3,S2,D9,S4;S5,SA,H6,S8;H8,H3,H10,H4;H9,HJ,SK,HQ;H2,H7,D5,HA;HK,H5,CA,D7"
1569982520,1,4,0,"C7,C5,C10,C2;DK,D10,DA,D9;S2,S3,S10,SK;D5,D4,D8,D2;SJ,S8,D7,CA;SQ,S9,D6,D3;S6,SA,DQ,C8;CQ,CJ,DJ,C6;C9,C4,S5,H10;CK,H6,HJ,H8;H2,H9,H3,HA;H7,HQ,H4,C3;HK,S7,H5,S4"
1569982520,1,3,0,"C8,CJ,C6,C2;CQ,C5,C7,C3;D4,D2,D3,D5;C10,CA,C9,S8;S5,S3,S9,SA;D10,DA,D9,D7;D6,D8,DJ,DK;SJ,S2,H7,SQ;HA,H9,H8,HJ;H4,H5,H6,S4;H3,H10,HK,CK;DQ,S7,H2,SK;S6,S10,HQ,C4"
