1569982558,1,8,1,"C7,CQ,C6,C2;D9,DQ,D5,D10;SJ,S7,SA,S2;C5,C4,CJ,C10;C3,CA,C8,C9;S3,DK,SQ,S10;D6,D2,D8,D3;S6,D7,S5,S8;DJ,D4,S9,DA;S4,CK,H2,H8;SK,HJ,H9,H6;H7,H3,H10,HA;HK,HQ,H5,H4"
1569982558,1,4,1,"S5,C5,CQ,C2;S8,S4,SQ,S10;DQ,D9,D6,D3;D2,D8,D4,DK;CK,DA,C9,C4;C8,D7,CJ,C6;SK,SA,C7,DJ;S3,S6,CA,C3;S2,S9,HK,D10;H6,H3,HJ,H4;H5,H10,H9,HA;H7,H2,S7,D5;HQ,H8,C10,SJ"
1569982558,1,0,1,"CJ,C6,C7,C2;S6,S4,SA,S5;D4,D5,D9,DA;S10,S9,S7,D10;DJ,D8,C9,D7;DK,C5,SQ,D6;C4,CK,C8,CA;CQ,S8,C3,C10;D2,H7,S2,D3;SJ,SK,HK,H4;H3,HQ,H5,H2;H9,H8,H6,DQ;HJ,HA,H10,S3"
1569982558,1,4,1,"C3,C10,C8,C2;D8,D4,DA,S6;DQ,S4,D5,DK;C5,CJ,C4,C9;S5,S3,SK,SA;D9,SQ,D2,D7;D10,SJ,CQ,DJ;CK,S8,CA,C6;S2,H5,S7,S9;H7,H9,HA,HQ;H2,HK,D3,H6;H10,H4,D6,H8;HJ,H3,C7,S10"
1569982558,1,4,1,"C5,C7,CA,C2;DJ,D5,DK,D9;D8,DQ,D2,CQ;S2,S3,S5,S7;D7,DA,C4,D4;S4,SJ,C10,SQ;C8,CK,CJ,C6;D6,D10,H8,S10;H3,H2,HQ,H9;H5,H7,HA,H10;S6,S8,H6,SA;SK,D3,HJ,S9;C9,C3,H4,HK"
1569982558,1,20,1,"C10,C3,CJ,C2;D5,D9,D7,D10;S7,S8,S5,S10;DK,D3,D2,DA;C4,CQ,SA,C9;S2,S9,C7,SK;C8,D4,C5,CK;SJ,S4,C6,CA;S6,S3,HJ,H10;H8,DJ,H5,HA;H9,DQ,H3,HQ;H2,D6,H4,HK;H6,SQ,D8,H7"
1569982558,1,19,1,"C7,CJ,CK,C2;S4,S3,S2,S7;D8,D2,D5,DA;DQ,DJ,D4,D7;DK,C3,D6,D3;D10,C8,S6,D9;S5,SK,SQ,S10;C9,C6,C5,CQ;S9,SJ,S8,CA;H6,HK,H2,H7;SA,H8,H10,HJ;H3,HQ,HA,H5;H9,C4,C10,H4"
1569982558,1,3,1,"C5,CK,C4,C2;D4,DK,D7,DA;SA,S10,S8,SQ;DQ,D3,D8,D10;D2,D6,C6,CA;SK,S2,D9,S9;S4,S7,C8,S6;C7,D5,C3,C9;S5,DJ,S3,CQ;C10,H8,H9,CJ;H7,H4,H6,H3;HA,HQ,H10,H2;HJ,H5,HK,SJ"
1569982558,1,2,1,"C6,C8,CA,C2;SQ,S7,SJ,S10;D5,D2,DJ,DK;D7,D9,D4,D10;C3,C9,C7,C5;D3,S8,D8,DQ;S3,SK,S9,S6;S5,SA,S4,CJ;S2,H5,HQ,CQ;CK,HJ,HK,C10;HA,H2,H3,H6;D6,H4,DA,H7;H9,H10,C4,H8"
1569982558,1,17,1,"C8,CA,CQ,C2;SK,SA,S9,S6;D4,D2,DQ,DJ;D3,D7,D6,D5;C6,CK,C3,C4;D8,DA,SQ,DK;CJ,C7,C10,C5;SJ,S4,S5,S7;S3,S8,D9,H4;H2,H6,H10,H7;H5,H9,H8,H3;HQ,HA,C9,HK;S10,D10,S2,HJ"
1569982558,1,2,1,"C9,CA,C10,C2;D4,DA,D2,DQ;S2,S6,SJ,S9;C6,CJ,C8,CQ;SK,S3,S7,S4;S10,SQ,S8,S5;DJ,DK,D3,D5;D10,HJ,D8,D6;HA,H10,H6,H9;CK,HQ,C4,C3;D9,H7,D7,H5;H8,H3,H4,SA;C5,HK,H2,C7"
