1569982560,1,5,1,"C5,C3,CA,C2;S6,S8,SK,SA;S3,S10,S5,SJ;S7,D2,S4,SQ;DQ,D8,D3,DK;CQ,C7,C8,C10;D10,D7,D6,D4;HQ,H4,H10,H3;H5,HJ,DJ,H2;HK,D5,S2,H7;C9,CJ,C4,HA;DA,CK,C6,H8;D9,H6,S9,H9"
1569982560,1,2,1,"C4,C5,C9,C2;D9,D3,D10,D5;S3,SK,S10,S7;S5,S2,S6,C7;DK,D7,DJ,D4;S9,CQ,SA,CA;C6,C3,CJ,D6;S8,H10,S4,H2;H7,H6,H9,H4;C8,C10,DQ,H3;D2,DA,D8,HK;CK,HQ,H5,H8;SQ,SJ,HA,HJ"
1569982560,1,9,1,"CJ,C4,C5,C2;S9,SJ,S8,SK;C9,C10,CQ,CK;S6,SA,S2,S10;D4,DK,D5,D3;DQ,D9,D6,D10;S4,C3,DJ,SQ;C6,CA,C8,D7;S3,HA,C7,D2;H5,HQ,H6,H2;H9,H10,H4,HJ;S7,H7,D8,H3;S5,HK,DA,H8"
1569982560,1,8,1,"C7,CA,CQ,C2;S4,S2,SQ,S7;D6,DQ,D4,DJ;SJ,S6,CK,S3;D2,D8,D10,D5;D9,D7,DA,C8;S9,S8,C5,S10;SA,S5,D3,C9;CJ,C3,HA,C4;HQ,H9,H2,H5;H3,H8,H7,H10;C10,SK,H6,HJ;C6,DK,HK,H4"
1569982560,1,0,1,"C4,C9,C3,C2;SQ,S9,S10,SK;DK,DQ,DA,D2;C5,CQ,CJ,C10;D3,D10,D6,DJ;SJ,S8,S6,S2;S5,SA,D5,S3;C6,CK,CA,D9;D8,D7,C7,D4;S7,HA,H10,H7;S4,HJ,HK,H3;C8,H4,H8,HQ;H6,H2,H5,H9"
1569982560,1,0,1,"C7,C8,C4,C2;CJ,C5,C9,C10;SJ,S8,S4,S7;S9,D8,S10,S3;S6,SQ,D7,S5;D2,DA,D4,D10;DQ,D3,C6,DJ;CA,CK,C3,CQ;H4,H3,H2,HA;SA,D9,HK,H10;H6,D6,H7,H5;HJ,D5,SK,H9;HQ,DK,S2,H8"
1569982560,1,2,1,"C4,C3,C8,C2;D9,D5,D2,D8;C10,CK,CA,C5;DA,DQ,DJ,DK;SA,S6,SK,S9;D6,D10,SQ,C6;D3,S5,C7,D4;S10,S8,S4,S2;CJ,C9,H5,H7;H6,H8,H2,HJ;HQ,H3,H9,H10;H4,HA,D7,S7;S3,SJ,CQ,HK"
1569982560,1,22,1,"CJ,CK,S3,C2;C9,SQ,C7,C4;C5,D7,D9,CA;SK,SJ,S8,S6;D10,D4,D3,DQ;D6,DA,D5,S9;S5,SA,C10,S2;DJ,DK,S7,D8;C8,C3,S4,D2;C6,H10,H3,HK;H5,H8,H9,HA;H4,H2,HQ,HJ;CQ,H6,H7,S10"
1569982560,1,23,1,"CQ,C10,C6,C2;SQ,S5,S7,SJ;DQ,D7,D2,D5;SK,S6,S8,C9;D4,DK,CK,D10;S3,S4,C5,S2;C4,C8,DJ,C3;D9,SA,D8,DA;CA,S9,C7,D3;H4,HJ,H8,HA;HQ,H9,H2,H10;S10,H7,D6,H6;H5,H3,CJ,HK"
1569982560,1,21,1,"C6,CA,CK,C2;D6,D5,D10,D2;CJ,C8,C7,CQ;SQ,S7,S9,S4;SA,SK,S10,S2;S3,S8,DK,C4;DA,DJ,D4,DQ;S6,C3,C9,SJ;D8,D7,D3,D9;H9,H4,HK,HA;HJ,H8,H2,H3;C5,H10,C10,HQ;H5,H6,H7,S5"
1569982560,1,22,1,"CA,CJ,CK,C2;DA,D3,D7,D8;CQ,C7,SA,C10;SJ,S4,S8,S3;S5,S10,S2,S7;D6,D10,DK,D9;D4,DQ,D5,SK;H2,H6,H3,H9;H10,SQ,HA,HQ;HJ,S6,C6,H4;HK,C5,C8,H5;H7,C3,C4,S9;H8,D2,DJ,C9"
