1569982570,1,4,0,"C8,CQ,C10,C2;D2,D10,D6,D9;C4,C7,C9,C3;S3,SQ,SA,SK;DQ,D4,DK,DA;CA,CK,D7,S9;C6,CJ,D5,S4;S7,S6,S8,SJ;D8,D3,H5,S5;HK,H9,HA,H8;H3,HJ,HQ,H4;DJ,H10,H2,S2;S10,H6,H7,C5"
1569982570,1,0,0,"C4,CQ,C9,C2;SQ,S4,SJ,S8;D7,D5,D8,D4;C6,CA,C7,D9;D2,D10,D6,DJ;SK,S5,S2,S10;S7,S9,C5,CJ;C10,C8,C3,D3;SA,DA,DK,S6;HK,H2,HA,HJ;H8,H7,H5,H3;H10,DQ,H6,HQ;S3,CK,H4,H9"
1569982570,1,0,0,"C8,CQ,C7,C2;S2,S5,S3,S8;DQ,D5,DK,D4;CK,C5,C4,C9;C6,C3,CJ,C10;S7,S6,S4,SJ;D9,D3,D2,D10;SA,SK,DJ,DA;S9,H5,D8,HA;H8,H4,H9,H7;HQ,H10,HK,HJ;D6,H3,SQ,H6;D7,H2,S10,CA"
1569982570,1,6,0,"CK,C3,C4,C2;SQ,S2,C5,S8;S10,SJ,DA,S4;C9,CQ,C7,CJ;D7,DK,C10,D8;D10,SK,D6,DJ;S7,SA,D2,C6;C8,D4,DQ,CA;S3,D3,H5,S5;H10,H9,HK,H7;H3,HA,HJ,H8;HQ,H6,S6,D5;H2,H4,S9,D9"
1569982570,1,0,0,"C9,C6,C5,C2;SQ,S8,S7,SA;S3,S2,S9,SK;D5,D7,DJ,D3;DA,D10,D8,CQ;D2,DK,D4,SJ;CK,C4,CA,C10;DQ,D9,D6,C7;S5,CJ,S10,S6;S4,C8,HQ,H8;HK,H9,H3,H6;HA,H7,H5,H10;H4,C3,HJ,H2"
1569982570,1,4,0,"CJ,CQ,CK,C2;SJ,S2,S7,S3;C8,C4,C9,DJ;DQ,DK,D6,D2;CA,C7,SA,C6;S8,S9,S10,S5;D8,D7,D10,D3;D9,D5,SQ,C5;D4,DA,H7,C10;HJ,HQ,HK,HA;H3,H5,H8,SK;H4,H10,S4,H9;H6,H2,C3,S6"
1569982570,1,0,0,"C8,C3,CA,C2;DK,DA,D2,D5;SK,S5,S10,SJ;D6,D4,D10,D7;S7,S6,S2,SA;D9,DJ,D3,S3;C10,CK,C6,C4;C9,CJ,CQ,S8;S9,DQ,S4,HQ;H5,H6,H4,H9;HA,H10,H2,H8;H7,C7,HJ,HK;SQ,C5,D8,H3"
1569982570,1,6,0,"C8,CA,CK,C2;D3,DJ,D10,D9;SQ,SJ,S6,S5;SA,SK,S8,S4;CQ,C3,CJ,C6;D2,DA,D7,DK;S3,S9,C4,S2;S10,H5,D8,C5;H7,H2,HQ,H4;HJ,H10,H6,HA;C7,H9,C9,H8;D6,H3,DQ,D4;C10,HK,D5,S7"
1569982570,1,15,0,"CA,CJ,C9,C2;C6,D3,C3,C7;D2,D9,D6,D7;SJ,SK,S2,S7;S3,S4,SA,S8;D8,CQ,DJ,D10;S10,DQ,C4,SQ;DA,DK,C8,C10;S9,H5,H2,S5;H8,H6,H10,H3;HQ,D4,HA,H7;CK,C5,S6,H4;HK,D5,HJ,H9"
1569982570,1,4,0,"CJ,CK,C9,C2;SJ,S9,S7,SQ;DA,DK,DQ,DJ;D3,D7,D2,D9;S8,S5,S2,S3;S6,C8,CQ,SA;D6,SK,CA,C7;D8,C4,C5,C6;D10,H8,HK,C3;H3,H10,H4,HQ;H6,H5,HJ,H9;H7,S10,D4,H2;HA,S4,D5,C10"
1569982570,1,9,0,"C3,C9,C5,C2;DK,D2,D10,D8;C8,S9,C4,CJ;S5,S7,SA,S4;CK,D7,CA,C6;D6,D4,S10,D3;D9,DJ,C10,DA;D5,SK,C7,DQ;SQ,S3,S6,S8;H9,HK,H5,HJ;H10,HA,H4,H3;HQ,H7,H8,S2;CQ,H2,H6,SJ"
