1569982573,1,0,2,"C4,S3,CK,C2;D10,D3,DA,DQ;CA,S6,C8,CQ;C3,S9,C6,DK;S4,S8,S10,S2;D4,D8,DJ,D9;C9,D7,D2,C7;SJ,D6,SK,SA;C10,H5,D5,CJ;SQ,H2,HQ,S5;HK,H3,H6,HA;C5,H4,H10,HJ;H9,H7,H8,S7"
1569982573,1,13,2,"C7,CQ,C10,C2;S3,S4,S10,SQ;S8,SA,DQ,SK;DK,DJ,D7,D5;S9,C3,D3,S2;SJ,D2,D9,S7;DA,D10,D4,D6;S6,H3,H9,C6;D8,C5,H6,H5;H7,HK,H8,HQ;CA,CK,H4,C9;C4,C8,HA,HJ;S5,CJ,H2,H10"
1569982573,1,13,2,"C7,C8,C9,C2;S3,S8,SJ,S4;DA,D10,CQ,D7;D9,DQ,S6,D6;C5,CJ,DJ,CA;D3,S7,SQ,D4;S9,S5,SA,S2;C4,CK,C6,H2;H4,H10,HA,H7;D2,HQ,SK,H8;DK,H9,C10,H5;D5,H6,C3,HK;D8,S10,H3,HJ"
1569982573,1,15,2,"CA,C9,CJ,C2;DK,D7,D9,DQ;D5,D4,DJ,D6;C10,CQ,C4,CK;S5,S7,SA,SK;S4,S9,S6,S10;D2,D10,C8,DA;SQ,C7,C5,D8;S8,D3,H5,HA;C3,C6,H8,HQ;H2,H4,H9,S3;H10,H6,H7,SJ;HK,HJ,H3,S2"
1569982573,1,0,2,"C6,CJ,C8,C2;S8,SA,S9,S5;D8,D3,D4,DJ;C4,C10,S6,CA;S7,S2,SK,S10;D9,D2,D5,DQ;D6,C9,D7,D10;DA,SQ,SJ,C5;S3,S4,C7,CK;H9,H3,HJ,H7;HA,H6,H2,H5;C3,CQ,DK,H8;H10,HK,HQ,H4"
1569982573,1,13,2,"C7,C3,CQ,C2;D6,D8,D10,DA;C9,C8,C6,SJ;C5,S4,CJ,DK;S9,S2,SQ,S3;DQ,D4,D2,D3;DJ,D7,C4,S8;D9,S7,C10,S5;S6,H3,SK,S10;H6,H4,H8,HQ;CK,H7,H10,H5;SA,H2,H9,HA;CA,HK,D5,HJ"
1569982573,1,0,2,"C8,C3,CK,C2;C10,C5,C7,C4;S8,S5,S6,SJ;D2,D10,DJ,D3;D8,D4,D7,D6;CA,CJ,S10,CQ;D5,D9,DA,DQ;SK,DK,S4,S3;S2,C6,SQ,S9;H2,HJ,H10,H7;HK,H3,HA,H4;C9,H5,H8,SA;H6,H9,HQ,S7"
1569982573,1,17,2,"C5,CQ,C8,C2;SK,S10,S5,SJ;S2,S8,S6,S9;D4,DK,D9,D10;SQ,S7,S3,S4;C10,C4,CK,CA;D3,D5,DJ,D6;C3,DA,C6,DQ;D7,H2,D8,D2;C7,H9,HK,H7;CJ,H8,HJ,H6;H3,HA,H10,H4;H5,HQ,SA,C9"
1569982573,1,4,2,"C7,C9,CA,C2;S8,S5,SA,SQ;D7,D3,DQ,D10;C4,D9,C5,CJ;S10,S9,SJ,S6;S3,S4,D5,S2;CQ,C3,DJ,C8;C10,D2,DA,CK;D8,D4,DK,D6;H5,H6,H9,HJ;H3,H7,HK,H8;C6,HA,H10,H2;S7,SK,HQ,H4"
1569982573,1,5,2,"C8,CQ,CK,C2;D5,DA,D2,D6;C5,S10,C6,C4;S7,S4,S8,SK;D7,D8,DQ,D9;S6,S2,D10,SA;C7,S9,CJ,C3;S3,SQ,DK,CA;D3,SJ,C9,D4;H4,H5,H10,HK;H6,HJ,H8,H2;H7,H9,HQ,H3;HA,S5,DJ,C10"
1569982573,1,13,2,"C4,CQ,CJ,C2;SA,S2,S5,SK;SJ,S8,SQ,S4;D9,D2,D8,D5;S6,S3,D7,S7;C8,C7,C3,C10;C9,C5,CA,S9;D4,DK,DQ,D10;C6,CK,D6,D3;H4,H3,H7,H6;DA,H2,HQ,HK;DJ,H5,HA,H9;S10,HJ,H10,H8"
1569982573,1,0,2,"C4,C5,C9,C2;SQ,S5,S8,SK;DJ,DQ,DA,D10;C7,C8,CA,SJ;D3,DK,D8,D5;CJ,C10,D9,S3;CQ,C3,S4,S7;CK,C6,D4,S2;H10,H8,H6,H9;H3,H5,SA,HJ;H2,S6,S10,H7;HA,S9,D6,H4;HQ,D2,D7,HK"
1569982573,1,0,2,"C4,CQ,C3,C2;C10,D2,C8,C6;C5,S5,CJ,CK;SQ,S8,S10,S4;DK,D3,D10,D4;SA,S3,S2,D6;D7,DQ,D5,D8;D9,SJ,S9,DJ;CA,C9,HK,H8;H10,H7,H2,HA;H5,C7,H4,H9;HJ,S7,SK,H6;H3,S6,DA,HQ"
