1569982584,1,0,0,"CA,C10,C5,C2;S9,S4,S6,S10;D6,DQ,D2,D5;D8,D3,CJ,D10;D4,SQ,DA,CK;SA,S7,C3,SJ;D9,C6,C7,DK;S2,S8,S5,C8;D7,C4,CQ,DJ;SK,H5,S3,C9;HA,H6,H2,H10;HK,H7,H3,H4;H8,HJ,HQ,H9"
1569982584,1,4,0,"C7,C3,C10,C2;S5,SA,S10,S3;SK,SJ,S8,S6;C5,DJ,C6,C9;DA,D9,DK,DQ;D6,D7,D5,D10;SQ,S2,D8,S7;S4,D2,C4,CA;CJ,HJ,CK,D4;H8,HK,H7,H2;H6,HQ,H5,HA;S9,H3,H10,CQ;D3,H4,H9,C8"
1569982584,1,8,0,"CK,C9,C4,C2;C3,C6,C10,C7;S6,S10,S9,SJ;D7,D3,D8,DQ;S4,S8,SQ,S5;D9,D6,C8,DJ;CJ,D2,C5,SA;CA,S2,D4,S3;DA,D10,DK,H7;H8,H4,H2,HJ;H10,HA,H9,HK;S7,H5,D5,HQ;SK,H3,CQ,H6"
1569982584,1,0,0,"CK,C5,C7,C2;CJ,CQ,C4,C8;D4,DJ,DK,D5;SQ,S3,S4,S6;S8,S7,C6,SA;D9,D10,D2,DQ;CA,D6,C9,C3;DA,D7,D8,S5;H5,H2,H7,H10;HA,H3,H6,HQ;H8,SJ,H9,H4;D3,S2,HK,S9;C10,S10,HJ,SK"
1569982584,1,4,0,"CJ,C5,C8,C2;DA,D2,D4,DQ;D3,D8,D5,D10;S10,S5,SQ,S7;S4,SK,D9,S6;C6,C9,C7,C3;CQ,C4,CK,C10;S8,D6,SJ,S9;DK,DJ,S2,D7;CA,H3,H9,HA;H4,H7,H10,H6;H8,H2,HQ,SA;HK,HJ,H5,S3"
1569982584,1,0,0,"C10,C6,C3,C2;SA,S5,S9,S3;D5,D7,D6,DK;C8,CQ,CK,CA;C5,C9,CJ,C7;SQ,SK,S10,SJ;S6,S2,S8,S4;D2,D9,D3,D4;C4,S7,D8,DA;DQ,H9,HQ,H6;HA,H4,HJ,H2;DJ,H3,HK,H8;D10,H7,H5,H10"
1569982584,1,2,0,"C8,C7,C4,C2;SJ,S4,S9,SA;D3,D4,DQ,DA;SK,S6,S10,S8;S7,S5,DK,SQ;CK,C5,CJ,C10;C9,CA,D5,D8;D9,D10,D6,S2;D7,D2,H4,HJ;H9,H10,H2,H5;HK,C3,H8,HQ;H6,C6,H3,HA;H7,CQ,DJ,S3"
1569982584,1,13,0,"C4,CK,CQ,C2;D2,DJ,D7,D3;S10,S3,S4,S8;SA,S5,S2,S9;SK,SQ,S7,SJ;C7,CJ,C9,CA;D4,D6,D10,DK;S6,D8,D5,DQ;H2,HJ,H4,H8;C10,C6,C8,H7;HK,H9,HA,H10;H6,HQ,DA,H3;D9,C5,C3,H5"
1569982584,1,21,0,"CA,CK,CJ,C2;DQ,S3,DK,D9;SQ,SA,S7,SJ;S6,S9,C8,S4;C4,C3,C9,C6;D6,C5,D10,D4;S8,C10,CQ,D8;S5,D7,C7,D3;SK,H4,H5,H10;HK,D5,H6,HQ;S2,DA,H3,H2;H7,D2,H8,H9;HA,DJ,HJ,S10"
1569982584,1,5,0,"CK,CA,C4,C2;DJ,D3,D4,D2;S6,S3,S5,S8;C9,C6,C8,C7;D8,DK,D10,D7;DA,S9,D5,SQ;S10,SK,SA,SJ;CQ,C5,C3,CJ;S4,HK,S2,H6;H4,HJ,H5,HQ;H2,H9,S7,H10;H8,H7,D9,D6;H3,HA,C10,DQ"
1569982584,1,13,0,"C9,C5,C7,C2;S2,S5,S7,S8;D4,D5,D7,D9;S4,SK,S9,SJ;S3,D10,C8,S10;SA,DQ,CK,D8;SQ,D2,DA,CA;C4,CJ,C10,C6;DJ,H6,H8,DK;HQ,H9,H5,H3;HJ,H2,H7,H4;HA,C3,H10,CQ;D3,S6,HK,D6"
1569982584,1,5,0,"CQ,C5,CJ,C2;SA,S9,SQ,SK;C4,CA,C10,C8;S3,S10,S8,S2;D10,DJ,D4,DQ;S4,SJ,S5,DA;D3,D6,C7,D9;D5,D2,D8,H2;HA,H10,HQ,H6;H7,H3,H8,HJ;HK,H5,S6,C6;H4,CK,S7,C3;H9,DK,C9,D7"
1569982584,1,13,0,"CQ,CK,C9,C2;S6,S9,S10,S2;DQ,D3,DJ,D5;S5,S7,SA,S4;DK,C4,D8,D6;D7,SJ,DA,D4;S8,SQ,SK,C8;D10,CA,C10,CJ;C5,S3,C7,H9;HK,H8,H10,H6;HJ,HA,C6,H5;H3,H7,D2,H2;C3,HQ,D9,H4"
