1570031188,1,0,2,"CJ,CQ,CK,C2;D4,D2,DA,D5;S9,S2,S8,S3;D7,DQ,C6,D6;D9,S6,DK,C7;D8,SA,SK,C3;S5,SQ,S10,SJ;CA,C5,C8,C4;C9,S4,S7,D10;C10,H5,H7,D3;HJ,HK,H4,H9;HA,HQ,H10,H2;H6,H3,H8,DJ"
1570031188,1,11,2,"C10,CA,CK,C2;C4,C9,D2,C8;DK,D4,D3,D5;S7,SQ,SA,S9;DA,D8,D9,DJ;CQ,S4,CJ,C3;S10,SJ,D7,S2;S6,C7,S8,S3;SK,D10,D6,C6;C5,HA,DQ,H2;H4,H7,H9,HJ;HK,HQ,H10,H6;H8,H5,S5,H3"
1570031188,1,0,2,"C3,C9,CA,C2;S6,S4,S10,S5;C5,DQ,C10,CJ;S7,SA,S3,S9;C6,S8,C8,D10;CK,SQ,C7,D9;D2,DJ,D7,D5;SK,C4,D6,SJ;S2,D4,DA,D3;H6,HA,H5,H7;H4,HK,HJ,H3;HQ,H8,H9,DK;CQ,H10,H2,D8"
1570031188,1,5,2,"C9,C5,CA,C2;D3,SJ,D8,DA;CQ,CJ,C3,S5;C6,C10,C8,D9;S3,SA,SQ,S10;D7,DQ,S7,D6;S2,C7,S6,S9;S8,D10,C4,SK;HJ,H3,HQ,H7;H6,H4,H2,HK;S4,D4,H9,H10;D5,DJ,HA,DK;H5,CK,H8,D2"
1570031188,1,12,2,"C8,C4,C3,C2;SA,S6,SJ,S10;CK,C7,C5,CA;C6,S2,C9,CJ;D2,D8,DK,D10;S4,S8,S7,S9;SK,S5,D7,S3;D9,DA,D4,SQ;DQ,D5,D6,HK;H2,H8,H10,H7;C10,H6,HA,H5;CQ,H4,H9,H3;DJ,D3,HQ,HJ"
1570031188,1,3,2,"C10,CK,C6,C2;D4,D6,D2,D8;C3,C4,CJ,CQ;S5,S8,S6,S10;DK,DQ,DA,DJ;S4,SQ,S3,D3;SK,S7,S9,C7;D10,D5,CA,D7;S2,SJ,SA,H7;C8,C5,H4,HA;H2,H5,H10,H3;H9,HK,HQ,HJ;D9,C9,H8,H6"
1570031188,1,3,2,"C5,CA,C4,C2;C10,C9,CJ,C7;D5,DJ,D10,DA;C3,CQ,C8,C6;S5,S9,S3,S10;D9,D2,CK,D7;D6,DK,S7,D4;S6,S4,SQ,S8;SA,S2,SJ,SK;D3,H5,H7,H10;H9,HQ,H6,H4;H2,DQ,HA,H8;HJ,D8,H3,HK"
1570031188,1,24,2,"C10,C4,CA,C2;SK,S9,S2,SA;CQ,C8,C6,C7;S8,S6,SQ,DQ;D8,D3,D9,D2;S4,SJ,S5,D7;C5,C3,DJ,DK;D6,DA,D5,H6;CJ,CK,D10,HQ;H4,HK,H7,H3;D4,HJ,C9,H5;HA,S3,H9,H2;H10,S7,S10,H8"
1570031188,1,9,2,"CJ,C10,CQ,C2;D3,D5,DQ,DA;C5,CK,SA,D7;SK,S3,S2,S6;S10,S4,S5,SQ;C9,D9,D10,C6;DJ,DK,D4,D2;D6,C7,D8,CA;S7,S9,C4,S8;HJ,HA,H3,H8;HQ,HK,H5,H9;H10,H7,C3,H2;H6,C8,SJ,H4"
1570031188,1,3,2,"CQ,CA,C4,C2;S10,SA,SK,SJ;C6,C5,C10,C3;D3,D6,D4,D10;S2,S9,S5,SQ;D5,CK,DJ,DA;D2,C7,D9,D8;CJ,C8,S7,DQ;H7,H6,H3,HQ;D7,H5,S4,HJ;HA,C9,H2,H10;DK,S6,S3,H8;H9,S8,H4,HK"
1570031188,1,17,2,"CK,C4,C10,C2;D10,D8,DJ,D2;C7,CA,C5,D5;S7,SJ,SQ,S10;SK,S8,S3,SA;S6,S2,D6,S4;S5,C6,D3,D9;C8,CQ,DK,D7;CJ,H5,C3,DQ;H9,H3,H2,HJ;HK,HQ,H7,HA;H10,H8,S9,H4;C9,H6,D4,DA"
