1570124958,1,15,0,"C3,C8,C7,C2;SK,S3,SJ,S5;D7,DJ,D4,D9;D2,DQ,CJ,D10;C4,C6,CA,C5;S4,S8,S10,SQ;CK,CQ,C9,C10;DK,H10,D5,DA;S2,H9,S9,SA;HQ,H6,H2,HA;S6,HK,H5,H7;S7,H3,D8,H8;H4,D6,D3,HJ"
1570124958,1,4,0,"C7,C3,C9,C2;D9,D7,DA,D2;S3,SK,S4,S7;SA,SJ,S5,S8;D6,D4,DJ,DQ;SQ,CJ,S2,S6;C5,DK,CA,C10;C6,H3,D8,CK;D5,C8,D3,D10;H8,H9,H5,HQ;S10,HA,S9,CQ;H7,H6,H2,H10;H4,HJ,HK,C4"
1570124958,1,19,0,"C10,C8,CJ,C2;S7,S4,SK,S6;DQ,D9,DK,DA;S2,S10,S9,S5;C5,CQ,D7,C4;SQ,H7,SJ,CA;H9,HJ,HA,H8;HK,H6,H3,D5;D6,S3,D4,DJ;D3,D8,CK,D10;H4,C9,H10,HQ;H5,D2,C7,H2;SA,C6,C3,S8"
1570124958,1,0,0,"C8,C10,CK,C2;D9,D5,D7,DQ;DJ,D10,D8,D6;S9,S10,SA,S6;C9,H7,CA,CQ;H3,HA,HK,HJ;CJ,C3,H5,C4;DA,D2,DK,D4;C6,C7,SK,C5;H4,HQ,H9,H8;H6,H2,S5,S7;H10,D3,SQ,S8;S4,SJ,S2,S3"
1570124958,1,21,0,"C3,C5,CA,C2;CK,C8,S6,C7;S3,SK,S9,SQ;S4,S10,S8,SJ;D2,D9,DK,D8;SA,H5,D5,S2;HQ,H8,HA,H7;CQ,C6,C9,HJ;D7,D6,DJ,DQ;H3,H9,HK,H10;C4,H2,CJ,H6;D3,C10,S5,DA;D4,D10,H4,S7"
1570124958,1,1,0,"C5,C4,C7,C2;D8,D6,D5,DQ;S6,SK,S5,S3;C8,CJ,C6,C10;CK,CQ,C3,H4;SJ,S9,SA,S7;DK,S8,D10,D9;D4,HQ,D7,D3;HA,H6,HK,H5;DJ,D2,S2,H8;HJ,DA,H10,H7;C9,CA,S10,H9;S4,H3,H2,SQ"
1570124958,1,0,0,"C4,CJ,C7,C2;SK,SJ,S9,S6;SQ,C8,S7,S8;D2,D4,D8,DJ;C6,C3,H3,CQ;H4,HK,H6,H9;H7,H5,CA,H2;S2,S3,SA,HJ;DA,D10,DK,D6;C5,S5,C10,HQ;HA,CK,S10,H8;H10,D5,DQ,D9;C9,S4,D3,D7"
1570124958,1,0,0,"C8,C3,C10,C2;DQ,D4,D3,D2;CQ,CJ,H8,C5;HA,H7,H6,HQ;H9,SA,H10,H4;D9,DA,D5,DK;CA,S6,C6,C7;SK,S9,S2,S3;D7,D6,DJ,S7;S10,S4,D10,SQ;H5,SJ,HJ,H2;CK,C4,S5,HK;C9,H3,S8,D8"
1570124958,1,0,0,"C8,C5,C3,C2;S4,SQ,SK,S7;S8,S10,SA,S3;D4,DK,DJ,D3;C7,CK,C6,CQ;D2,D7,DQ,D5;S9,SJ,H6,HJ;D8,D6,C10,D10;H10,H8,H4,H5;C9,C4,HQ,H7;CA,HA,S6,H9;CJ,D9,HK,H2;DA,S2,S5,H3"
1570124958,1,0,0,"C5,C3,CJ,C2;DA,DK,DQ,D5;S7,S9,S6,S5;DJ,D3,D7,D8;D6,CK,D2,D9;S8,S10,SA,SK;S3,S2,H6,S4;C4,C7,C10,C8;SJ,C6,HK,D4;HQ,H4,H5,HA;C9,SQ,CQ,H9;H7,CA,HJ,H2;H10,H8,D10,H3"
1570124958,1,0,0,"CQ,C10,CK,C2;D7,DA,D6,D10;D2,DK,DJ,D3;S9,SQ,S7,S4;S6,S8,S5,H2;D5,C6,D4,D8;HJ,HA,HK,H4;C4,CJ,C7,C5;H8,S2,H5,H7;DQ,D9,H6,SJ;CA,SA,C9,HQ;C8,S3,H9,SK;C3,S10,H3,H10"
1570124958,1,0,0,"CA,CJ,C3,C2;S8,S4,SK,S7;S9,SA,SQ,SJ;D6,DJ,D9,DA;D10,D7,D8,D2;S10,S2,S6,S5;D3,DK,D5,HA;H9,H7,H3,H8;HK,CK,H5,HQ;C7,C8,H6,CQ;S3,C6,DQ,H4;C10,C4,C9,D4;H10,H2,C5,HJ"
