1570124970,1,5,0,"C8,C9,C5,C2;S5,SA,S2,S8;D9,D3,D2,D10;CK,C3,H2,CA;HK,HJ,H10,H9;H8,HA,H4,H7;HQ,H6,SQ,H5;DK,S6,D6,D4;DJ,H3,DQ,DA;S7,S4,S3,CJ;S10,D7,SJ,C6;C7,S9,D5,C10;C4,CQ,SK,D8"
1570124970,1,2,0,"C8,CK,C10,C2;SK,S2,S6,S10;SQ,S8,D7,S7;CJ,C5,C3,C4;S9,S3,DQ,S4;DJ,D6,D3,D4;D8,D10,CA,D9;C6,C7,C9,CQ;DK,H9,D5,H2;S5,SJ,SA,HQ;H10,H8,HK,HA;H4,H5,H3,H6;H7,HJ,DA,D2"
1570124970,1,1,0,"CA,CQ,C10,C2;D4,D3,DK,DA;S10,S9,SJ,SQ;S5,S7,S2,S4;C8,H3,C9,CK;C5,C3,SK,C6;H10,H9,H7,H4;C7,C4,D2,S8;D8,HK,DJ,D6;HQ,H8,HA,H2;CJ,DQ,H6,D9;SA,H5,HJ,S3;S6,D7,D5,D10"
1570124970,1,6,0,"C4,CK,CJ,C2;S6,S3,SJ,SQ;CA,C8,C5,C6;DK,D10,D6,D8;D3,D7,D4,S8;S2,S9,S10,S4;C3,H6,D5,C7;C10,C9,H10,S7;CQ,D9,D2,H9;H8,HJ,H4,H2;S5,H3,SA,DA;DJ,SK,H7,HQ;DQ,HK,H5,HA"
1570124970,1,17,0,"C10,C4,C9,C2;SJ,S5,S9,SQ;SK,S10,S7,CK;D8,DK,DA,D9;DQ,D4,DJ,D5;S6,S2,S8,D2;CA,H7,C8,C5;HJ,H2,HA,H9;H3,H5,H6,H8;C6,C3,H10,SA;C7,HQ,HK,S4;CJ,S3,D3,D7;CQ,D6,H4,D10"
1570124970,1,0,0,"C10,CA,CQ,C2;C7,CK,CJ,C6;S2,S9,S8,SJ;D2,D10,D9,DK;C3,C4,C5,C9;D7,DQ,D3,D4;SQ,S5,SA,S7;D8,D6,DA,S3;S6,SK,H10,S10;D5,H3,H6,HK;DJ,H9,H2,H7;HQ,H5,HA,HJ;H4,C8,S4,H8"
1570124970,1,5,0,"C4,C10,CA,C2;D3,D10,DA,DQ;S7,S2,SJ,S5;CJ,C8,C6,C7;C9,C5,C3,H8;CK,CQ,DK,S3;SA,SK,S10,S6;D4,D5,D7,D2;S4,S8,S9,SQ;H3,H2,H7,H4;D6,DJ,D9,D8;H6,H5,H9,H10;HA,HK,HQ,HJ"
1570124970,1,4,0,"C5,C3,C7,C2;D3,DJ,DK,D10;DQ,D4,D7,D8;S7,SJ,D5,SQ;C4,C6,CA,C8;S3,S6,S4,C9;S10,S2,S8,CK;SA,H6,S5,DA;HA,HK,H8,H10;H3,HJ,H5,H9;D2,D9,D6,C10;CJ,HQ,S9,CQ;H2,H7,H4,SK"
1570124970,1,9,0,"C7,C5,CQ,C2;D7,DA,D6,D2;S4,S10,SA,SJ;S5,SK,S2,SQ;CJ,C9,CA,C10;DQ,D3,H5,D5;D8,D4,H9,D9;S8,DK,S3,S6;C8,C4,C6,HK;HQ,HJ,H4,H6;S9,H3,S7,H7;DJ,D10,CK,H8;H10,H2,C3,HA"
1570124970,1,9,0,"C4,CK,C10,C2;SQ,S9,SK,SJ;CJ,C7,CA,C8;D8,D6,DK,D9;S3,S2,S6,SA;C6,S8,C9,C5;C3,H6,H8,CQ;D10,DJ,HJ,D3;H4,H7,H3,HQ;HK,H10,H5,H2;S7,H9,DA,S5;S10,D2,D7,S4;D4,D5,DQ,HA"
1570124970,1,2,0,"C5,C6,C4,C2;D5,DA,DJ,D10;CA,C8,C9,C10;S5,S6,S8,SA;S10,S9,HA,SJ;H5,HJ,H7,H4;CK,C7,S2,D4;CJ,C3,D9,D7;DK,D8,DQ,D6;SK,S7,S4,H2;CQ,H10,H8,HQ;SQ,H9,S3,H3;D2,HK,H6,D3"
1570124970,1,3,0,"C10,C8,C6,C2;S7,SJ,S4,S9;D9,D5,D6,DQ;SK,SA,SQ,H6;S6,S2,S10,D3;HJ,DA,H10,H7;H5,C5,H4,HK;C4,H3,CA,C7;CK,C9,S3,C3;CQ,CJ,H2,D4;D7,D10,H8,DK;S5,DJ,HA,HQ;S8,D2,D8,H9"
