1570124971,1,2,3,"C6,CK,C10,C2;D8,DK,D2,D6;C8,C7,CA,C3;C5,C4,SK,CJ;S4,S10,S9,SA;S8,S7,SJ,D3;C9,H9,CQ,H4;H6,HJ,DJ,H2;HK,H8,S5,H7;H3,H5,DA,HA;D7,D4,D5,S6;DQ,HQ,D9,SQ;H10,S2,D10,S3"
1570124971,1,25,3,"C8,CA,C5,C2;SJ,SK,S4,S9;S10,S2,H2,SA;DA,D5,D6,D2;DK,D7,D8,DQ;D3,S3,D10,DJ;C4,C9,C6,CK;S8,CJ,H3,H9;S5,HQ,H5,HA;SQ,D9,D4,H8;S7,HK,H7,CQ;HJ,H6,H10,C7;S6,C3,H4,C10"
1570124971,1,14,3,"C10,C6,C7,C2;S6,DQ,S2,S10;SK,S8,D6,S3;D7,D8,D5,DA;CQ,H3,C5,C9;CA,H9,C3,CK;C8,D2,SJ,C4;S7,S4,SA,CJ;H4,H10,H7,HK;D3,DJ,D4,D9;S5,DK,HQ,SQ;H2,H5,HJ,H6;D10,H8,S9,HA"
1570124971,1,0,3,"C7,CQ,C8,C2;SJ,S10,S2,S5;D8,D9,DK,D6;CK,C4,C3,HA;C9,C5,C6,D10;S7,S6,SK,S9;D4,H4,D7,D5;CA,SA,CJ,H3;HQ,H7,HK,H5;HJ,H2,H10,H9;H8,D3,DQ,S4;S3,C10,S8,DJ;SQ,H6,D2,DA"
1570124971,1,4,3,"C10,CQ,CK,C2;S5,S7,S10,S6;SA,SJ,S9,S8;CJ,HK,CA,C7;DK,D10,D7,DJ;D8,D9,DA,D2;SK,C9,S4,S2;SQ,H4,H7,C4;H9,HJ,H3,HQ;D4,D6,D3,H2;S3,C6,H5,HA;H10,C5,D5,H8;H6,C3,DQ,C8"
1570124971,1,5,3,"CQ,C5,CA,C2;D10,DK,D2,D7;DQ,D9,D3,DJ;S3,S7,S5,S4;CJ,C7,SQ,S10;C8,C6,H7,HJ;C10,C9,H4,D8;C3,D4,DA,H3;C4,SK,H9,HK;H10,S2,H2,HA;D6,H6,S6,H8;SJ,CK,SA,S8;S9,D5,HQ,H5"
1570124971,1,5,3,"C7,C5,CJ,C2;C3,CA,CQ,C6;C4,C10,C8,H9;HJ,H3,H2,H4;H10,HK,H8,H6;DQ,D7,D3,D6;S2,SA,S3,SJ;H7,S7,D9,HA;D4,DJ,D10,DK;D5,DA,D8,SK;S6,SQ,H5,S8;S9,S5,D2,S10;S4,C9,HQ,CK"
1570124971,1,14,3,"C7,D10,C8,C2;C3,H9,C4,H2;S2,SK,S7,S4;HK,H3,H4,HJ;CJ,CA,S8,S5;S9,D6,SA,S3;SQ,S10,CQ,S6;SJ,D2,C6,H8;H10,HQ,C5,HA;D9,D5,DJ,DK;C9,DQ,H6,DA;CK,D8,D3,H5;C10,D4,D7,H7"
1570124971,1,7,3,"C5,CA,CJ,C2;D5,D10,S3,D3;DQ,D7,H4,DJ;HJ,H3,H10,HQ;S9,S6,SK,S10;C6,C9,CK,CQ;SQ,S7,S5,S4;D2,DA,D8,C7;C8,H2,D4,C4;C3,H5,H9,S2;H7,DK,HK,H8;H6,C10,SA,HA;S8,D9,D6,SJ"
1570124971,1,6,3,"C3,C9,C6,C2;D10,DQ,D8,DK;S5,S10,SK,S6;D4,D5,DJ,DA;C5,C4,C8,CK;S8,D9,SA,S4;S3,SJ,C10,SQ;CA,CJ,H8,C7;H2,HJ,H10,HQ;D7,H3,D6,D2;D3,HK,S7,S2;H5,H7,HA,H9;H6,CQ,H4,S9"
1570124971,1,1,3,"CA,C8,C7,C2;D2,DQ,D6,D3;SQ,S4,SK,S9;C5,HK,C4,C3;D9,DA,D8,D10;D7,D5,DJ,H5;H9,H6,HQ,C6;S6,S10,SJ,S3;S8,S7,S2,S5;H8,H4,H3,CK;H7,HJ,H10,CQ;C10,H2,D4,CJ;C9,SA,HA,DK"
