1570124974,1,11,3,"C6,CA,C9,C2;SA,SQ,S9,S10;SK,S7,D5,SJ;S6,S4,DJ,S3;S2,S5,C4,HA;HK,H10,HJ,H7;C7,C8,CQ,C5;D7,CJ,DQ,D4;S8,CK,H9,DK;D8,D6,H5,D3;H2,DA,HQ,H6;H4,H3,D10,D9;H8,C10,C3,D2"
1570124974,1,2,3,"C4,C6,C3,C2;D9,D5,DJ,DQ;S4,SJ,S8,S3;SA,S5,SK,S10;D10,H9,D8,D7;D3,S2,C9,D6;DA,D2,H8,HQ;C5,CK,HJ,C7;SQ,S6,S7,H10;D4,H3,H6,HA;S9,C10,H5,C8;DK,H2,H7,CQ;HK,CA,H4,CJ"
1570124974,1,8,3,"C7,CK,C5,C2;D3,D6,D8,DA;C4,C8,D4,CJ;S8,SQ,S2,S5;DJ,DQ,D9,D10;S7,S9,S4,S10;DK,D2,H5,D7;HK,HQ,H4,H9;HA,H2,H10,C3;H7,CQ,H8,CA;H6,H3,C6,S3;S6,HJ,SK,C9;SA,SJ,D5,C10"
1570124974,1,1,3,"C3,CQ,C4,C2;DJ,DA,D2,D6;S6,SQ,S3,SJ;SK,S7,S9,S2;C9,CA,C7,C8;D10,H6,D7,D5;D8,C5,D4,S4;D9,C10,DK,CK;CJ,HQ,C6,H9;S5,S8,H5,SA;HJ,HA,H10,H3;S10,H7,D3,H4;H2,HK,DQ,H8"
1570124974,1,14,3,"C5,CA,C3,C2;C4,C7,C10,C6;CJ,CK,D8,C8;C9,CQ,H7,SA;DQ,DJ,D2,D5;S4,S7,S6,S5;S3,S9,SK,SJ;D9,D6,D7,D4;D10,DA,D3,HQ;S2,HA,S10,SQ;HJ,H8,H4,HK;H10,H5,H6,H2;H3,S8,H9,DK"
1570124974,1,2,3,"C5,C6,CK,C2;D9,D7,DK,D2;S8,SA,S3,SJ;D10,D4,D3,D6;CA,C8,CQ,C10;C7,HA,C4,S6;CJ,SK,C3,S9;D8,DJ,D5,HK;S2,H7,S4,S7;H4,HQ,H6,H5;H8,H3,HJ,H9;C9,DQ,DA,SQ;H2,S5,S10,H10"
1570124974,1,1,3,"C3,CA,C7,C2;D3,DA,D4,D9;S2,S6,SQ,S5;DJ,D7,D5,DQ;SA,CJ,S7,SK;C10,H7,CQ,CK;C8,C9,H9,C6;S8,S4,DK,C5;S10,S9,H8,D8;HA,H5,H10,H3;SJ,D6,HK,D10;H4,HJ,HQ,H6;H2,S3,C4,D2"
1570124974,1,1,3,"CK,C8,C7,C2;D2,D10,D6,DQ;SJ,SQ,S4,S3;SA,S5,S8,S9;D8,H5,D5,D9;H3,D4,H7,HK;C3,C9,CJ,C5;S6,S2,S10,S7;C10,DK,CQ,CA;H9,H2,D7,H6;HJ,H4,D3,C6;H10,H8,SK,DA;HA,HQ,DJ,C4"
1570124974,1,7,3,"CQ,CJ,CK,C2;D2,D5,D6,D8;C6,C5,S7,C10;C3,C7,C8,D4;D7,DJ,D3,D9;SK,S4,SJ,S3;C9,CA,H5,S2;H2,H8,HA,HQ;S8,S9,H7,S6;HJ,H9,H4,DA;H3,SQ,HK,DQ;H6,H10,S5,D10;DK,C4,SA,S10"
1570124974,1,3,3,"C9,C4,C7,C2;D8,D5,DA,CQ;D9,D2,H8,H7;S5,S7,SK,S4;C3,C10,H3,C6;D6,S10,D10,HQ;H5,H4,H9,H10;HA,DJ,H2,HK;H6,SA,C8,C5;S6,S9,S8,SQ;CJ,SJ,DQ,S2;CA,S3,D3,D7;CK,HJ,DK,D4"
1570124974,1,1,3,"CJ,C3,CQ,C2;S3,S8,SK,HK;C6,CK,C8,C9;S7,S4,S6,H8;S10,S5,SJ,C7;DK,D3,D4,D7;D6,D9,D2,DQ;H5,H9,H7,HA;D5,CA,DA,D10;H6,H2,H10,SQ;HQ,HJ,S2,S9;H4,H3,D8,DJ;C5,C10,C4,SA"
1570124974,1,4,3,"C9,C8,CJ,C2;SJ,S9,S10,SK;D3,DA,D10,D4;D7,D8,DQ,D6;SA,S4,S8,CQ;SQ,CK,S7,C7;S2,C3,S3,C4;S5,S6,H5,H8;DJ,D9,D5,H7;DK,HQ,CA,C5;C6,HK,HJ,C10;H6,H2,H10,HA;H4,H9,D2,H3"
