1570124985,1,1,3,"C8,C10,CJ,C2;DJ,D7,DQ,D4;C4,CA,C3,CQ;DK,D9,D10,SA;SK,S9,S10,S4;D3,DA,D6,HA;H9,HQ,H4,H3;H7,HK,HJ,H5;S6,S3,S2,S8;H2,H10,H8,S5;SQ,C7,S7,SJ;C9,CK,D8,C5;H6,D2,D5,C6"
1570124985,1,19,3,"C5,C10,CK,C2;C6,CJ,H4,C9;S5,S10,S6,S7;C8,CQ,D6,C4;SK,S9,S3,S8;C3,C7,D8,H2;D7,DQ,DA,D10;SA,S2,SJ,S4;D9,D5,DK,DJ;HA,HQ,H8,H3;H6,H7,H5,HJ;SQ,HK,H9,CA;D2,H10,D4,D3"
1570124985,1,0,3,"C5,C7,C3,C2;SK,S7,S10,S9;D2,D3,DK,D6;C10,D7,C8,CA;D9,DQ,D5,DJ;C6,CJ,S4,C4;DA,D4,S2,D10;SA,SQ,S8,S3;S5,SJ,S6,HK;CK,H6,HJ,H8;CQ,H10,H9,H4;HA,H2,H7,HQ;C9,D8,H3,H5"
1570124985,1,8,3,"CJ,CQ,C8,C2;S2,S3,S8,S7;SJ,SA,S4,D3;D7,D5,D8,D4;C4,S6,C6,CA;D6,D2,D10,DJ;CK,C9,C3,DQ;S10,S9,HK,SQ;H4,H7,H2,HJ;C10,HA,C7,D9;DK,H10,S5,DA;HQ,H6,H8,SK;H5,H9,H3,C5"
1570124985,1,0,3,"C6,C5,C4,C2;SK,S5,S7,S4;C10,C9,C3,C8;S10,S2,SA,S3;DQ,D5,D6,D7;H3,HK,HQ,DA;SJ,HJ,C7,S9;H4,H9,D8,H5;HA,H10,CQ,D10;H6,S6,CA,D4;H8,DK,DJ,CJ;H7,D9,SQ,D2;H2,S8,CK,D3"
1570124985,1,6,3,"C4,CK,C5,C2;D4,DJ,D2,D6;D10,DQ,D5,D9;SK,S3,S9,S4;S10,H3,S5,S2;HA,H7,H9,H10;H5,HK,C7,H4;D8,C8,D3,H2;CQ,CA,C3,C10;SJ,CJ,S8,S6;S7,H6,D7,SQ;C9,C6,HQ,DK;H8,SA,HJ,DA"
1570124985,1,5,3,"C7,C3,CK,C2;S7,S5,SK,SA;C9,H3,C8,CA;H6,HK,HJ,H10;C10,S4,S10,CQ;C4,H5,D9,S9;DJ,D10,DK,D4;D8,D3,DQ,H8;D7,D5,SJ,S8;D6,D2,CJ,S2;H9,HA,SQ,H2;DA,H7,C6,S3;HQ,H4,C5,S6"
1570124985,1,0,3,"C7,C9,C6,C2;S6,S10,SA,S2;D4,D8,D3,D2;DK,D6,DA,D10;DJ,D7,DQ,D9;C5,CQ,CK,C8;SQ,SK,S4,S5;C4,CJ,CA,H2;HA,HQ,H3,H5;H6,HK,S7,H7;C10,S8,D5,H8;H9,HJ,S9,H10;SJ,C3,S3,H4"
1570124985,1,8,3,"C4,C9,C8,C2;C6,C7,CK,C3;S4,S8,S6,S2;D3,D7,DJ,D9;SK,SQ,S7,S3;C10,CQ,CJ,DA;D4,D5,D10,D2;SJ,DQ,H8,SA;HA,H7,HQ,H2;H6,H10,H4,HK;C5,DK,CA,HJ;S9,H9,S10,D8;H5,S5,H3,D6"
1570124985,1,0,3,"CA,C9,C7,C2;C4,C10,C8,C6;DJ,D2,D7,C3;CK,SQ,S10,CJ;C5,S9,D8,S2;CQ,DQ,S4,S8;DA,DK,D4,S3;H6,HQ,HJ,H9;S7,H4,SJ,SK;S6,D6,H10,H3;SA,D5,HA,D3;S5,D10,H8,H5;H7,D9,HK,H2"
1570124985,1,0,3,"C9,C6,CK,C2;D8,D10,DJ,DQ;C8,C5,C10,C3;C4,C7,DA,CJ;SA,S3,S10,S4;DK,D3,D6,D4;S5,SJ,SQ,S2;SK,S7,D5,H6;S9,S8,H8,H4;H3,H2,H10,HK;D9,HQ,CA,D7;H9,HA,H5,HJ;S6,H7,CQ,D2"
1570124985,1,0,3,"C4,CK,CJ,C2;S6,C3,S3,S9;S10,S4,D8,SQ;D6,D3,D5,D7;C10,CQ,CA,SJ;S7,C9,H5,SK;D2,DQ,D10,D9;HK,HQ,H8,HA;C5,SA,S2,C6;H6,H10,H7,HJ;DK,D4,DA,S5;H3,S8,H9,H4;C8,C7,DJ,H2"
1570124985,1,4,3,"CK,C7,C5,C2;C8,CJ,C9,C6;CQ,C10,D3,CA;S5,S9,SJ,SA;S7,SQ,S2,S6;S4,S8,SK,S3;DA,D4,D9,D10;DK,D7,DQ,DJ;D2,D8,D5,C4;C3,HK,D6,S10;HJ,H8,H6,H7;H2,HA,H3,H5;H9,H4,HQ,H10"
1570124985,1,6,3,"CJ,CK,C9,C2;S5,SK,S2,S3;D10,D3,DQ,DJ;S8,S10,S9,S7;S4,S6,DK,SQ;C10,CQ,C8,C6;C7,D9,C4,C3;SA,HQ,SJ,H2;HA,H8,HK,H5;H3,HJ,H9,H4;D8,H7,DA,D7;C5,D5,H6,D2;CA,D4,H10,D6"
