1570124989,1,4,3,"C4,CJ,C10,C2;SK,S5,SJ,S2;CA,DJ,C5,C7;S9,SA,S8,S7;DK,D6,D10,D8;DA,D3,D5,D9;D4,DQ,D2,HQ;H8,H9,H5,H7;H3,H10,H4,H2;CK,H6,D7,C3;C8,SQ,S3,C9;S10,S6,S4,HA;CQ,C6,HJ,HK"
1570124989,1,1,3,"C8,CK,CA,C2;S10,SQ,S4,S7;C3,C6,C5,CJ;D6,DJ,D10,D5;CQ,C4,C9,D3;SJ,S9,SA,SK;S8,H6,S2,S5;D2,D8,DK,D4;D7,DQ,H9,DA;H3,HA,H5,HJ;S3,S6,H10,C10;H8,HK,H2,H7;HQ,H4,D9,C7"
1570124989,1,6,3,"C5,CA,C9,C2;DJ,D2,D4,D6;C3,C4,CK,CQ;D9,D8,D3,D7;DK,DA,S5,D5;C6,HJ,C8,HK;H10,H5,H8,H9;SJ,SQ,S8,S9;HA,H3,SK,HQ;D10,S6,DQ,H6;S4,C10,S2,S3;S10,C7,S7,H7;SA,CJ,H2,H4"
1570124989,1,17,3,"C10,CJ,C7,C2;D6,D3,DQ,D4;SK,S6,S4,S7;C9,CK,S3,C6;D10,D5,D9,D2;S9,S8,S2,SA;SQ,H6,H9,H7;S10,H5,C8,D7;H3,HK,HJ,H10;DJ,H2,HQ,D8;CQ,HA,C3,H4;CA,S5,C5,DK;C4,SJ,H8,DA"
1570124989,1,6,3,"C3,C4,CA,C2;CK,C10,CQ,C7;D8,DK,D4,D6;D3,DQ,DJ,D9;S5,S8,S3,S6;D10,DA,D5,C8;C9,CJ,HQ,HJ;SQ,SA,S7,S10;C6,S9,SK,SJ;C5,D2,S2,H8;HK,H4,H10,H7;H2,H9,HA,H6;S4,H5,D7,H3"
1570124989,1,0,3,"CQ,C7,C9,C2;C8,CJ,C4,C6;CA,SA,C3,C10;DJ,D4,D8,D7;S10,SJ,S3,HK;D10,D6,H7,DQ;DK,D9,S8,HQ;H3,HA,H10,HJ;H6,H9,H8,S7;H4,H5,SK,S5;D3,D5,CK,SQ;DA,D2,S6,S4;H2,S2,S9,C5"
1570124989,1,8,3,"C8,C5,C3,C2;DK,D2,D9,D4;S9,S2,S7,S6;SQ,S3,SA,D5;C10,H3,C4,CJ;S10,SK,S8,HQ;C6,CQ,D8,CK;H4,H2,H10,H5;H7,HJ,HK,H6;D3,DA,D10,D7;HA,H9,CA,H8;S4,D6,DJ,S5;SJ,DQ,C9,C7"
1570124989,1,16,3,"C5,CA,S7,C2;D2,DJ,D9,D5;S5,SK,S2,S10;S4,S8,SJ,S9;D4,DQ,D8,DA;CJ,CQ,C9,H6;C6,C4,H8,HA;SA,C7,SQ,S6;C10,CK,H2,D3;HK,H5,H7,HJ;DK,D7,D6,H9;C8,H3,S3,H10;C3,D10,H4,HQ"
1570124989,1,14,3,"C7,CJ,C6,C2;D3,D9,DQ,D2;S9,SQ,SJ,S2;C5,C8,C9,C3;C10,CQ,C4,H2;DA,D6,D7,D8;SA,S8,S7,S4;D5,DJ,D10,S6;DK,H4,CK,SK;H10,HJ,HA,HK;CA,S3,H6,S5;HQ,H7,H9,H8;H5,D4,H3,S10"
1570124989,1,4,3,"C10,C3,CQ,C2;SQ,S3,S8,S4;D6,D8,DQ,D5;D2,D4,H6,D9;HK,H7,H5,H3;C8,CA,D10,C6;DK,DA,D7,C5;S7,SA,SJ,S6;CJ,C4,S2,C7;C9,SK,DJ,H10;CK,H4,HJ,H8;H2,HA,H9,S5;S9,HQ,D3,S10"
1570124989,1,0,3,"C5,C10,CA,C2;DJ,D9,DK,D8;S4,SQ,S3,S6;S9,S7,SA,SJ;C4,C8,H6,C7;HA,H8,H4,H7;D5,D4,D2,D10;H9,H10,C3,HJ;H5,H3,HQ,S8;D7,DA,C6,S5;S2,DQ,S10,SK;C9,HK,CJ,CK;H2,CQ,D3,D6"
1570124989,1,7,3,"CQ,CJ,C6,C2;S4,S6,S10,S9;D10,D7,DJ,DA;C4,SQ,CK,C5;DK,D8,D6,C8;SJ,S2,S5,S8;S7,S3,DQ,HK;H5,HA,H4,H7;D5,H10,D4,C10;HJ,H3,HQ,H8;D9,D2,SA,C9;H6,CA,H2,C7;H9,D3,SK,C3"
1570124989,1,18,3,"C6,C4,CJ,C2;D4,DK,DJ,D9;CQ,C3,CA,CK;D5,D7,D10,DA;SK,SJ,S9,S7;D6,D3,D2,DQ;D8,H3,SA,C9;H6,H10,H2,HA;HJ,H9,HK,H7;S8,SQ,S4,S2;C8,C7,S5,S3;C10,C5,S6,H8;H5,HQ,H4,S10"
