1570124994,1,0,0,"C8,C5,C9,C2;CA,C6,CQ,C7;D6,D5,D4,D2;S3,SK,SJ,S9;C10,CK,H3,C3;S10,S6,S4,S2;S8,HK,SA,SQ;DJ,D8,DQ,DA;HA,H10,H5,H9;S5,S7,H7,D7;D3,DK,D9,H2;H4,HQ,HJ,CJ;D10,H8,H6,C4"
1570124994,1,0,0,"C5,C6,CA,C2;D5,DQ,D3,DA;S6,SQ,S5,S7;C3,C8,C7,CK;C10,H9,CJ,C4;H2,S4,HA,H6;HK,H7,C9,HQ;D8,D10,D7,DK;D4,D9,HJ,DJ;S3,S8,H3,S9;SA,SK,SJ,H4;H10,CQ,H5,H8;S2,S10,D6,D2"
1570124994,1,1,0,"C4,C5,CJ,C2;D6,D2,D3,D10;S9,S10,S4,S3;S2,S5,SQ,SK;C7,CQ,C9,C3;SA,S7,C10,S6;SJ,H10,D9,S8;H6,H3,HQ,H7;D4,DQ,DJ,D8;H2,HA,H9,H4;DA,HJ,D5,D7;CA,HK,CK,C6;C8,H5,H8,DK"
1570124994,1,18,0,"C8,C5,C10,C2;D10,DQ,D9,DA;SJ,S8,SA,S7;CQ,CA,C4,CJ;SQ,HQ,S6,S3;S10,C9,S9,S5;CK,C6,H4,D5;S2,H6,HA,SK;D6,D2,DK,D7;C7,D8,H10,H7;HK,H5,H8,H9;H2,D4,HJ,H3;S4,C3,D3,DJ"
1570124994,1,24,0,"C10,C9,CK,C2;DQ,DK,D3,D5;S9,S8,S5,S2;S4,SJ,S7,HJ;C6,CJ,C3,C7;DA,DJ,D2,D8;S3,C8,S6,H6;SK,SA,D6,H9;H7,H2,HA,H3;C4,D7,D10,CA;H5,HQ,H4,H8;C5,HK,D9,D4;CQ,H10,S10,SQ"
1570124994,1,6,0,"C4,CJ,CK,C2;D2,D8,D5,D9;SA,S10,S8,S9;C9,C8,C6,C5;C7,C10,C3,CA;SQ,SJ,SK,S4;D6,DA,D7,D10;D4,DK,HJ,DJ;H5,H4,HQ,H6;CQ,DQ,HA,HK;S5,H2,S7,S2;S3,H8,H3,S6;D3,H10,H9,H7"
1570124994,1,6,0,"C7,C4,S8,C2;S6,S9,S10,SK;CJ,C6,C9,D7;D9,DK,D8,DA;S4,S2,SJ,SQ;S3,S5,DJ,S7;CK,D6,HJ,CA;H9,H7,H4,H2;CQ,C8,H8,H3;H5,D10,D3,H6;HK,HQ,C10,SA;H10,D4,C3,D5;HA,DQ,C5,D2"
1570124994,1,1,0,"C10,C3,C5,C2;D6,DA,D4,DK;D9,D2,D3,DJ;SK,S7,S10,S4;D5,D7,D10,H8;H3,HA,H7,H9;S2,SQ,SA,S8;HK,H10,H4,H2;C4,CA,HJ,C8;CQ,C9,D8,CK;SJ,CJ,S5,S9;S6,C7,H6,S3;H5,C6,DQ,HQ"
1570124994,1,3,0,"C6,C8,C5,C2;S9,S10,S2,SQ;D8,DA,D3,DJ;S3,SA,C7,S6;C10,HJ,C4,C3;S8,S5,D9,D6;S7,SK,D4,C9;H3,H10,H9,H6;H2,H5,HA,CK;HQ,H4,HK,CJ;S4,DK,SJ,D2;CQ,H8,H7,CA;D7,D10,DQ,D5"
1570124994,1,1,0,"CK,C5,CQ,C2;SJ,S8,H4,S9;S3,S7,HJ,S6;H7,H10,H8,HA;D5,D8,DK,D7;D10,DQ,D3,D9;DA,D2,S10,CJ;SQ,SA,SK,H3;D6,DJ,S5,H5;S2,HQ,C10,C3;S4,D4,C7,H6;HK,H2,C4,C6;H9,C8,C9,CA"
1570124994,1,2,0,"C10,C3,CQ,C2;DK,D4,D7,DA;D3,D2,SA,D10;C6,C7,C4,CJ;CA,C5,C8,D9;S9,S7,SK,S3;S5,S6,D5,S2;CK,HK,H10,S4;H7,H6,HA,HQ;H8,H5,H9,HJ;H2,H4,S8,S10;H3,SQ,SJ,DQ;DJ,D6,C9,D8"
1570124994,1,3,0,"C8,C4,CK,C2;SJ,SQ,S5,S4;D6,D7,DA,DK;D9,D4,D8,DJ;CQ,C6,CJ,C9;S7,SA,S10,SK;CA,HJ,H2,C10;DQ,H7,D5,D2;H9,H8,HK,H10;S3,S8,S2,C5;D3,S9,S6,H4;D10,H5,H3,C7;H6,HQ,HA,C3"
1570124994,1,13,0,"C6,CQ,C8,C2;DK,D5,DQ,D6;DA,D10,C3,D9;SJ,S4,SQ,S9;C10,C4,C5,DJ;CJ,CA,C7,H8;D7,H10,D3,H5;S3,S8,SA,SK;S2,S5,HJ,H3;D8,D2,H6,HQ;HK,HA,H9,H2;S7,S10,H4,C9;D4,S6,CK,H7"
1570124994,1,2,0,"CA,C10,C5,C2;C8,C3,CJ,C9;S6,S2,SJ,SA;C4,HQ,H3,C6;D10,DQ,D2,DK;HK,H2,H9,HA;S9,SQ,S10,S5;D7,D6,D3,D9;CQ,S8,S3,CK;D4,D8,HJ,DJ;S4,H4,C7,S7;H7,SK,H6,H5;H8,DA,D5,H10"
