1570125002,1,0,3,"CQ,C10,CK,C2;S9,S8,S5,S10;S2,S7,SJ,S3;C6,C8,C5,CA;C7,C9,H8,DA;HJ,H9,HK,H3;H5,HA,H2,H7;H10,D2,H4,H6;D5,D9,DQ,D10;C4,C3,DJ,SQ;CJ,D3,SA,D7;D8,D4,S4,DK;S6,D6,HQ,SK"
1570125002,1,17,3,"C10,CA,C9,C2;S7,SA,D2,S10;S3,S2,C4,S6;D5,DJ,D3,D4;DA,D9,DQ,D10;SK,S9,SJ,H6;C7,C5,C6,CQ;D6,D7,H9,DK;HJ,H8,H10,HA;H3,H7,H4,HK;S4,C3,S5,CK;SQ,CJ,H2,HQ;S8,H5,C8,D8"
1570125002,1,4,3,"C3,C10,CA,C2;D10,DA,DJ,DK;D6,D7,D5,D9;S8,SK,S3,SJ;D4,S4,DQ,D8;SQ,S9,S10,S5;C5,CQ,S6,C4;D2,C9,H2,H5;D3,H7,H10,CJ;C7,CK,H6,C8;H8,H9,H3,HJ;H4,HK,S2,SA;HA,HQ,C6,S7"
1570125002,1,0,3,"C3,CQ,C7,C2;S3,S7,SJ,S9;D7,D6,DK,D4;S5,S2,S4,S8;D8,DJ,D2,D3;SA,DA,C9,SQ;C6,C4,CJ,CA;S6,SK,D9,C10;CK,C5,C8,H2;S10,H5,H8,H7;HQ,H10,HJ,H6;HK,H4,HA,D5;DQ,H9,H3,D10"
1570125002,1,0,3,"C10,C7,C3,C2;S7,S6,S2,S10;C8,C4,CJ,CK;C5,HQ,D5,CA;DK,DJ,D10,D6;D2,D4,DQ,D7;H6,H7,H8,H3;C9,D9,C6,H9;HA,H10,S5,H2;HK,H5,S4,H4;CQ,DA,S8,D8;SQ,D3,SA,SJ;SK,S3,HJ,S9"
1570125002,1,16,3,"CA,C9,C10,C2;S6,S9,SA,S3;S4,SK,H5,S8;H3,H8,H9,H2;C5,C8,H4,C4;D4,D6,D10,DA;D7,DK,DJ,D2;S2,D8,S7,SJ;H10,HQ,H6,H7;HK,HA,DQ,S10;HJ,CJ,C7,C3;D5,SQ,D3,CQ;D9,S5,C6,CK"
1570125002,1,0,3,"C6,CA,CQ,C2;S3,S4,SJ,SK;SQ,S7,S2,D10;DQ,DA,D3,D6;D4,DJ,D2,D7;CK,C3,C5,C7;S6,S5,H3,D8;D9,DK,H2,H4;H6,H10,H9,HJ;CJ,H7,SA,C8;C4,D5,S8,H8;C10,HQ,HK,H5;C9,S10,S9,HA"
1570125002,1,1,3,"CJ,CA,C6,C2;SJ,S8,S7,SA;D9,DJ,D2,DQ;D8,D3,D4,DK;C4,CQ,S3,C5;DA,D7,H8,S2;D6,D10,HK,HQ;C3,C7,H3,C10;S10,C9,S6,S4;S5,CK,SQ,SK;H2,H7,H10,HA;H5,H4,H6,H9;C8,D5,S9,HJ"
1570125002,1,13,3,"CK,C10,CQ,C2;D2,D10,D9,D7;SQ,S4,S8,S9;SK,C9,S2,S10;S7,DK,SA,SJ;DQ,C6,D5,D8;C5,C3,H2,CJ;C4,C8,C7,HQ;H6,HK,H9,H7;DA,DJ,H10,D6;D4,D3,H3,H4;CA,HA,S5,HJ;H5,S6,S3,H8"
1570125002,1,4,3,"C6,CJ,CK,C2;C5,C10,C3,CA;CQ,H7,C4,C7;S10,S5,SK,SJ;DQ,DJ,D7,D8;DA,D3,DK,HQ;D9,D5,D4,H10;H4,HJ,H5,HA;S7,D6,S4,S9;SQ,S6,D10,S3;SA,H6,H2,C9;S2,C8,HK,D2;S8,H8,H9,H3"
1570125002,1,2,3,"C4,CJ,C3,C2;D3,D4,D9,DJ;D2,DK,D8,DQ;C6,CA,C5,CK;D5,H4,DA,S5;S10,S4,SQ,SK;HK,H2,HJ,H3;S8,S6,SA,S3;S7,S2,D10,C10;D6,S9,D7,CQ;C8,H9,H5,C7;H6,HQ,H10,HA;H7,C9,H8,SJ"
