1570125006,1,2,0,"C4,D10,CK,C2;CJ,C5,C6,DA;C10,CA,C9,S8;DQ,D6,D8,D5;D2,D4,D3,D9;DK,H10,S5,D7;S3,H5,SK,S9;H6,HQ,H9,C7;S4,H7,H2,S7;C3,SA,C8,CQ;HJ,DJ,SJ,HK;H8,H4,SQ,S6;H3,HA,S2,S10"
1570125006,1,1,0,"CA,C8,C3,C2;S8,S2,SA,SQ;SK,S6,S3,D10;D8,D4,DJ,D5;S5,S7,S10,H10;D9,DQ,D6,D7;SJ,S4,S9,C10;DA,DK,C9,HA;H2,H6,H8,H3;H5,HK,C7,HQ;CJ,C4,C6,C5;CQ,HJ,D2,CK;H4,H9,H7,D3"
1570125006,1,13,0,"C10,C5,CK,C2;D2,DA,D9,D5;S3,S2,S4,SJ;CJ,C4,C7,DQ;C3,H8,C6,D10;S10,D8,SQ,S6;H5,H2,HQ,H7;H10,HJ,HK,H3;DK,D4,S5,D3;D6,C8,SA,DJ;H4,S7,HA,H9;CA,H6,CQ,SK;C9,D7,S8,S9"
1570125006,1,3,0,"CK,C6,CJ,C2;D10,DJ,D9,D4;D8,D6,DA,H8;HQ,H10,H2,HJ;S10,SK,SA,S5;CQ,C4,C7,C5;CA,H7,C8,C3;HA,H3,H4,S6;H6,H5,HK,S3;DK,D7,DQ,S7;S9,S2,S4,SQ;C9,D2,H9,S8;C10,D5,D3,SJ"
1570125006,1,5,0,"C7,C8,C6,C2;SA,S10,S2,S3;D8,D4,DA,D3;SK,S9,SJ,S8;C9,S7,CQ,C5;CJ,C10,HQ,CK;D10,D7,D5,DQ;H8,H7,HA,H4;C3,HJ,SQ,CA;S6,S4,S5,H2;DK,C4,D6,D9;D2,HK,DJ,H5;H6,H3,H9,H10"
1570125006,1,18,0,"C8,CJ,CK,C2;C6,C4,C9,C5;C10,C3,C7,CA;DA,D4,D10,D2;D7,DJ,D6,DK;S3,S10,S7,S4;SQ,S9,S2,SA;S8,H3,SK,S5;H6,H8,HJ,H9;D5,H7,D9,HK;H2,DQ,HA,H10;H4,HQ,D8,SJ;S6,H5,D3,CQ"
1570125006,1,0,0,"CJ,C6,C8,C2;C5,C10,C4,CQ;S8,SQ,S2,SA;DJ,D6,D3,D10;D4,DA,D2,H2;C7,CA,C9,H8;S4,S3,S6,S5;HK,H3,HJ,H9;D5,D8,S10,S7;C3,D9,CK,H7;H4,H10,H6,H5;HQ,HA,DQ,SK;S9,DK,D7,SJ"
1570125006,1,5,0,"C4,CJ,C10,C2;S2,S10,S8,SJ;S9,SK,S3,S6;D3,D9,D5,D2;CA,C6,CQ,H5;C9,H6,CK,S5;H4,HQ,H10,H7;C8,C3,DA,DK;D7,D8,DJ,D4;SQ,S7,H2,SA;H3,HA,H9,H8;DQ,HJ,D10,C5;D6,S4,C7,HK"
1570125006,1,17,0,"C9,C3,C5,C2;D5,D8,C7,D4;CA,HK,CK,C8;HQ,H8,H5,HA;S4,S2,S5,SK;S10,S7,S9,SA;D3,S6,D2,DA;H7,HJ,H2,H9;D6,DK,SJ,CJ;S3,DQ,S8,SQ;C6,C10,D7,C4;DJ,H6,D10,H10;CQ,H3,D9,H4"
1570125006,1,14,0,"C10,C6,CK,C2;SK,SJ,S4,S6;S10,C4,HA,SQ;D3,D7,DA,D6;DK,D2,D10,D4;DJ,H3,D5,D9;H7,H5,H9,HQ;C3,C5,SA,C7;C9,C8,CJ,S7;HK,S2,H4,H2;CA,D8,HJ,S8;CQ,S3,DQ,H6;H8,S5,H10,S9"
1570125006,1,2,0,"C7,C3,CK,C2;D6,DJ,DK,D8;C5,C6,C4,C9;S3,S9,S8,S7;D7,DA,D2,D3;D5,HJ,D10,CQ;CJ,C10,H9,C8;CA,SA,H3,S6;D4,D9,H8,S4;H10,H6,H7,HK;HA,H4,HQ,H2;S10,SJ,H5,S5;SQ,S2,DQ,SK"
1570125006,1,0,0,"CK,CQ,CJ,C2;SK,SQ,SA,S3;D9,D6,D4,D7;S4,SJ,S9,S8;S10,S6,HQ,S2;HK,HA,H6,H4;C6,C10,C7,C4;D2,D8,D5,DK;S5,S7,HJ,H9;H10,H5,H8,H2;H7,H3,C8,C5;C9,DJ,C3,CA;DQ,D10,DA,D3"
1570125006,1,6,0,"C6,CA,C4,C2;SA,S5,S8,SQ;CK,C5,C7,C10;S10,S7,S4,S6;DK,D4,DJ,D8;S9,S2,SJ,DQ;D6,CQ,D10,D2;D3,D9,HK,HJ;C8,CJ,C9,H10;H6,H9,HA,H7;H4,H3,H2,H8;SK,C3,D7,DA;S3,H5,D5,HQ"
1570125006,1,4,0,"C7,C6,C9,C2;S5,S2,S10,S9;D6,D10,D9,D5;D7,D3,DK,D2;C8,CQ,H3,C3;DA,DJ,DQ,CK;D8,C10,S4,C5;SQ,S3,SA,S8;H4,HJ,H10,H9;H6,H8,H2,HK;C4,SK,SJ,CA;S7,CJ,D4,H5;S6,H7,HA,HQ"
