1570125013,1,4,0,"C7,C4,CA,C2;SQ,S10,S9,S2;DJ,D6,D7,D3;CK,C9,C6,H5;HK,H2,HA,H9;H4,HJ,H8,H3;S6,SK,SA,SJ;H7,H6,S5,D9;CJ,C8,S8,S4;C10,D8,S3,DK;CQ,H10,D10,DA;C5,S7,D2,DQ;C3,HQ,D5,D4"
1570125013,1,2,0,"C3,C8,C6,C2;S9,S6,SJ,S4;S3,S7,SQ,CQ;SK,S5,SA,HJ;C5,CA,C4,C10;S2,D2,S10,H2;HA,H3,H5,H6;D5,DK,DA,D6;CK,C9,HQ,H8;H4,H10,D7,H7;CJ,C7,S8,D8;D10,DJ,D3,DQ;D9,H9,HK,D4"
1570125013,1,17,0,"CA,C4,C5,C2;D9,D4,D3,D10;CQ,CJ,C10,C8;S8,S2,S10,S4;S7,HJ,SA,SJ;H9,H8,H4,HK;D8,DA,DK,DJ;S9,S5,SQ,H10;H5,H2,SK,H3;S6,S3,C3,C7;C6,D6,D2,C9;HA,HQ,H7,D7;CK,H6,D5,DQ"
1570125013,1,0,0,"C8,CK,CJ,C2;S7,SA,SJ,S4;DA,D9,D10,D5;S2,S10,SK,S3;S6,H5,S8,S5;HJ,H3,HK,H6;C4,C6,C3,CQ;DK,D4,C9,D7;D6,DQ,S9,D2;CA,C7,C5,SQ;D8,DJ,H8,D3;C10,HA,H7,H9;H10,HQ,H4,H2"
1570125013,1,4,0,"C6,CA,C7,C2;D5,D7,DQ,D10;SQ,S4,SJ,SA;CK,C10,C9,C8;S7,S10,S9,S8;S2,D3,S6,C5;D8,H4,D9,D2;H7,H2,H10,H6;H9,H8,C4,HJ;D6,H3,D4,DJ;SK,DA,S3,CQ;DK,C3,H5,CJ;S5,HK,HA,HQ"
1570125013,1,17,0,"CQ,C6,C10,C2;C3,C8,CJ,CK;S10,SK,S8,SA;S3,S4,SJ,DA;D8,DJ,D7,D6;SQ,S6,S2,D10;C4,S9,CA,C9;D9,S7,D5,D4;DK,S5,DQ,HQ;C5,H9,H7,C7;H6,HJ,HA,H4;H10,H5,D2,HK;H8,H3,H2,D3"
1570125013,1,4,0,"C3,C8,C10,C2;D6,D9,D5,DA;CK,H7,CA,CJ;S7,S5,S6,S10;D3,DJ,D2,DQ;H6,HA,H4,H9;C5,H5,CQ,C9;S2,D7,S9,S4;HK,H2,C7,H10;SQ,SA,C6,S8;SJ,SK,D8,H8;DK,S3,D4,HJ;D10,H3,C4,HQ"
1570125013,1,14,0,"C3,CK,CQ,C2;S6,SQ,SK,S7;C9,D4,C7,C6;D7,DQ,DA,D8;C4,CJ,SJ,C5;DJ,H6,D9,D3;H5,HQ,HJ,H2;H9,CA,HK,H7;S8,S10,S4,S9;H4,D10,C8,H3;H8,S3,D6,H10;C10,HA,S5,D5;S2,SA,DK,D2"
1570125013,1,16,0,"C3,C9,CQ,C2;CK,C8,C7,C10;D6,DJ,D10,D7;D3,D9,H10,D8;S7,S9,S3,S5;HK,H7,H5,H8;H9,HQ,H4,HJ;SQ,S8,SA,SJ;HA,C6,H6,SK;CJ,CA,C5,C4;DK,H2,D4,DA;S6,S2,S10,S4;H3,DQ,D2,D5"
1570125013,1,0,0,"C4,CA,CK,C2;S6,S8,S10,S3;D3,DK,D2,DQ;C6,C3,C9,CJ;D6,DJ,DA,D4;D7,D8,H10,D5;CQ,C5,C7,C8;SK,S9,S5,SA;H2,HJ,H8,H7;HK,HA,HQ,SQ;H5,H3,D10,C10;S7,H6,S2,S4;H4,H9,D9,SJ"
1570125013,1,13,0,"CQ,C3,C7,C2;C4,CK,CA,C6;DJ,D9,D4,DA;SJ,S5,S7,S3;D8,D7,D10,D2;S6,S9,SQ,D3;SA,S8,S2,CJ;S4,S10,SK,C10;DK,C8,D6,DQ;C9,H9,H4,C5;HK,H3,HJ,H2;D5,HA,H7,H5;H8,H6,H10,HQ"
1570125013,1,0,0,"CQ,C8,C5,C2;C6,C4,H3,CJ;C10,CA,C9,D3;H4,H7,HA,H2;D7,DK,D5,D4;H5,HQ,HJ,H6;H10,HK,H8,D6;S7,S3,S8,S6;S2,S9,S10,SA;S5,H9,S4,SQ;CK,SK,C7,C3;SJ,DQ,DA,D10;D9,D2,DJ,D8"
