1570176865,1,7,0,"CJ,C10,CQ,C2;C6,CA,C8,CK;C7,C9,C5,C3;SQ,S9,S5,SK;DK,D7,D6,D10;D5,D4,HQ,D2;D9,DA,H6,HJ;H4,H7,H3,H9;H2,H10,D3,HA;S7,SJ,S10,S2;HK,H5,H8,S8;SA,S3,C4,D8;S6,S4,DJ,DQ"
1570176865,1,0,0,"CQ,C3,C8,C2;CJ,H4,C9,C5;D2,DQ,D3,D6;HJ,H9,H5,H2;HA,H3,HK,H7;D9,SK,DJ,D7;SA,S2,S6,SJ;C7,H8,CA,C6;CK,SQ,DA,D4;C4,D5,DK,S4;S9,S5,S7,S8;C10,S10,HQ,S3;H6,D8,H10,D10"
1570176865,1,14,0,"C9,CA,C10,C2;DA,D5,D3,D6;S2,S10,SA,S6;S4,S9,SJ,S7;CJ,C8,S3,C4;C3,C7,H5,D4;H3,H10,HJ,HA;H9,H2,H6,HQ;S5,SQ,SK,C6;H4,H7,D2,DJ;D9,CK,DK,DQ;D7,H8,C5,D8;CQ,D10,S8,HK"
1570176865,1,2,0,"CQ,CA,C10,C2;C8,C6,C5,C9;D6,DQ,D9,D10;SQ,SJ,S7,S3;D5,D7,DA,D2;SK,S8,S6,S9;C3,HQ,H7,CJ;D3,DJ,DK,D8;HJ,HK,H5,H6;D4,H10,C7,S10;H2,H8,H3,H4;H9,S4,S2,HA;SA,S5,CK,C4"
1570176865,1,1,0,"CJ,C9,CA,C2;S7,S5,SA,SJ;S4,SK,S9,S6;CQ,C10,C3,C8;D8,D10,D7,D2;S10,S3,SQ,D6;C5,C6,H5,C4;H8,HQ,H4,H3;C7,S2,DA,CK;D4,D3,S8,DK;D9,DQ,H10,H9;DJ,HA,H7,HK;D5,H6,H2,HJ"
1570176865,1,0,0,"CK,CQ,C7,C2;C5,CA,C3,C6;C10,CJ,D7,C9;S3,S6,S10,S5;SQ,SJ,SK,H10;D6,D3,D10,D4;S7,S2,S8,HJ;H2,H5,H9,HA;H4,HQ,H8,H6;D9,DJ,C4,D5;DA,D2,SA,DK;DQ,D8,S9,H7;HK,S4,H3,C8"
1570176865,1,1,0,"CK,CQ,C5,C2;SJ,SA,SQ,S8;D2,DJ,D3,CA;C3,C10,C7,C6;D6,DQ,D4,CJ;S2,SK,S4,S3;DA,D9,DK,C8;D7,D8,S6,H3;D10,HQ,H9,C4;S9,H5,S10,S7;H4,H10,H6,HA;C9,H7,S5,H8;HJ,H2,D5,HK"
1570176865,1,9,0,"C8,CA,CJ,C2;DQ,D4,DK,D8;DJ,D3,D2,D6;C4,C9,C5,C10;S2,S6,S5,S4;S10,SQ,SJ,S7;SA,SK,DA,S3;C7,CQ,HQ,C3;H9,H3,H4,H10;H2,HK,H8,H6;HA,S8,HJ,H7;CK,S9,C6,D9;H5,D7,D10,D5"
1570176865,1,4,0,"C8,C10,CA,C2;S4,S3,SK,SQ;C4,C3,C7,C6;S6,S5,S7,SJ;DA,DK,D4,D9;D6,D7,D10,D2;CJ,D8,CQ,C5;S10,H7,S9,S8;C9,CK,H6,H5;HJ,HQ,H8,HA;H3,H10,H4,D3;H9,H2,S2,D5;DJ,HK,SA,DQ"
1570176865,1,5,0,"C6,C8,C10,C2;CQ,CA,C9,C5;S4,S8,S7,S6;SQ,S9,SJ,S5;S3,SA,S2,SK;S10,HJ,C3,HK;D2,D4,D8,D5;D6,D7,DK,D10;CK,C7,CJ,HQ;H10,H6,H8,H3;H7,DJ,H9,H2;DQ,H5,DA,D9;D3,C4,HA,H4"
1570176865,1,17,0,"C7,CQ,CK,C2;SQ,SJ,S7,S9;SA,SK,S3,S2;D9,D8,DQ,D5;DJ,D7,DK,D3;D2,H5,H8,D4;C4,CA,CJ,H7;D10,C10,H10,HK;DA,C8,S6,H9;H6,C9,H2,HA;S8,S4,S5,HQ;H3,C5,C3,HJ;H4,S10,D6,C6"
1570176865,1,15,0,"CQ,CA,C9,C2;C3,C7,C10,CK;S8,SK,S3,S5;C5,H10,C6,CJ;C8,H5,S6,C4;H9,H6,HJ,H8;HQ,H4,HA,H3;D10,D5,D9,D2;S4,SJ,S9,S7;DA,DQ,D6,D4;S10,SQ,SA,DK;D7,HK,D3,D8;DJ,S2,H7,H2"
1570176865,1,0,0,"C9,C8,CK,C2;D4,D9,D7,D2;S3,SJ,SQ,S7;S4,SK,S8,S10;D10,DK,DA,D8;S5,S6,D6,HA;H8,H6,HJ,H10;H5,H7,H3,H4;C5,C3,CQ,CJ;HQ,HK,H9,D3;S9,SA,DQ,CA;D5,S2,H2,C7;DJ,C4,C6,C10"
