1571050901,1,19,3,"C7,C4,CA,C2;C6,C8,C3,C10;DJ,D8,D10,D9;S3,SK,S2,SQ;DQ,D7,D5,D6;H10,DA,CK,CJ;H7,D2,D3,DK;CQ,S5,S6,S7;H3,H4,SJ,H2;S4,C9,HK,S9;SA,HJ,HA,H5;H9,D4,HQ,H8;H6,S10,S8,C5"
1571050901,1,0,3,"C7,CJ,C5,C2;DK,D3,D7,D8;D6,DQ,D4,DA;S6,S5,S10,S2;CQ,CA,C9,C6;D10,D9,D5,D2;SQ,SK,S4,S3;CK,C10,C4,C8;S8,HQ,S9,S7;H4,H7,H9,H3;H2,DJ,HK,C3;H8,H10,SA,HA;H6,H5,SJ,HJ"
1571050901,1,0,3,"C5,C10,C3,C2;S9,S8,SJ,SA;C6,CA,CK,CJ;H8,C9,C4,CQ;D2,C8,H6,C7;HA,H7,H9,HQ;H10,H4,H3,HK;DA,D5,D4,D6;DJ,D8,D3,D9;S5,S3,S10,SK;D10,H5,S6,S2;S4,DK,HJ,D7;H2,S7,SQ,DQ"
1571050901,1,13,3,"C6,C3,C8,C2;D9,D6,D8,D5;C4,C10,CQ,C5;D3,D2,DQ,DA;S5,S2,SA,S6;S4,S8,SQ,S10;CJ,S3,C7,CK;HJ,SK,CA,C9;H6,H10,H9,H2;SJ,S7,HK,S9;H8,HA,DJ,D4;DK,H5,H4,D10;H7,H3,D7,HQ"
1571050901,1,0,3,"C3,C8,C10,C2;S8,S5,S4,SJ;SQ,S9,S6,S2;CJ,C4,C6,CA;DA,D3,D8,D2;HJ,HQ,CQ,C7;D9,DJ,D5,D6;H3,HA,H5,H9;DQ,SA,DK,CK;H6,H2,S3,H10;HK,D10,S10,C5;H7,D4,SK,C9;H8,D7,S7,H4"
1571050901,1,0,3,"CK,C8,C5,C2;S6,SQ,SA,S2;S3,S8,S7,S9;DQ,D10,D6,DJ;CA,C7,C6,C3;D3,D5,D4,D8;S5,DK,S10,DA;H6,CJ,HA,C4;H3,CQ,HJ,C9;HQ,HK,H5,C10;H2,D7,S4,D9;H4,H8,SK,D2;SJ,H10,H7,H9"
1571050901,1,1,3,"C9,CA,C4,C2;S5,S3,S8,S7;SJ,S2,SK,S6;CK,C5,C7,CQ;S4,H10,S9,SA;HQ,H8,HJ,HA;S10,D6,D5,SQ;D8,DQ,D7,D4;D10,DK,D3,D9;H2,C3,H4,H9;HK,DJ,H3,H5;C8,CJ,H7,C6;H6,C10,DA,D2"
1571050901,1,0,3,"CA,C7,C6,C2;D3,DK,DJ,D5;S9,D9,D7,DA;SK,SQ,S6,S8;C9,C5,C3,C4;S2,S3,SA,S4;CJ,D2,CQ,C10;H10,D4,D6,D8;HJ,D10,HA,DQ;H3,HQ,H4,H6;S7,S10,HK,S5;CK,H7,H8,H9;C8,SJ,H2,H5"
1571050901,1,26,3,"CJ,C7,C6,C2;DQ,D10,DK,D9;S9,S6,S10,S3;C8,C9,C3,C5;SJ,HK,S8,S2;D7,S7,S5,SK;H4,H3,H7,H9;C10,S4,CA,CQ;C4,D3,D5,DJ;HJ,H2,H8,H6;H5,HA,H10,CK;DA,D6,HQ,SA;D4,D8,D2,SQ"
1571050901,1,0,3,"CK,C7,C4,C2;D10,DK,D9,D4;SQ,S5,S8,S6;DQ,DA,DJ,D5;C8,CJ,S3,C5;H5,H9,S2,SA;H7,HA,S7,SK;H4,C9,C10,CA;HJ,C6,HK,C3;H3,D7,H2,H6;SJ,D3,H8,HQ;S9,CQ,D8,D2;H10,S10,S4,D6"
1571050901,1,5,3,"C9,C4,C7,C2;S8,S5,SA,S10;C10,C8,CK,CA;D8,D9,DA,D4;DQ,D6,D5,DK;SJ,S3,SK,S7;D2,H3,HK,D10;H6,H7,H2,H10;H9,H4,HJ,H8;H5,S9,SQ,S2;C6,HA,C5,C3;D7,S6,CQ,S4;HQ,CJ,D3,DJ"
1571050901,1,7,3,"CK,C4,CA,C2;D3,D4,D2,D9;SJ,S10,S2,S7;SK,S5,S4,S9;DK,D6,C10,DA;C9,HJ,C8,C7;H2,H9,H10,HQ;H4,H8,S6,H5;D10,SA,SQ,S8;HK,C6,C5,CJ;H7,HA,DJ,H3;C3,D7,DQ,CQ;D8,H6,D5,S3"
