1571050909,1,0,0,"CJ,C7,C3,C2;SA,S6,S5,S3;D3,DJ,DK,D6;D7,D2,D4,D5;SJ,HA,S2,DA;C5,CK,CA,C10;H9,H8,H2,H10;D8,H6,H4,HQ;D9,H3,C6,HJ;C4,S4,S9,H7;DQ,C9,SK,HK;CQ,S8,SQ,C8;S7,S10,H5,D10"
1571050909,1,22,0,"C7,CK,C3,C2;S3,S9,S6,SJ;D10,DA,DJ,D4;CJ,C10,C5,C8;D9,H6,D2,D8;H9,H8,H10,HK;S8,D5,DK,DQ;HA,H4,H3,H5;S7,SK,SQ,SA;S10,D7,CA,D6;S4,D3,S2,S5;C4,HQ,CQ,C9;C6,H2,H7,HJ"
1571050909,1,0,0,"CA,C3,C9,C2;S6,S2,S4,SJ;C4,CK,C6,CQ;C10,D10,C7,CJ;S10,SK,HA,S5;HJ,H10,H4,HK;H5,H8,H2,HQ;D4,S9,SA,S8;D8,DK,DA,D6;C8,DJ,D5,C5;H3,D7,S3,S7;H9,H6,D9,H7;D2,SQ,D3,DQ"
1571050909,1,0,0,"C6,C4,C3,C2;S5,SK,SQ,S6;C7,CK,CQ,CA;DQ,D8,D5,D10;D4,D6,DK,D3;S4,S10,H6,S3;D9,DJ,DA,D7;C10,C9,C5,C8;HJ,S8,S2,SJ;H10,H9,H5,HQ;H8,H4,S7,SA;H2,CJ,HA,S9;H3,H7,D2,HK"
1571050909,1,3,0,"C6,CA,CK,C2;S8,S2,S7,S4;D7,D5,D4,D6;D3,DQ,D9,DJ;C4,C8,C7,C9;D2,DA,D8,D10;S9,C5,HK,CJ;H6,H2,SK,H5;HA,SJ,H4,H9;DK,HJ,H10,H7;H8,CQ,SA,C10;SQ,S10,HQ,S3;C3,H3,S6,S5"
1571050909,1,4,0,"C6,CJ,C9,C2;SQ,SK,SA,S10;DQ,D2,D9,D4;D8,D7,DJ,D3;S5,S4,S2,S7;S3,SJ,S8,S6;D10,HQ,C3,D6;C10,C4,H6,C5;CK,S9,C7,CQ;H3,H5,H7,H2;H9,DK,HK,C8;H10,DA,HA,H8;CA,HJ,D5,H4"
1571050909,1,0,0,"C5,S5,CQ,C2;S4,SJ,S9,S10;H8,C10,C4,C3;CA,C8,S8,CK;H6,HJ,H7,HQ;D4,DK,D9,D10;D3,DA,D5,D6;H4,H10,H5,HK;HA,H3,C9,CJ;DJ,S3,S7,S2;SQ,D2,H9,SK;C7,DQ,D7,SA;C6,D8,H2,S6"
1571050909,1,20,0,"CJ,CQ,CK,C2;C3,C5,D4,C4;S9,SQ,SA,S2;S4,S3,S6,S7;D10,DA,DQ,D5;D7,D6,SK,DK;SJ,DJ,H8,D3;C8,H7,C10,C6;HK,HQ,H3,H5;C7,HJ,H10,C9;H4,D9,HA,D2;H9,S10,H6,D8;H2,CA,S5,S8"
1571050909,1,0,0,"CK,C4,C7,C2;SA,S2,SK,S5;C10,C6,C8,CQ;CA,S9,S4,SQ;C5,C3,CJ,C9;S8,D4,S3,S7;H5,S6,SJ,S10;D6,D9,D2,DQ;HK,DJ,DK,D7;H4,H9,HJ,HQ;H6,H7,H3,H2;H8,D5,D3,H10;DA,D8,D10,HA"
1571050909,1,1,0,"C8,C6,CQ,C2;S3,S6,S9,S5;D2,DA,D3,DJ;CK,S10,S2,S8;H5,D7,D5,D6;DK,SJ,S7,SK;C7,C4,C3,C5;HA,H6,H8,H4;C10,DQ,CA,CJ;H3,H9,H7,H2;SQ,H10,D9,HJ;D8,HK,D4,HQ;C9,SA,S4,D10"
1571050909,1,14,0,"C6,C9,C5,C2;SQ,CA,C7,CK;D5,DA,D8,D6;D10,D9,DQ,DJ;C8,HA,C10,C4;S9,S2,S6,SK;H10,HQ,H7,H9;HK,HJ,H6,H2;D7,SJ,S5,SA;H3,S4,D4,H5;CQ,S8,S3,S7;C3,H4,CJ,S10;DK,H8,D2,D3"
