1571050919,1,4,3,"C3,C9,C8,C2;DA,D9,D8,DJ;SA,S8,SQ,SJ;CA,C10,H9,C5;CJ,S9,C7,CQ;H7,H8,H6,H2;HK,H5,H4,H3;DQ,D6,D3,D5;HA,HJ,HQ,H10;S10,S7,S4,S6;DK,D10,S5,D7;C6,S3,D2,C4;S2,SK,D4,CK"
1571050919,1,4,3,"C8,C3,C4,C2;DK,D5,DA,D4;S2,S5,SA,S10;D9,D8,D3,D10;SJ,H8,D7,SQ;S4,H4,CA,S6;H6,C9,H3,H5;D6,H2,S8,S9;C10,D2,CK,S3;C6,CQ,H10,C5;H9,S7,DQ,HQ;HK,SK,C7,HJ;CJ,DJ,HA,H7"
1571050919,1,2,3,"C7,CJ,C4,C2;SQ,S2,S7,S4;C8,C3,CA,C10;S3,D2,S8,S6;D6,D3,D7,D4;DA,DJ,DQ,D8;HK,HA,D10,D5;H5,H4,H8,H6;C6,SA,SJ,CK;CQ,S5,SK,C9;S10,H2,HJ,H7;H10,D9,H9,C5;H3,DK,HQ,S9"
1571050919,1,13,3,"CA,C8,C3,C2;D7,DK,DQ,D6;S9,SA,S10,SQ;D2,DJ,D9,D10;S5,S2,S8,SK;C5,C9,CK,C4;SJ,S3,D5,S4;CQ,HA,C6,C7;H9,HJ,S6,CJ;D8,H6,HK,C10;D3,H7,H2,DA;H10,H5,H8,HQ;D4,H3,H4,S7"
1571050919,1,15,3,"C10,C9,CJ,C2;S9,SQ,S7,S2;C6,CA,C8,C5;DK,D5,DJ,DQ;H4,D7,D8,D9;H8,H2,H6,HJ;CQ,HQ,HK,H10;C7,SJ,SK,S5;HA,H9,C4,C3;S10,S8,D4,S6;D6,D2,CK,D3;H7,S4,S3,H3;SA,D10,H5,DA"
1571050919,1,21,3,"D10,CJ,C5,C2;S2,SJ,S7,S5;HQ,CA,C7,C8;S9,S10,SK,S8;H9,HJ,HK,H7;D8,C6,CK,CQ;DK,D4,D9,D2;DA,D7,D6,D5;H4,H8,SQ,H6;C9,DJ,SA,C10;C3,H5,H10,C4;D3,H3,H2,HA;S3,DQ,S4,S6"
1571050919,1,26,3,"C4,CA,CJ,C2;D5,D9,D4,D8;S4,SQ,S9,S2;SA,S8,SK,S10;DK,D10,DA,D3;DJ,C9,D6,D2;SJ,C8,S6,S5;C7,CK,HQ,CQ;H8,H6,H3,H9;H5,H4,HJ,HA;H7,C3,H2,H10;DQ,S3,C6,S7;D7,C5,C10,HK"
1571050919,1,0,3,"C9,C4,C10,C2;S8,S6,S9,S2;C6,CJ,C3,CK;DJ,D5,DA,D8;SQ,SJ,S5,SA;D9,HQ,S4,S3;H4,C8,H5,H6;HJ,DK,H2,H3;C5,CA,H9,H10;D6,D4,D3,S10;CQ,D10,H8,S7;D2,C7,H7,SK;D7,DQ,HA,HK"
1571050919,1,4,3,"CK,CA,C6,C2;SQ,S8,SA,S4;D2,D4,D7,D3;S6,SJ,HQ,S10;H5,H3,HJ,H7;DQ,DK,DA,D10;S9,S5,C7,S7;CJ,HK,SK,S2;HA,H6,C4,S3;CQ,H4,C3,C9;H10,D6,C5,D9;H9,D8,H2,D5;C10,DJ,H8,C8"
1571050919,1,0,3,"C7,C4,CJ,C2;DJ,D2,DK,D5;D8,HJ,D9,D6;CA,D10,SK,D4;S3,DA,S8,D7;C5,C6,C3,C8;H2,HK,H6,HA;H4,H3,H7,H5;SJ,CK,HQ,CQ;SA,S5,S7,S9;SQ,H10,S6,S2;D3,C9,S4,C10;DQ,H8,H9,S10"
1571050919,1,0,3,"C7,CK,CQ,C2;D9,DQ,DJ,D7;SJ,SQ,SK,SA;S3,S5,S4,S6;C3,D8,C4,CA;DK,D10,DA,D4;C9,CJ,D2,C5;HA,S7,S10,S8;S2,H10,C6,S9;H8,H2,H9,HJ;HK,H7,C8,C10;H6,D3,HQ,H4;D6,H5,D5,H3"
1571050919,1,0,3,"S6,C4,CA,C2;CJ,H10,C3,C8;HK,H4,CK,C9;D7,D3,D6,D2;D5,H5,C10,C6;H3,H6,SA,H8;HJ,H2,S4,HQ;H7,HA,S10,H9;S2,S3,SJ,SQ;D10,DA,DJ,D9;CQ,D4,DQ,C5;S8,S5,C7,SK;D8,S7,DK,S9"
1571050919,1,4,3,"C6,C7,C10,C2;C4,CK,C5,C9;SQ,S9,S5,S10;D9,DK,DJ,D5;S2,S3,S6,S4;C8,HA,D2,C3;S8,D6,CA,CQ;H5,H8,H4,HQ;D7,H2,D8,D10;HK,H9,D3,H6;S7,DA,D4,DQ;H3,H7,SJ,SK;HJ,CJ,H10,SA"
