1571051045,1,14,1,"CK,C8,C9,C2;D3,DQ,DA,D2;CQ,C3,C5,CA;S7,S9,S8,S3;S5,SQ,S4,S2;C7,H8,CJ,C10;D4,D9,D6,D10;H2,H4,HJ,H3;HK,H9,H7,HA;S10,SK,C6,S6;D8,HQ,DJ,DK;H10,SA,H6,H5;SJ,C4,D7,D5"
1571051045,1,17,1,"CA,C5,C7,C2;C3,C8,CK,C9;DA,D2,D5,D6;S7,S10,SJ,SK;S8,S2,SA,S6;D7,D10,HK,D4;H3,H8,H2,H5;DQ,HQ,HA,D8;CQ,H9,D3,DJ;C4,SQ,H6,C10;S5,S9,H7,S3;D9,C6,H4,HJ;DK,S4,CJ,H10"
1571051045,1,0,1,"CJ,C5,CQ,C2;S10,S7,SJ,SA;S8,S3,HJ,S6;H8,H3,H7,HK;HA,H4,H10,H2;D2,DA,D4,D10;SQ,SK,DQ,S2;DJ,DK,D3,D6;C3,C9,C6,C10;H5,S4,C7,S9;C8,CK,D5,S5;D8,D7,C4,CA;H9,D9,H6,HQ"
1571051045,1,14,1,"C4,C8,C5,C2;D4,D6,DQ,D9;S8,S3,SJ,S4;SA,SK,S7,S5;D5,DK,D10,D8;H9,DJ,H10,D2;H6,DA,HA,D7;S2,H7,SQ,S6;HQ,S10,HJ,S9;C9,CA,C10,CK;H8,C7,H2,H3;CQ,D3,H5,C3;H4,HK,C6,CJ"
1571051045,1,0,1,"CA,C9,C6,C2;S7,S9,S5,S2;C3,DQ,C10,C7;CQ,C5,HK,C4;H8,H3,HA,H6;DK,D10,D8,DJ;S6,SA,S10,SK;S8,HJ,H4,H2;D5,H7,D3,H10;D9,D7,S4,D6;D4,SJ,CJ,D2;S3,H5,CK,H9;C8,HQ,DA,SQ"
1571051045,1,13,1,"C7,C5,C4,C2;CQ,C9,C8,C3;S8,SK,S3,SJ;CJ,H2,DQ,CK;D9,HK,H9,C6;HA,S9,H10,C10;S10,S2,S7,S5;DA,D2,D7,D3;S6,SQ,S4,SA;D10,D6,D8,D4;H8,H3,H7,H6;DJ,H5,HQ,CA;DK,HJ,H4,D5"
1571051045,1,7,1,"C3,C10,CA,C2;D2,D6,DQ,D9;C6,CK,C7,C8;C5,S4,CQ,CJ;S9,S3,S2,S7;SJ,S8,SQ,S5;D8,D10,D4,D3;S6,SA,S10,SK;C4,DJ,DK,D5;HK,H8,D7,DA;H7,H9,H3,H10;H4,H6,H5,H2;HA,HQ,HJ,C9"
1571051045,1,4,1,"CQ,C7,C4,C2;S6,S10,S5,S2;CK,C10,CA,C5;H8,S7,SK,SJ;DQ,CJ,C3,C8;HK,H6,H4,H5;D10,D8,D5,D2;S4,DK,HA,C6;SQ,D6,D9,DJ;H7,DA,S3,C9;H2,HQ,S9,SA;HJ,H9,D4,D7;H3,H10,D3,S8"
1571051045,1,0,1,"CQ,CK,C6,C2;D8,DJ,D7,D6;S4,SA,S2,S3;S6,S10,S5,S8;H4,SK,SJ,S9;C8,C10,C9,CA;DK,D3,D2,D4;CJ,C3,HQ,C4;HJ,H5,HK,SQ;DQ,D10,D9,D5;H7,H2,HA,H8;H10,DA,C5,C7;H3,H9,H6,S7"
1571051045,1,4,1,"C8,C4,C3,C2;DJ,DQ,DK,DA;SA,S10,S8,S3;D3,D8,D7,D5;CK,C5,C7,C9;HA,C10,C6,CJ;S4,S6,D6,SQ;SK,CQ,H6,CA;D10,SJ,HK,S2;HJ,S7,H10,S5;H4,H8,H3,H5;H2,D4,H9,H7;S9,D2,D9,HQ"
1571051045,1,14,1,"C8,CA,C10,C2;S10,C5,SQ,SA;S5,H10,S6,SJ;S2,D3,S4,SK;H9,H3,HA,H6;CK,CQ,C7,C3;D2,D7,D4,D9;H4,HQ,H2,H8;C6,H7,C4,CJ;HJ,S3,D10,HK;DQ,DK,D8,DA;D5,S8,C9,H5;D6,S9,S7,DJ"
1571051045,1,8,1,"C6,C4,C5,C2;DJ,D2,D7,D6;S2,S3,S8,SA;DK,D4,D8,D3;CQ,D5,D9,D10;S9,S7,S5,SK;H5,S10,SQ,SJ;C10,C7,CA,C9;H3,H2,H7,H4;CK,C3,DA,C8;H9,H6,HJ,HQ;S4,H10,HK,H8;S6,DQ,HA,CJ"
1571051045,1,14,1,"C6,CJ,C9,C2;S8,S5,S9,SK;S4,S7,SQ,SA;HA,SJ,S3,S10;C5,C8,CQ,C7;H2,HK,H7,H3;DJ,D7,D8,D6;H4,C3,D3,CA;D4,DK,D9,D10;S6,DA,H6,H8;D5,C10,H5,HQ;DQ,C4,H9,CK;D2,S2,HJ,H10"
