1571051067,1,18,2,"CA,C3,C7,C2;D3,D4,D8,D9;SJ,S7,S5,S4;C9,CQ,C4,C8;HA,C10,C5,CK;S6,SA,SK,S2;HQ,H9,H5,HJ;D6,D10,DA,D5;D2,D7,DK,DJ;DQ,S10,S9,S3;S8,H4,HK,H7;H3,CJ,H6,H2;H8,SQ,C6,H10"
1571051067,1,2,2,"CA,C7,CK,C2;S3,S4,SA,S6;D5,D3,DJ,D8;D9,DQ,D6,D2;HJ,H2,S10,S7;S5,H9,C9,S2;C4,C6,HQ,CJ;H6,H5,HK,HA;C8,H4,SK,H10;C10,H3,SQ,H8;C3,CQ,D7,H7;D4,D10,SJ,S9;S8,DK,C5,DA"
1571051067,1,1,2,"C3,C4,C7,C2;DA,D7,D4,D8;C6,CQ,HK,C5;DJ,DQ,S7,D2;SK,S4,S3,SJ;S9,HQ,HA,H2;CA,C10,H8,C8;SQ,S8,CK,SA;S6,H5,H4,H6;DK,S2,H3,H7;D5,D6,H10,HJ;D10,D9,C9,H9;S10,D3,CJ,S5"
1571051067,1,7,2,"C7,C9,C4,C2;CA,CK,CQ,C6;S10,S4,SA,S5;DA,D6,D5,D8;S7,CJ,H9,S9;H8,H4,H5,H2;HK,DJ,S6,S8;HJ,HQ,H7,H10;SJ,D9,D7,DQ;C8,SK,C5,C3;HA,D4,D10,H6;D2,D3,SQ,S3;S2,C10,DK,H3"
1571051067,1,0,2,"C6,C4,CJ,C2;D5,D9,D10,D2;S7,S3,S4,S8;D7,D8,D4,DJ;S6,S9,SK,S5;DQ,DA,D3,D6;C5,C7,C8,CA;SA,S10,HQ,S2;H8,H4,H6,H10;HK,H5,CK,HA;HJ,H3,C10,H2;C3,SJ,CQ,C9;DK,H9,SQ,H7"
1571051067,1,0,2,"CA,C8,C4,C2;C10,C6,D5,C3;S7,S10,SK,SQ;C5,C9,D6,CK;S9,S4,S2,S3;DQ,D10,DJ,D4;D3,D9,D8,DK;HJ,CQ,SJ,C7;HQ,S8,DA,S5;H9,H4,H8,CJ;HA,H10,H2,D2;H3,S6,HK,SA;H6,H5,H7,D7"
1571051067,1,0,2,"CQ,C3,C10,C2;D8,D6,D7,DK;C5,C8,C9,C6;S10,S2,S9,SK;D3,D10,H10,DJ;H4,HA,H2,H8;H9,HK,C4,HQ;C7,H5,H6,H7;D4,HJ,S4,H3;SA,S5,CJ,S6;SQ,D5,S8,S3;DQ,D2,S7,D9;CK,SJ,DA,CA"
1571051067,1,19,2,"C6,C9,C3,C2;S6,SQ,S8,SA;C10,C7,C4,CK;D3,D6,D4,D7;S10,S7,S2,SK;S5,S4,S9,SJ;CQ,C8,DJ,CA;DK,DQ,D2,D5;HK,D10,HA,D8;HJ,H4,H8,H3;H9,CJ,H6,C5;DA,H2,H5,H10;D9,HQ,S3,H7"
1571051067,1,0,2,"CJ,CQ,CA,C2;D4,DQ,D6,D9;C4,C10,C8,C9;SQ,SK,S2,SA;D2,D10,D8,D7;SJ,S5,S9,S3;S7,C7,HA,CK;S10,H4,H9,C6;H10,H3,H8,H6;S8,DK,HJ,D3;H7,D5,S4,DA;C5,HQ,H2,DJ;C3,HK,S6,H5"
1571051067,1,4,2,"C9,C7,C3,C2;DJ,D2,D7,D10;D4,CA,C5,C10;SJ,SK,SA,S3;S7,S10,S5,S8;D3,D6,D8,D9;CK,S6,CJ,C8;H7,HJ,H3,C4;H6,DA,SQ,CQ;H9,S9,HQ,C6;DK,H2,DQ,S2;H8,D5,HK,S4;H10,H4,HA,H5"
1571051067,1,2,2,"C8,CK,C5,C2;D2,DA,DQ,DJ;S8,SK,S10,S6;D3,D6,D7,D5;D4,H10,HA,D8;H4,H8,H3,H7;SJ,SA,D10,S5;HJ,H6,CQ,H2;CA,C10,CJ,C6;C7,D9,C9,C4;S2,S9,H5,DK;C3,S3,HQ,HK;S7,SQ,S4,H9"
