1571051124,1,0,3,"C7,C4,C3,C2;D9,D2,DJ,DK;CQ,C6,H5,CK;H4,H6,H7,H10;S8,SA,S10,S3;DA,SK,D5,D7;S5,S6,SQ,S2;DQ,S7,CA,C5;C9,D4,H8,C8;S4,HA,D6,C10;H2,HJ,D8,HQ;D3,H3,S9,SJ;H9,HK,D10,CJ"
1571051124,1,0,3,"C9,CQ,C8,C2;C6,C4,HA,C7;H2,H7,H4,H6;D3,D9,D10,D8;SA,SJ,S6,S3;DJ,DQ,D5,DA;H8,H9,HJ,H5;DK,S10,CJ,D7;H3,HQ,D6,D4;S9,S2,C3,SK;SQ,S7,CA,S4;H10,C5,C10,D2;S5,CK,S8,HK"
1571051124,1,0,3,"CK,CJ,C6,C2;S3,S6,S10,S8;S4,C4,C5,CA;D2,DK,D4,D8;DQ,D10,S5,S7;HA,HK,SQ,S9;HQ,H3,D9,H4;H2,C10,H6,H9;DA,C7,SJ,S2;SA,D3,C3,SK;DJ,C9,H7,H5;H10,D5,C8,HJ;CQ,D7,D6,H8"
1571051124,1,0,3,"C10,C5,C9,C2;D4,D7,D9,DA;D8,D5,D3,DK;S7,S5,S3,S6;SQ,SK,S9,S4;SA,S10,S8,SJ;C7,C8,CA,C4;HA,C6,DJ,CQ;H7,HK,H2,H8;H10,HQ,H5,H9;H6,C3,H4,HJ;S2,D10,D2,DQ;H3,CJ,D6,CK"
1571051124,1,20,3,"CK,C5,C8,C2;S3,S7,C6,S8;D4,D2,D6,D9;SK,S2,HJ,S4;DK,D8,D5,D10;H8,H6,H7,HA;CQ,H3,C7,CJ;H9,HQ,H5,H10;DQ,DJ,S9,D3;C4,H2,D7,C10;CA,S5,S10,S6;C9,HK,SA,DA;C3,H4,SJ,SQ"
1571051124,1,0,3,"C3,C8,C4,C2;D8,DA,DQ,D3;CQ,C5,D9,C9;DJ,D4,C10,DK;S4,SQ,S5,S7;H9,D7,D2,D6;S8,S10,S3,SJ;HA,S9,H5,SA;H7,H10,H2,HK;H4,SK,C7,HQ;H6,D5,C6,HJ;H3,S6,CA,D10;H8,S2,CK,CJ"
1571051124,1,0,3,"C6,C3,C10,C2;D9,D10,D2,D8;DA,D7,DK,DJ;C4,CA,HA,C5;H8,H2,H5,H6;S7,S10,S6,SQ;S9,SK,C8,SA;S2,D4,CJ,D6;H9,D5,H10,H4;H7,H3,S4,HQ;HK,C9,DQ,HJ;CQ,S8,CK,D3;S3,SJ,C7,S5"
1571051124,1,26,3,"C8,C7,C6,C2;S8,SA,S2,SQ;D7,D8,D2,D6;SK,S6,SJ,S7;CQ,C5,C4,CJ;C9,S10,C10,CK;D5,D4,DQ,DK;H9,H7,H6,H10;H2,H3,C3,H5;S9,H8,D9,HJ;DJ,H4,S5,HA;DA,S3,D10,HK;CA,S4,D3,HQ"
1571051124,1,18,3,"C8,C3,C10,C2;C6,H10,CJ,CA;D6,D3,D5,D2;D7,DQ,DJ,D8;S10,SK,SA,S7;D9,DK,D10,D4;HQ,S6,S3,S2;HK,H6,H2,HJ;S8,H8,H3,HA;C5,C4,S5,SJ;C9,H9,SQ,S4;DA,CQ,H5,S9;H4,CK,C7,H7"
1571051124,1,9,3,"C9,C7,C8,C2;C6,CQ,CK,C10;CA,S9,H9,C4;S2,S4,SJ,S6;S5,HQ,SK,S8;SQ,H6,H3,H10;D9,D10,D5,DQ;D8,D7,D4,D2;CJ,HA,HJ,C5;D6,H4,DJ,DA;H2,S3,DK,S10;HK,H5,D3,SA;H7,H8,C3,S7"
1571051124,1,3,3,"C10,CJ,C6,C2;D2,DK,D7,D10;S9,SA,SQ,SJ;C3,S4,S2,S5;D9,D3,D6,DA;D8,C8,C7,D4;C9,C4,H8,C5;HA,H7,H9,H2;H6,CQ,S3,H10;H4,CK,S10,HQ;H3,DQ,CA,H5;HJ,D5,SK,S7;S6,HK,DJ,S8"
1571051124,1,0,3,"C7,CA,CK,C2;S9,S8,SJ,SA;S7,S6,S3,S4;D3,DJ,D4,D9;C3,C9,C5,CQ;D5,C4,HQ,C6;SQ,DA,S5,S2;H4,H8,H10,H7;H6,HJ,H5,HA;H3,H2,D6,H9;DQ,D10,D2,D7;DK,S10,C8,HK;C10,SK,CJ,D8"
