1571051132,1,0,2,"CQ,CJ,C5,C2;C3,C10,CK,C7;S10,H5,S6,S7;H2,HJ,H8,H9;DJ,D6,D5,D3;SQ,D10,S3,S5;D2,D9,CA,D4;S4,C6,HA,S9;C4,H10,C8,C9;SJ,HK,H7,SK;H4,D8,DQ,SA;HQ,DK,D7,S2;H6,DA,H3,S8"
1571051132,1,17,2,"C3,C8,C10,C2;DK,DA,D7,D2;H6,D10,D5,D8;C4,C6,C9,CK;H7,H8,HA,H10;H5,H2,H3,H4;SK,S2,S5,SJ;S3,S7,S9,S10;DQ,SQ,D3,D6;HK,CA,S6,S8;H9,D9,C7,DJ;HQ,HJ,C5,SA;CJ,D4,CQ,S4"
1571051132,1,4,2,"CQ,C8,C4,C2;HJ,CJ,C10,C6;HK,H8,H7,H3;S6,S4,S2,S5;HQ,H10,C3,C9;SA,HA,H5,H2;D9,DA,D7,D10;S7,S3,SJ,SQ;S9,H9,SK,CA;D8,D2,DK,CK;S8,DJ,H6,H4;C5,D6,D3,DQ;C7,S10,D4,D5"
1571051132,1,0,2,"C3,C6,C8,C2;SA,S7,SJ,S2;C4,CQ,CJ,C7;C5,D10,CA,C10;D8,DQ,D9,DJ;S8,H7,S9,S6;H4,S10,DA,SQ;H5,H10,H9,H6;D4,D5,DK,D6;HQ,H2,H3,HJ;D7,S3,HA,S4;D2,S5,C9,D3;CK,HK,H8,SK"
1571051132,1,2,2,"C8,C3,C4,C2;CJ,C9,CQ,CK;SK,S8,SQ,S7;S6,S3,S2,SJ;D5,D3,D10,D7;D8,DK,D9,DQ;C10,C5,H9,C6;H4,H10,HJ,HA;D4,H7,D2,D6;H2,H6,S5,H8;H5,S9,DA,H3;S10,S4,HK,HQ;CA,SA,C7,DJ"
1571051132,1,13,2,"CK,C8,C4,C2;S9,S6,SA,S10;H9,D6,DQ,D7;SQ,S7,SK,S8;D9,DJ,C7,D8;H8,H2,HQ,H6;H7,HJ,H10,HK;D3,C10,D4,D2;CQ,S4,S2,SJ;C5,CJ,C6,C3;H5,D5,CA,C9;DK,S3,H3,HA;DA,S5,D10,H4"
1571051132,1,0,2,"C10,C6,C9,C2;S6,SQ,S9,S5;DJ,D8,D10,D5;SA,S7,S4,S10;S3,S8,HQ,SK;HA,CA,C4,CQ;H2,HK,H9,H3;H10,DK,C5,C7;DQ,D9,CK,C3;D4,H5,H8,D2;H7,H4,D7,C8;H6,SJ,DA,CJ;HJ,S2,D3,D6"
1571051132,1,0,2,"C8,C6,CQ,C2;CJ,CK,S6,C4;D7,D9,D5,D10;D6,D8,D3,DJ;H8,C3,C10,C7;S2,S5,S3,S4;H9,HK,H3,H4;SA,HJ,S7,S8;DK,C9,DA,D2;C5,HQ,SQ,CA;H5,H6,S9,H2;S10,SK,H7,DQ;SJ,HA,H10,D4"
1571051132,1,18,2,"C5,C8,CJ,C2;D9,DA,DK,D6;SJ,S8,S6,S4;S5,SQ,S7,SA;D5,D4,DQ,DJ;SK,S3,H10,S9;CQ,C4,C9,C7;H2,H6,H5,H4;D2,D8,C6,D10;H3,HK,H9,HJ;H8,S10,HA,H7;HQ,C3,D3,CK;D7,CA,S2,C10"
1571051132,1,22,2,"CK,C3,C7,C2;S9,S7,SK,S3;CJ,CQ,C6,C9;D10,DQ,DK,DA;S10,C4,S5,SQ;SJ,D4,S8,SA;D8,C5,D7,CA;D9,H7,H8,C10;H10,H9,HQ,HK;H3,D5,HJ,HA;D2,D6,S2,S6;H5,D3,H6,H2;C8,H4,DJ,S4"
1571051132,1,22,2,"C7,CQ,CA,C2;C10,C6,C9,C5;D9,D5,D3,D7;SJ,S6,SA,S7;D2,DK,DJ,DQ;S3,S10,SQ,S8;H10,C3,C4,CJ;H9,HQ,HA,H7;H8,H6,H2,H4;HJ,D10,HK,C8;S2,H5,S4,S9;SK,D4,D6,CK;H3,DA,D8,S5"
1571051132,1,0,2,"C7,CA,C6,C2;C9,CQ,CK,CJ;DQ,D6,D10,D9;S2,S8,S3,SJ;S10,S6,SK,S4;D2,D7,DK,D3;S7,SA,HK,S9;H7,H8,H9,H5;H4,H3,H2,H6;C8,D8,H10,DJ;HA,C10,C3,C4;HQ,DA,S5,C5;HJ,D5,SQ,D4"
