1571051147,1,1,2,"C6,CJ,CQ,C2;CK,C10,C8,CA;H9,D2,D7,D9;HK,HA,H5,HQ;S3,SK,C4,C5;S2,S7,S5,S6;C9,DJ,D3,D4;DK,H10,C7,C3;HJ,H6,H4,H3;S9,D6,S8,SJ;D8,DA,H2,D5;H8,SQ,S4,DQ;H7,SA,S10,D10"
1571051147,1,4,2,"CQ,C8,C5,C2;D8,D3,D2,D7;S8,SJ,S2,S6;D4,D10,D5,D6;SK,S5,S7,S3;S9,S10,SQ,S4;D9,DJ,DQ,DK;C7,CA,C3,C9;C4,CK,HK,C6;HQ,H9,HA,H6;HJ,H5,H4,H3;H10,H8,CJ,H7;C10,SA,DA,H2"
1571051147,1,6,2,"C4,CJ,C8,C2;D5,DK,D3,D6;D10,D2,DA,D7;SK,S7,S10,S8;S4,S6,S2,SA;H9,D9,DJ,DQ;HQ,H6,H8,HA;C9,D4,C7,D8;H4,CA,H7,H3;H5,H2,C6,HJ;C10,CK,SJ,C3;SQ,C5,CQ,S5;HK,H10,S9,S3"
1571051147,1,18,2,"C10,C3,CJ,C2;SJ,S8,S4,S3;D3,D10,D9,D8;C4,C6,C7,C9;DQ,D6,DK,DA;S10,SA,S5,SK;DJ,CA,H7,D7;H10,H5,H3,H6;S7,D4,S2,SQ;S6,D2,HA,S9;HQ,C8,H4,HJ;C5,CQ,HK,CK;D5,H2,H8,H9"
1571051147,1,21,2,"C4,C3,C7,C2;C6,C9,C5,C8;S8,S3,S5,S7;S4,D6,D2,DA;CA,H5,C10,CJ;H6,H3,H10,HQ;SK,H9,HK,H8;H7,D4,CQ,CK;HJ,D5,D8,D3;D7,SQ,SJ,S6;S10,SA,DQ,HA;D9,S2,D10,H2;S9,DJ,DK,H4"
1571051147,1,4,2,"CQ,C3,C8,C2;C5,CK,CA,C4;D9,D4,D10,D3;C6,CJ,HK,C7;H3,HA,H9,HJ;HQ,H4,H2,H5;D7,DJ,DQ,D5;S5,S9,SA,S7;SJ,SQ,H6,H7;S10,S6,S3,S8;D2,H8,D8,D6;S2,DK,S4,SK;C10,DA,C9,H10"
1571051147,1,1,2,"CQ,C6,CK,C2;CJ,D2,D7,D5;C5,C9,C4,C8;C7,C10,S2,C3;D6,H6,D10,DA;DJ,CA,D4,DQ;SQ,S8,S7,S4;H7,D9,D8,DK;SK,HQ,HA,D3;H10,H8,H4,HJ;H2,H3,SA,HK;S3,S5,S10,H9;S9,S6,SJ,H5"
1571051147,1,5,2,"CQ,C5,C9,C2;S5,S8,S3,S9;C3,C10,C6,CA;S4,SA,S7,S10;D6,D3,DQ,D2;HA,D8,SQ,S2;H4,H5,H9,H6;SJ,C8,CJ,C4;H7,H8,HJ,H10;D9,H3,SK,S6;C7,D4,H2,HQ;D10,D7,DK,DJ;DA,CK,D5,HK"
1571051147,1,13,2,"C9,CK,C5,C2;SK,S10,S3,S8;D7,DK,D5,D8;H5,C3,C10,C6;H6,H4,H9,HJ;S4,S9,S5,SJ;DJ,DA,D10,D2;D3,D6,CA,D4;C7,H8,C8,C4;H2,H7,S6,H10;HA,CJ,D9,DQ;HQ,H3,S2,HK;S7,CQ,SA,SQ"
1571051147,1,0,2,"CQ,C5,C7,C2;SA,SQ,DJ,S2;C10,C4,C6,CK;SJ,DQ,S4,S8;D8,DK,DA,D2;SK,C9,S9,S10;H10,D6,D4,D3;S3,D7,C3,C8;H5,H4,H2,H7;S7,HK,H8,S5;H6,H9,H3,HQ;D9,HJ,S6,D5;CA,CJ,HA,D10"
1571051147,1,0,2,"C3,C5,CQ,C2;C6,CK,C9,CJ;S10,SJ,S4,S5;S8,SK,S6,S3;D2,S2,D5,DQ;S7,SA,C8,SQ;C7,D10,D4,C4;DK,HA,C10,CA;H6,H4,H10,HQ;DJ,H5,H9,H7;H8,DA,D9,HJ;HK,D3,D8,H2;D7,S9,H3,D6"
