1571051181,1,11,1,"C4,CJ,CK,C2;D8,D2,DK,DQ;HK,C5,C6,C7;H8,H4,H2,HQ;SJ,SK,S6,S9;C9,CQ,D3,C8;DA,HA,H10,D4;C3,SQ,D5,D7;S4,S8,S10,S5;D6,C10,H7,D9;DJ,H6,H3,HJ;D10,CA,SA,H9;S2,S3,S7,H5"
1571051181,1,21,1,"CQ,C6,C5,C2;SK,SA,SQ,S7;S10,S4,S6,S5;C9,C3,CA,C4;DK,D7,D2,DA;D6,D3,D4,D5;CJ,C10,S9,CK;S8,H4,S3,SJ;H7,HJ,HK,HA;H9,H8,H10,H2;H5,D9,D8,DJ;S2,C7,H3,D10;C8,HQ,H6,DQ"
1571051181,1,0,1,"CA,C7,C6,C2;D5,D10,DJ,D9;D7,DQ,D3,DK;C8,CJ,C9,CK;D6,H9,D4,DA;S5,SJ,C3,C10;S7,S8,S3,S4;SQ,S9,S2,S6;SK,S10,HA,SA;C5,HK,H3,CQ;HQ,H7,H10,HJ;H5,H6,H2,D2;H8,H4,C4,D8"
1571051181,1,13,1,"C7,C10,C9,C2;SQ,S8,SJ,S2;D4,D2,D8,D7;D5,H8,D9,D3;HK,H4,H7,HA;H9,H6,H10,H2;HJ,H3,CQ,HQ;SA,S9,S6,SK;S4,S5,C5,S10;DA,D10,CA,DK;S7,C6,CJ,S3;C8,DJ,D6,C4;H5,DQ,C3,CK"
1571051181,1,18,1,"C4,C9,C5,C2;S10,S9,S4,SQ;S3,C10,S7,SJ;S8,H5,SA,S2;HQ,H8,HK,H7;D7,DQ,D6,DA;D5,DJ,DK,D8;CK,S5,SK,S6;H2,D3,H10,H6;H4,CQ,D9,H3;C6,CJ,CA,HA;C7,D4,C3,H9;D10,D2,C8,HJ"
1571051181,1,5,1,"C5,CA,C6,C2;C8,C3,CQ,CJ;S9,SJ,SQ,SK;S6,S3,S8,S4;D9,D7,DQ,DA;SA,CK,C10,C4;D5,D8,S2,S5;D4,D6,D3,D2;S10,DK,C7,C9;H8,H9,H10,HJ;H2,H4,H3,H5;HQ,HA,H6,H7;D10,HK,S7,DJ"
1571051181,1,1,1,"CQ,C10,C8,C2;D7,D3,D2,DA;S3,S7,SJ,SK;C4,S2,C9,C7;CJ,C5,S9,C3;D4,D10,D9,DK;D6,HA,DJ,D8;CK,H4,S8,C6;S6,SA,S10,S5;H9,H6,H10,H7;SQ,CA,H5,S4;HQ,D5,H2,H3;DQ,H8,HJ,HK"
1571051181,1,3,1,"C8,C3,CA,C2;D4,D6,D9,DA;SA,SJ,S4,S10;S5,S7,S9,SK;C7,CJ,C5,C6;D5,DJ,H4,D10;CQ,HQ,HA,C4;H9,H8,SQ,H7;HK,S6,H5,H3;DQ,S2,DK,D2;HJ,C9,S8,S3;H2,H10,D7,H6;C10,CK,D8,D3"
1571051181,1,13,1,"CJ,C7,C8,C2;S4,SQ,S5,SA;DA,D8,D2,D6;SK,S8,S3,S9;C5,HK,C10,C9;S2,HJ,S6,S7;HA,H2,H8,H5;DQ,D10,DJ,D4;DK,H9,CK,C6;C3,SJ,H6,CQ;D7,H10,H4,S10;C4,H3,H7,CA;D5,HQ,D3,D9"
1571051181,1,1,1,"C4,CJ,C6,C2;SQ,S7,S2,S5;SK,S9,SJ,S4;DA,D3,DQ,D9;DK,DJ,D8,D2;S8,C7,C9,CQ;H9,CK,H6,C5;H10,CA,S3,C8;HJ,HK,H3,H4;D4,H8,HQ,H7;D10,S10,H2,S6;HA,D6,C10,D5;C3,SA,H5,D7"
1571051181,1,6,1,"C6,C10,CK,C2;DJ,D6,D5,D9;C4,CJ,D2,C3;S4,S5,S2,S3;H4,CQ,D8,C5;S6,SQ,S10,SJ;H3,C9,H7,C8;H9,H8,HJ,H2;HA,H10,S8,H5;SA,S9,SK,S7;DK,DA,D10,DQ;HQ,D3,C7,D7;HK,H6,CA,D4"
1571051181,1,13,1,"C9,C10,C6,C2;SA,S10,S2,S4;CK,C7,CQ,C4;D2,D9,DK,DA;D3,D5,SQ,D6;D10,D7,SJ,DJ;D4,DQ,HK,D8;C3,H2,C8,C5;H8,H9,HJ,HQ;H3,H4,H7,HA;H6,S7,SK,H5;CJ,S9,S8,S3;H10,S6,CA,S5"
