1571051199,1,1,3,"CK,C4,C8,C2;S10,S3,SA,S4;C7,C9,CQ,C6;D8,D6,D2,D5;CJ,CA,H10,C10;HK,SJ,S8,S2;H7,H4,H3,H6;D10,H8,HQ,H9;D4,DK,D7,DQ;H2,C5,HA,C3;SK,SQ,D9,DJ;S5,S7,DA,HJ;S9,S6,D3,H5"
1571051199,1,0,3,"C10,C9,CK,C2;S9,S10,S5,S6;C7,C4,C8,CJ;D7,D3,H6,DA;HA,HQ,H4,H5;D10,SQ,D9,D5;H2,H8,H3,H10;SA,D2,D4,D8;SJ,SK,S4,S8;S2,DQ,H7,DJ;S7,H9,C5,HK;C3,DK,CQ,HJ;C6,D6,CA,S3"
1571051199,1,0,3,"C10,C3,CJ,C2;C7,CA,D6,C9;D7,D3,D5,D4;S7,S8,SQ,SJ;D9,D8,H3,D10;H4,H7,H9,HK;D2,H10,CQ,DQ;S6,S4,SA,S3;H5,H6,H2,HJ;DA,HA,C5,C6;SK,H8,C4,CK;DJ,S2,HQ,C8;DK,S10,S5,S9"
1571051199,1,18,3,"C4,CK,C7,C2;D2,D5,D4,D6;C6,C10,C9,CQ;H4,C5,C8,C3;H5,H6,H2,HA;H8,S6,H3,H7;S7,S4,SQ,S10;DK,D9,DA,DQ;DJ,S9,S2,S3;D10,SA,CJ,CA;S5,D7,D8,D3;HK,SJ,HJ,H9;S8,HQ,H10,SK"
1571051199,1,25,3,"C8,CJ,C7,C2;D9,D7,DA,D8;S3,SK,S5,S10;CA,C5,C10,C9;SJ,SQ,S7,S4;C6,DQ,H8,C3;H9,H3,HQ,H5;D3,D5,D4,DJ;H4,H10,H7,HJ;D6,HA,SA,D10;C4,H6,S2,CQ;DK,H2,S9,CK;HK,S8,S6,D2"
1571051199,1,5,3,"C6,C3,CA,C2;S9,S5,S4,S10;C7,CQ,CJ,C10;D10,DQ,D7,DA;C5,C9,S6,CK;D9,DJ,D6,D2;HK,C8,DK,D4;SA,S3,S7,SK;SJ,HQ,S8,S2;H5,H9,H2,H10;H4,H6,D5,SQ;HA,H8,D3,H7;D8,C4,H3,HJ"
1571051199,1,6,3,"CQ,C5,C3,C2;D10,DA,D3,D7;CK,DQ,D2,D6;SA,S8,S9,S2;S7,S10,S6,S5;C8,C9,CA,C10;HK,SQ,HQ,S4;H5,H8,H9,H10;H6,H7,H2,H3;H4,DK,D5,D4;DJ,SJ,C4,S3;HJ,HA,D8,D9;CJ,SK,C6,C7"
1571051199,1,10,3,"CJ,CA,C6,C2;S6,S5,SK,S9;D7,D8,DJ,D6;S8,S10,S3,SQ;C5,C10,C3,CK;S2,SJ,S7,SA;C9,D2,C7,CQ;D10,DQ,D5,D4;HQ,HJ,D3,DK;H3,H2,H6,H8;H10,H7,H5,HK;C8,H4,HA,H9;D9,C4,S4,DA"
1571051199,1,0,3,"C7,C4,C3,C2;S6,SA,S7,S10;S2,SQ,S8,SJ;D7,D10,D3,D4;D6,DK,DA,D2;S3,S4,SK,S9;C6,CA,C10,C9;CK,S5,H5,CJ;DQ,H8,CQ,C5;H7,HJ,H2,H10;H9,HQ,D9,DJ;H4,H3,HA,D8;HK,H6,C8,D5"
1571051199,1,0,3,"CJ,C4,CQ,C2;CA,CK,C7,C6;D4,DK,DJ,DA;C10,C9,C8,C3;SK,S10,S6,SQ;H10,S2,S9,SA;HK,H9,HJ,H2;D9,D8,D6,D3;H7,H6,H8,H4;D10,S4,D5,D7;S5,SJ,HA,S7;D2,DQ,S3,S8;HQ,H3,H5,C5"
1571051199,1,4,3,"CJ,CA,C10,C2;DK,D4,D2,DQ;C6,C5,S8,C7;CK,C9,HJ,C3;SQ,S3,SK,S5;H8,HQ,H10,HA;H5,H6,H2,H3;S9,SJ,S2,S7;H4,S10,D7,HK;D5,S6,D10,C4;H7,D9,D3,H9;SA,D8,DJ,CQ;D6,S4,DA,C8"
