1571051236,1,7,2,"CJ,C9,C8,C2;S2,SJ,SK,S8;C7,C5,C3,C6;CK,C4,CA,C10;D4,DJ,D8,DQ;D9,D6,D3,D5;S4,SQ,S5,S3;DA,SA,S10,S7;DK,D7,D10,D2;HK,H9,H6,CQ;HA,H10,H4,H8;H5,H2,HQ,HJ;S6,H7,S9,H3"
1571051236,1,4,2,"C7,C10,CK,C2;C5,C4,C9,C6;DK,DJ,H6,DA;D5,D9,C8,D6;H3,HQ,H9,H10;D3,D2,H8,D4;S10,S6,S4,S7;SQ,CJ,C3,CQ;SJ,S9,S3,S5;HA,HJ,H2,H5;S8,HK,SA,S2;CA,H7,D7,H4;D10,D8,SK,DQ"
1571051236,1,0,2,"CJ,CQ,C5,C2;DA,D9,D10,D4;C7,C4,C9,CA;CK,C10,S2,C3;D5,DK,DQ,D3;SK,SA,S5,S9;D8,H6,D7,D6;S6,S10,SQ,S4;HK,HJ,H3,H5;H7,C8,H4,S7;H8,H10,HQ,S3;HA,C6,H9,S8;H2,DJ,D2,SJ"
1571051236,1,18,2,"C6,CA,C4,C2;S10,S5,S7,S2;D6,D10,DA,D3;D7,SA,SK,S6;D5,D8,D4,D9;H7,C8,CK,C3;H4,H3,H5,H9;HJ,H10,H8,H6;S8,CQ,C9,C5;H2,SQ,S9,S4;DJ,C10,HK,C7;DQ,CJ,DK,S3;HQ,HA,D2,SJ"
1571051236,1,0,2,"CK,C3,C5,C2;D8,D4,DQ,D3;CJ,C4,C8,CA;S2,C7,C6,C10;DA,DJ,D2,D5;SA,S4,H5,S3;H7,H3,S7,H4;H6,DK,H2,H9;D10,S10,SQ,S9;HA,CQ,S8,C9;SJ,H10,D9,HJ;SK,HQ,D6,H8;S6,HK,S5,D7"
1571051236,1,7,2,"C10,C9,CJ,C2;D2,DJ,D3,D9;CK,C8,CQ,C4;C6,C3,CA,C7;S9,S7,S4,S3;D10,DQ,D5,DA;S5,S10,SK,S8;SJ,S2,C5,S6;D4,D7,H5,D8;HQ,H10,HJ,H7;H4,H6,HA,H3;HK,H2,SA,H8;DK,SQ,H9,D6"
1571051236,1,12,2,"CJ,C3,C4,C2;C6,C9,C7,CQ;DQ,DA,DK,D4;D8,DJ,D9,D10;S8,SQ,S5,SK;D2,S4,D6,D7;S10,SJ,S2,S7;C8,HQ,CK,CA;H8,H5,H7,H2;S6,HA,H6,C5;H4,S3,H9,S9;D5,H3,HK,C10;D3,HJ,H10,SA"
1571051236,1,4,2,"C6,C10,CA,C2;DJ,D5,DQ,D9;C8,C5,C9,CQ;S10,SQ,SA,S9;S7,S8,S3,SJ;S2,S6,C4,S5;D3,DK,D4,D2;D7,D10,H2,D8;CK,HK,HA,S4;H4,H9,H3,H10;C3,H5,HQ,C7;H6,H7,HJ,H8;SK,CJ,DA,D6"
1571051236,1,0,2,"C5,C10,C3,C2;SA,S4,S5,S2;CK,C7,C8,C4;DA,DK,D4,D2;D10,DJ,D6,D8;D5,D9,S7,DQ;SJ,D7,HA,D3;H5,H8,H10,H7;C9,H9,CJ,CQ;H6,SK,HJ,HK;H4,S9,H3,H2;S10,S3,CA,SQ;S6,S8,HQ,C6"
1571051236,1,2,2,"C10,CQ,CA,C2;D7,D3,D4,D10;DJ,D5,DA,D8;CK,CJ,S6,C3;DQ,HK,H3,D9;H10,C7,H8,C5;HJ,HA,H6,H5;HQ,C8,DK,D2;SA,S5,S4,S7;H7,H9,S8,C4;SJ,H2,H4,D6;S2,S3,S10,C6;SK,SQ,S9,C9"
1571051236,1,9,2,"C9,C5,C10,C2;CJ,CQ,CA,C3;C7,C4,D3,C6;D8,DA,DJ,D2;SK,S9,S2,S7;DK,D5,D9,DQ;D6,H10,D7,D4;HQ,H5,SQ,C8;H3,S5,S10,CK;SA,H7,H4,H6;H9,H2,D10,HK;S6,H8,S3,HA;S8,S4,SJ,HJ"
1571051236,1,5,2,"C10,C9,C5,C2;S5,SQ,S4,SK;S6,S7,S2,S3;D8,D9,D6,DJ;C3,C4,CA,CQ;DA,DK,C7,D2;DQ,HA,D5,D4;H3,H6,H5,HQ;SA,D7,S9,SJ;H7,HK,HJ,H8;CJ,S8,D10,CK;H10,H4,D3,C6;H9,S10,H2,C8"
1571051236,1,1,2,"CJ,S5,CQ,C2;D4,DA,DQ,D7;H7,C6,C3,C8;HK,C5,C10,CK;S3,SK,S6,SQ;H5,H10,HJ,H3;D8,DJ,D2,D10;DK,H9,HQ,D5;S2,C7,D3,D6;S9,S8,S4,S10;H4,C9,H2,H6;HA,SJ,SA,D9;H8,S7,CA,C4"
