1571051383,1,4,3,"C9,CK,C4,C2;S6,SQ,SA,S7;S8,S3,S10,S9;CJ,C7,C5,C8;DJ,D3,D4,D10;S5,S2,HJ,SJ;SK,DA,HK,S4;H9,H7,HQ,H8;CQ,C10,CA,C6;H4,D5,D9,D2;DK,H5,H6,HA;DQ,H10,H3,H2;D6,D8,D7,C3"
1571051383,1,0,3,"C5,C9,CQ,C2;D5,DA,D7,DJ;D4,D9,D6,D2;SQ,S2,S5,SK;C8,CK,C3,C4;S7,CJ,C7,C6;S6,S4,SJ,S9;DK,S10,D8,D3;HA,H2,SA,S8;S3,H3,H4,H8;DQ,H9,HJ,HQ;CA,HK,H5,H6;C10,H7,D10,H10"
1571051383,1,8,3,"C4,C7,C5,C2;D7,D8,DQ,D9;S9,S8,S3,S4;S5,S6,S7,S2;D3,DK,D2,D6;CK,CA,C3,C8;D5,HA,D4,DA;C10,H6,C9,CJ;SQ,H10,HQ,H5;HK,SJ,H9,S10;HJ,H8,H4,CQ;H3,SA,H2,C6;H7,D10,DJ,SK"
1571051383,1,0,3,"C9,C7,C3,C2;C10,CK,CJ,CQ;D8,DQ,DA,DJ;D7,D4,D2,D6;S6,S7,SA,S2;C4,CA,HJ,C6;H7,H6,H9,H10;S8,S5,S10,SK;H4,H5,H2,H3;DK,SJ,S9,S3;D9,HQ,HA,C5;HK,H8,D5,C8;S4,SQ,D3,D10"
1571051383,1,7,3,"C9,C6,C8,C2;SA,C5,S2,S9;D10,S7,S4,S5;D8,CJ,C7,C4;H4,S6,SK,SQ;H5,H3,HK,H10;HJ,H2,HA,H9;H8,H7,S3,H6;D2,D9,DK,DJ;CQ,D4,S8,C10;D6,D3,CA,CK;C3,DQ,D5,DA;SJ,D7,S10,HQ"
1571051383,1,2,3,"C4,C9,C10,C2;DQ,DJ,H5,D9;CK,CA,C8,C5;H9,S9,SA,S3;H7,DA,C3,D7;H2,HK,SJ,H3;C6,H6,CQ,C7;SQ,S4,HJ,S5;S6,D2,H4,D3;SK,D4,H10,D8;S8,DK,H8,D5;S7,D6,S10,D10;HA,CJ,S2,HQ"
1571051383,1,0,3,"C5,CJ,C3,C2;S10,S3,S5,S6;S8,H6,S4,S2;CA,C6,C7,CK;D9,DA,D8,DK;H9,H10,H5,H2;D10,D7,D2,D6;C9,C10,CQ,C4;H3,HK,D5,DJ;HJ,H7,H8,HA;HQ,H4,DQ,D3;C8,SA,S7,S9;SQ,SK,D4,SJ"
1571051383,1,0,3,"C9,C3,CJ,C2;HJ,D6,D7,D2;HK,H10,HA,H3;CK,C5,CQ,C4;D5,H6,DQ,D4;DK,H2,S4,DA;D8,SJ,S7,D9;D10,S5,C10,D3;S6,SA,S9,S10;H7,CA,H8,C6;H4,S8,DJ,HQ;H5,C8,SQ,C7;SK,S3,H9,S2"
1571051383,1,1,3,"C8,C4,CA,C2;S6,SQ,S10,SK;S7,S3,H2,S8;SJ,D3,D4,S4;HJ,H10,HK,HQ;CJ,C6,C3,C5;DA,H7,S2,SA;DJ,D7,D8,D6;D5,S5,D10,D9;CK,C10,C7,C9;H6,H9,H4,H5;HA,DK,D2,S9;H8,H3,DQ,CQ"
1571051383,1,6,3,"C4,C5,C6,C2;S10,SK,SA,S8;S9,SQ,S4,S6;C3,HA,CK,C8;C7,C10,DK,C9;H9,H2,H4,H3;D6,DJ,DQ,D5;D4,D3,CQ,D9;S2,H5,H7,H8;DA,HQ,H10,HJ;S3,H6,SJ,S7;D7,CA,D2,D8;S5,CJ,HK,D10"
1571051383,1,14,3,"C7,C8,C4,C2;SQ,SJ,S6,S4;HA,S10,SA,SK;DJ,DK,D9,D10;HQ,H7,H9,H2;D3,D4,D5,DQ;S8,CK,C6,DA;H6,C10,CA,C5;D8,H8,C9,C3;H5,S9,S7,S3;HK,CJ,HJ,D6;S5,S2,CQ,D7;H4,H3,H10,D2"
