1571051396,1,3,2,"CK,C8,C7,C2;S7,SA,S2,SK;DA,D8,D3,D6;D10,DJ,D5,D2;SQ,S3,S6,S8;DQ,HK,D4,D9;CA,C4,CQ,CJ;S4,S5,HQ,S9;DK,H9,C10,C6;H6,H8,H7,H10;C5,H5,H2,H4;S10,HA,C9,HJ;C3,SJ,D7,H3"
1571051396,1,21,2,"C7,C10,C8,C2;H3,CJ,C5,CK;D10,D9,DJ,D7;S10,S7,SJ,S3;S9,C9,S4,CA;D8,D3,HQ,DA;D6,D4,H9,DK;H4,HJ,H7,H6;SA,DQ,D2,D5;S6,C3,HK,C4;S5,H2,H5,H8;SQ,C6,S8,HA;S2,CQ,SK,H10"
1571051396,1,4,2,"C6,CJ,C10,C2;SK,SJ,S2,SA;D3,D6,D8,D4;C3,CA,C9,CK;S8,S10,SQ,S9;DJ,DA,D9,DQ;C7,H2,C8,C4;DK,S5,S4,S6;H6,H4,H10,H7;H9,H8,H3,H5;D5,HA,HJ,HK;D7,S7,D10,C5;S3,HQ,D2,CQ"
1571051396,1,6,2,"CA,CK,C3,C2;D3,D7,D4,D8;S5,SQ,S9,SK;SJ,S10,S8,SA;D2,DJ,C7,D9;C8,H5,C5,CQ;H4,H10,H2,H6;D10,DA,HK,DK;S4,S6,HQ,S7;H3,D5,H8,HJ;H7,S2,HA,H9;CJ,C4,DQ,C10;S3,D6,C9,C6"
1571051396,1,0,2,"C10,CA,CQ,C2;SQ,S8,S4,S9;D7,DA,D8,D6;D3,D4,C9,D5;DK,D9,CJ,D2;HA,C6,C4,C5;H9,C7,HK,C8;HJ,H2,DJ,HQ;H7,H6,S3,H8;S6,S10,S7,SA;H10,CK,S2,S5;H3,D10,SJ,H5;DQ,C3,SK,H4"
1571051396,1,0,2,"C6,C4,C7,C2;DK,D6,D8,DJ;CA,CJ,CQ,C3;S3,S5,SJ,SK;D10,D7,D2,DQ;S7,HA,SA,S8;C10,D9,H9,C8;H3,H8,HJ,H2;H5,S10,DA,D5;H4,SQ,S4,D3;C5,H7,HQ,HK;C9,S9,H6,H10;CK,S2,S6,D4"
1571051396,1,12,2,"C9,CK,C3,C2;SQ,S5,S3,SJ;D9,DQ,D10,DA;S9,HK,S8,S2;H2,H10,H7,H4;C4,C6,CJ,C5;D7,DJ,D5,D8;CA,CQ,C8,C10;H8,H9,H5,H6;S10,S7,DK,S4;H3,HQ,HA,HJ;D2,S6,D6,SK;D3,D4,C7,SA"
1571051396,1,7,2,"CA,C4,CJ,C2;S8,S4,SJ,S5;SA,S3,SQ,SK;C9,C3,S7,CQ;D4,D10,DQ,D7;D5,DJ,H8,D2;H6,H9,C8,HJ;H4,H2,DK,HQ;C5,H7,CK,H5;C6,H10,S9,HA;D9,D3,S10,D8;HK,C10,H3,DA;C7,S2,S6,D6"
1571051396,1,18,2,"C5,C4,C6,C2;S10,SJ,S9,SQ;DA,D9,D5,D2;SA,S4,S7,S6;CA,DQ,D7,D8;CK,D6,HQ,DJ;H3,H10,H8,HA;CQ,H5,H7,H6;H2,S5,S3,SK;H4,C9,D3,C8;D10,C3,HJ,C7;D4,C10,HK,CJ;DK,S2,H9,S8"
1571051396,1,6,2,"CJ,CQ,C4,C2;D8,D10,D6,D9;S10,SA,S3,SJ;SK,S5,SQ,S7;D2,DA,DQ,D3;DJ,D7,HA,DK;S9,C8,S6,S8;C6,C10,CK,D5;H3,H5,H8,H4;H10,H2,C7,S2;C9,C3,H9,C5;HQ,H6,S4,D4;HK,HJ,H7,CA"
1571051396,1,6,2,"CJ,C3,CA,C2;S10,S9,S7,S4;D8,D9,DQ,D6;DJ,DA,D5,DK;SQ,H10,S8,SK;C4,HA,C8,C9;HK,H5,H6,H9;D4,HQ,D2,D10;D7,CQ,CK,D3;H2,H3,C6,HJ;SJ,SA,C10,H4;C5,S2,S5,H7;C7,S6,S3,H8"
1571051396,1,0,2,"CJ,C3,C7,C2;DQ,DJ,D2,D6;S3,CK,C6,CQ;C10,C5,D9,C4;S4,S6,SK,SA;S10,SJ,S2,S9;D4,DK,D10,D3;D8,DA,D7,D5;S5,SQ,S7,S8;H5,HK,C8,C9;H8,H3,HQ,HJ;HA,H2,H9,CA;H10,H7,H4,H6"
1571051396,1,0,2,"C7,CQ,C4,C2;D9,DA,HQ,D3;S9,S2,SQ,SA;C10,CJ,C6,C5;HK,H8,H9,HA;D7,CK,C8,C9;H6,H2,H3,HJ;SK,D4,D6,DK;S5,SJ,S6,S3;S8,D10,H5,H4;C3,D2,DQ,H10;S10,D5,S7,H7;S4,D8,DJ,CA"
1571051396,1,26,2,"C8,C7,CK,C2;C9,CJ,C5,C4;D3,D6,D4,D8;D5,DA,D9,D7;DK,DJ,SA,D10;H8,HQ,C3,CA;SK,S8,S2,S9;S6,S10,SQ,S3;HA,H4,C6,CQ;HJ,H9,H10,HK;H3,S5,H5,C10;S4,H7,DQ,SJ;H6,H2,D2,S7"
