1571051440,1,15,2,"C5,SJ,CK,C2;S7,S3,SQ,SA;D3,D6,D8,D2;S8,C7,SK,S5;S6,C8,C10,CJ;H9,CA,C3,C9;D10,HA,S9,S10;DA,H10,DJ,DQ;C6,HQ,S4,C4;H4,H6,H2,H8;D5,D7,HJ,HK;DK,D9,H3,H5;D4,S2,CQ,H7"
1571051440,1,3,2,"C7,C9,CQ,C2;D2,DQ,D7,D10;S6,S7,S10,S2;C4,C3,H7,CJ;C8,C10,HJ,CK;H2,H5,HQ,HK;S9,S8,SQ,SA;HA,S5,SK,SJ;D6,D5,H6,D8;H9,DA,CA,D4;H8,D3,S4,D9;C5,DK,H4,DJ;S3,C6,H10,H3"
1571051440,1,6,2,"C3,CK,C4,C2;D10,D7,D9,D6;SK,S6,SJ,S2;DA,D2,HJ,D8;H4,H9,H8,HQ;D3,CA,D4,DQ;H10,H6,HA,H3;SA,S5,SQ,S9;DK,C9,H7,H5;HK,CQ,S10,S3;C6,DJ,C5,C10;S4,D5,C8,S8;CJ,H2,C7,S7"
1571051440,1,2,2,"C10,C7,C8,C2;C6,C5,CJ,C3;C9,H10,CQ,CK;DJ,D2,D4,D6;D7,DQ,DK,D8;C4,S8,SQ,CA;SJ,S5,S10,S6;D10,S9,D3,DA;H2,H9,HA,H3;D9,S2,H7,D5;SA,H6,HQ,H8;HK,S3,HJ,S4;H5,SK,H4,S7"
1571051440,1,0,2,"CQ,CA,C6,C2;S2,S9,D3,S8;CJ,C7,C9,C8;DK,D8,D10,DJ;S3,SK,D2,SA;D9,H5,D7,D4;S10,HQ,S5,S4;H10,C4,HK,C5;H9,S6,SJ,SQ;HA,H3,H4,C3;H2,H8,H6,CK;D5,D6,DA,C10;DQ,H7,HJ,S7"
1571051440,1,3,2,"C7,C5,CA,C2;S4,SK,S5,S3;DJ,D7,D8,D4;HQ,D10,D2,D6;H2,HK,H5,H8;HJ,DK,DA,D3;DQ,S7,H7,D9;S10,S2,S8,SQ;CQ,H6,CJ,H10;C9,C8,S9,SA;C10,H4,SJ,D5;C4,HA,C3,H3;S6,H9,CK,C6"
1571051440,1,0,2,"SJ,C5,CK,C2;C8,D10,C10,C9;D6,DJ,D3,D4;SA,S3,S5,S8;DK,D7,D2,D5;S2,S9,D8,DQ;S7,H6,S10,SK;HK,H10,H4,DA;S4,H9,H7,S6;HQ,C7,H8,H2;C4,H5,D9,C3;H3,SQ,CA,C6;CQ,HA,HJ,CJ"
1571051440,1,2,2,"C3,CJ,C9,C2;DA,D8,D5,D3;D6,DQ,D9,D4;C8,C10,CA,CQ;S4,S7,SJ,S2;S6,S5,SK,S3;CK,C4,C6,C7;H9,DK,D7,D2;H6,H8,SQ,S8;H10,H7,H3,H2;C5,HJ,HK,H5;SA,DJ,HA,S10;D10,HQ,S9,H4"
1571051440,1,0,2,"C3,CQ,C6,C2;D3,D8,DK,D10;S6,S9,S10,SJ;DQ,D2,CA,D7;CK,C7,C5,C4;S2,S7,SQ,S3;S8,SK,DA,SA;CJ,C8,D5,C10;C9,D6,H6,D4;HJ,H2,H10,HQ;H8,D9,S5,DJ;H4,HK,H5,H7;H9,H3,HA,S4"
1571051440,1,0,2,"C3,CJ,CQ,C2;DA,D2,DJ,D3;D7,D4,D6,D8;C6,C7,C10,CK;SJ,S3,S7,S8;C4,H6,C9,C8;S6,S9,S2,SK;SQ,SA,S5,S4;D10,DQ,HK,D5;H9,H10,H3,H7;S10,HJ,CA,C5;H8,DK,H5,HQ;H2,D9,HA,H4"
1571051440,1,4,2,"C3,C4,CQ,C2;S7,S2,SJ,SA;DJ,D8,D6,DQ;S9,S4,S6,S3;D9,DK,D4,D7;C8,C7,C10,CJ;C9,C5,HQ,CK;HA,H9,HK,H7;D3,D10,D5,D2;H10,H4,H6,H2;H5,H8,DA,H3;S5,C6,SQ,CA;S8,SK,S10,HJ"
1571051440,1,1,2,"C7,C9,C5,C2;D6,D3,D5,DQ;S4,SA,S9,S5;C3,H9,S10,CK;C4,S8,HQ,CJ;HK,H10,H6,HA;CA,SK,D9,C10;D7,D10,HJ,D8;H7,H3,H4,H5;S2,S3,SJ,S7;S6,DA,DJ,DK;H8,D4,C6,H2;SQ,C8,CQ,D2"
