1571051457,1,0,3,"C3,CQ,C8,C2;S10,SK,S6,S7;C5,CK,C6,CA;D7,D3,D4,D2;S8,SQ,SJ,S9;S2,S3,S5,SA;D10,HA,H9,S4;CJ,C10,C9,C7;DJ,H5,HK,HJ;DA,D6,DQ,C4;H8,DK,H7,HQ;H2,D9,H6,H10;D8,D5,H4,H3"
1571051457,1,0,3,"C7,CK,C3,C2;D9,D2,D7,DJ;DA,D10,CA,D3;C4,S9,C5,C9;S7,S6,S10,S2;SQ,S8,S5,SJ;C8,SA,C6,C10;D4,H10,DQ,D5;CJ,H9,S4,CQ;H8,H7,H6,HJ;HQ,D8,H4,HK;H2,DK,SK,H5;HA,D6,S3,H3"
1571051457,1,13,3,"C9,CA,C10,C2;D3,D8,DA,DQ;D5,D6,DJ,D2;SQ,S8,S3,S7;S10,SK,S5,S9;S6,S4,SJ,SA;DK,D10,D9,D7;CQ,C8,CJ,C7;C4,C3,CK,C6;HA,HK,S2,D4;H7,HJ,H6,H3;H10,H9,H2,H5;H8,H4,HQ,C5"
1571051457,1,0,3,"CQ,C3,CK,C2;S6,SA,S7,S10;D6,D9,DA,D2;S4,S8,H8,SK;S9,SJ,C10,S2;HA,H5,H2,H6;H9,HQ,H10,HJ;C5,CA,C6,C9;D10,DJ,DK,D7;HK,CJ,C7,C4;D4,H3,H4,SQ;D8,D5,H7,S3;C8,DQ,D3,S5"
1571051457,1,7,3,"C8,C6,CA,C2;C3,C10,C9,CK;D7,D10,DK,DJ;DA,D6,D9,D8;C7,CQ,D3,C5;S9,S7,SQ,SA;S2,S5,S10,S4;SK,S3,SJ,S6;DQ,D5,CJ,D2;H5,H2,H9,H4;H10,H6,H3,H8;C4,HJ,H7,HQ;D4,HA,S8,HK"
1571051457,1,16,3,"C6,C7,C5,C2;D5,DK,D6,D9;CA,SQ,C10,C4;S3,SA,S2,S6;S9,SJ,H8,S7;HA,S10,SK,S4;CJ,H4,H3,H5;CQ,D2,CK,C9;H9,S8,HJ,S5;D3,DQ,D7,D10;H7,C8,H2,HQ;H10,DJ,H6,HK;D4,DA,D8,C3"
1571051457,1,8,3,"CK,C9,C10,C2;S5,SQ,S4,S6;D10,D6,D8,D2;S3,S2,CA,S9;C8,C6,C7,CJ;D3,DJ,DK,D7;D5,DA,DQ,D4;HK,HA,S10,SA;H10,H8,S8,SK;H5,H3,H7,H4;H2,H6,H9,HJ;C5,C3,C4,CQ;SJ,D9,HQ,S7"
1571051457,1,5,3,"C7,CA,C4,C2;D2,DA,DJ,D4;C9,S8,CJ,C10;S5,S3,SA,S9;SJ,H5,SK,S7;H9,SQ,H2,S4;HK,D7,D9,D3;DK,CQ,D5,D8;C3,HA,H8,C5;CK,S10,D6,S6;H10,H6,H3,HJ;H7,HQ,C6,H4;C8,D10,DQ,S2"
1571051457,1,0,3,"C10,CQ,CA,C2;S9,S6,S3,S5;C5,C9,C8,CJ;D9,D3,D2,D6;S10,S4,SK,S2;D5,SQ,SJ,S7;SA,C7,C6,CK;D10,DK,DQ,DA;HJ,C3,D8,C4;HK,H7,H8,H3;D4,H5,H10,HA;S8,H2,H9,H4;DJ,D7,H6,HQ"
1571051457,1,4,3,"CQ,C7,C10,C2;DA,DQ,D5,DK;SK,S5,S7,S10;CJ,C9,C8,C6;D9,D3,D6,D4;SQ,C5,C3,CK;S8,C4,H7,CA;H9,H8,H10,H2;D2,HA,D8,D7;S4,HK,S9,S3;HJ,S2,H6,HQ;SA,SJ,H4,H5;S6,D10,DJ,H3"
1571051457,1,3,3,"C9,C8,CK,C2;S4,SQ,S6,SA;D5,D3,D6,D8;D7,DA,D2,D9;D4,DQ,SK,D10;S9,H4,DJ,DK;S2,SJ,S3,S8;C5,C10,CJ,C3;HJ,H5,HQ,H7;H2,HK,HA,H6;S10,H10,CQ,C4;C7,H3,H9,H8;CA,C6,S5,S7"
1571051457,1,1,3,"CQ,C3,C5,C2;DA,D10,DJ,D6;C6,C4,CK,C10;D5,DQ,D2,D4;S8,S10,SQ,SJ;D3,HJ,D9,D8;H6,H3,H10,HQ;S2,SK,S3,SA;H7,H9,H8,H4;C9,S6,CJ,CA;C8,HA,S4,C7;S5,S9,DK,S7;D7,H2,H5,HK"
