1569977213,2,3,3,"C2,C5,C7,CJ;SA,S7,DJ,S2;S6,S5,D9,SQ;CA,C8,H7,CQ;C10,C9,H4,D6;C4,H6,D5,HK;D3,D4,DK,DQ;HA,D2,HQ,DA;D10,D7,H10,C6;H5,S8,H9,S9;S10,S4,S3,H3;SJ,SK,C3,H2;D8,HJ,CK,H8"
1569977213,2,0,3,"C2,C3,C10,C8;DA,D4,DK,D2;S7,S4,SA,S6;DQ,D10,H4,D9;C6,CA,C9,CK;DJ,SK,D7,D8;SJ,SQ,S9,S3;C5,D3,HJ,C4;CQ,HK,H7,H10;C7,D5,H6,HA;CJ,H3,S10,H8;HQ,H5,S8,H9;H2,D6,S2,S5"
1569977213,2,7,3,"C2,CA,C3,C9;D2,D7,D4,D6;CJ,H4,C10,C7;S3,S8,SJ,S5;HJ,H5,HQ,H10;DJ,D10,D3,D9;SA,S2,SQ,C4;CK,H8,C5,C8;S9,S4,S7,D8;DA,D5,DK,HA;C6,H2,H7,CQ;HK,SK,S6,H6;H9,S10,DQ,H3"
1569977213,2,1,3,"C2,CQ,C9,C7;S10,SJ,SQ,S3;CA,CJ,D10,C4;CK,C3,S2,C10;S9,S5,HJ,SA;H2,HK,HQ,H8;H3,H10,H6,H7;DJ,DA,D9,DQ;S7,D8,SK,D5;C5,S4,C8,D2;H4,H5,D6,HA;DK,S8,D3,D4;D7,S6,H9,C6"
1569977213,2,0,3,"C2,C8,C9,CQ;S7,S4,SQ,SA;D5,D2,DK,S8;DJ,D3,SK,DQ;S2,S10,SJ,S5;C6,CK,C10,C7;D7,D10,H4,D6;H2,HA,H7,H10;S6,H6,HQ,H8;C3,CJ,C5,CA;H5,DA,C4,HJ;D9,D4,S9,H9;H3,D8,S3,HK"
1569977213,2,11,3,"C2,C9,CJ,CQ;SA,S3,S6,S8;S2,S10,S5,SK;C3,HJ,C7,C8;DK,DQ,D9,D8;C4,HQ,H4,C6;HA,H8,HK,H5;D2,DA,DJ,D4;D7,H6,D6,D3;S7,S4,D5,SQ;C5,H7,SJ,CK;CA,H2,H10,C10;H9,H3,S9,D10"
1569977213,2,6,3,"C2,CA,C10,C3;S5,S3,S9,S6;DJ,DQ,D7,D5;C9,H7,CJ,C7;HA,H6,H8,HQ;D10,D6,D2,C4;S2,S4,SA,S7;C8,H3,H10,CQ;HK,HJ,H4,H2;C5,D8,DA,CK;D4,SK,D9,D3;S10,H5,SJ,S8;H9,C6,SQ,DK"
1569977213,2,0,3,"C2,CA,C9,C3;DA,D9,D10,D6;DQ,D8,D2,H3;D4,DJ,D5,HQ;S8,SA,S10,SJ;C5,CQ,C6,CJ;S3,C4,S5,SK;SQ,HJ,S9,S4;DK,C8,D3,H5;H8,H2,H7,HA;S6,HK,C7,CK;S7,H9,H6,D7;S2,H4,H10,C10"
1569977213,2,18,3,"C2,CJ,CK,C8;C6,C7,C10,C4;DQ,D5,D6,D4;D2,D7,DA,D8;SA,S10,SQ,S7;S9,S3,S6,S8;C5,HA,C9,CA;D10,D3,H8,DK;H2,HJ,H3,H4;H6,HK,HQ,SK;CQ,H7,C3,DJ;S5,H10,S2,S4;H5,D9,H9,SJ"
1569977213,2,4,3,"C2,CQ,C3,C4;S5,S3,SQ,S8;S4,DQ,S9,S10;D5,D8,DK,DA;SJ,HJ,S2,H5;S6,H6,S7,H3;D6,D4,D9,DJ;HA,H8,H4,H9;D3,D2,D7,C10;HQ,CK,HK,H2;C8,C5,CA,C6;H10,D10,C7,SK;H7,C9,CJ,SA"
1569977213,2,14,3,"C2,C9,C5,C3;S2,SA,SJ,S7;D9,D8,D7,DQ;C6,H8,C10,C7;S3,S6,SQ,S10;DK,DJ,D4,D10;DA,D5,D3,D2;SK,S9,S4,H5;H9,HQ,HJ,H4;H2,H3,H10,CA;CJ,HK,H6,C4;CQ,H7,D6,C8;S5,HA,S8,CK"
1569977213,2,18,3,"C2,CK,S6,C3;S3,S9,S5,SK;D6,DK,DJ,D5;S8,S7,S4,SJ;D3,DA,H5,D7;HA,H10,HQ,H4;C4,CJ,H8,C5;CQ,C6,HK,D9;C9,CA,D2,D8;C7,D4,C8,H7;SQ,SA,S10,H9;DQ,H6,D10,H3;HJ,C10,S2,H2"
